thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,prac_image1.stopped,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image1.stopped,image2.stopped,key_resp.started,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,0.0050086,0.0225577,0.0225577,3.2176449,space,3.169883,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,1,2024-11-18_10h12.48.214,实验程序1.0,2024.2.4,59.68748825,2024-11-18 10h13.12.010871 +0800
,,,,,,,,,,,,,,,,,,,,,,,3.2303978,3.2303978,space,5.3459955,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,1,2024-11-18_10h12.48.214,实验程序1.0,2024.2.4,59.68748825,2024-11-18 10h13.12.010871 +0800
9,0,9,,,,9,0,9,0,,,,,32.3351162,,,,,,,,,,,,,,32.3351162,33.2731363,32.8724818,17.9225385,f,0.3838716,None,34.7418654,34.751983,34.751983,35.9902136,space,1.22452,None,,,,,,,,,,,,,,,,,,34,1,2024-11-18_10h12.48.214,实验程序1.0,2024.2.4,59.68748825,2024-11-18 10h13.12.010871 +0800
0,0,0,f,0.4695132,None,,,,,0,0,0,0,36.04542,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0349507,36.04542,38.2391158,38.2391158,37.739343,41.168123,f,0.4695132,None,10,image2,14,image2,image1,['high'],0.3,0.7,34,1,2024-11-18_10h12.48.214,实验程序1.0,2024.2.4,59.68748825,2024-11-18 10h13.12.010871 +0800
0,0,0,f,0.4397519,None,,,,,0,0,0,0,41.2188952,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2097999,41.2188952,43.3725238,43.3725238,42.9058694,44.9814686,f,0.4397519,None,10,image2,13,image2,image1,"['high', 'high']",0.3,0.7,34,1,2024-11-18_10h12.48.214,实验程序1.0,2024.2.4,59.68748825,2024-11-18 10h13.12.010871 +0800
1,0,1,f,0.4753105,None,,,,,1,0,1,0,45.0344465,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0241649,45.0344465,46.6890785,46.6890785,46.1891288,48.7751547,f,0.4753105,None,10,image2,12,image2,image1,"['high', 'high', 'high']",0.3,0.7,34,1,2024-11-18_10h12.48.214,实验程序1.0,2024.2.4,59.68748825,2024-11-18 10h13.12.010871 +0800
2,0,2,f,0.5196926,None,,,,,2,0,2,0,48.8267615,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.817849,48.8267615,51.239936,51.239936,50.689328,52.8907838,f,0.5196926,None,10,image2,11,image2,image1,"['high', 'high', 'high', 'high']",0.3,0.7,34,1,2024-11-18_10h12.48.214,实验程序1.0,2024.2.4,59.68748825,2024-11-18 10h13.12.010871 +0800
3,0,3,f,0.4427988,None,,,,,3,0,3,0,52.9984897,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.9894277,52.9984897,54.6724004,54.6724004,54.2057168,57.4627551,f,0.4427988,None,10,image2,10,image2,image1,"['high', 'high', 'high', 'high', 'high']",0.3,0.7,34,1,2024-11-18_10h12.48.214,实验程序1.0,2024.2.4,59.68748825,2024-11-18 10h13.12.010871 +0800
4,0,4,j,0.5087974,None,,,,,4,0,4,0,57.5146873,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.5056565,57.5146873,59.7066192,59.7066192,59.1726482,61.8406732,j,0.5087974,None,10,image2,9,image2,image1,"['high', 'high', 'high', 'high', 'high', 'high']",0.3,0.7,34,1,2024-11-18_10h12.48.214,实验程序1.0,2024.2.4,59.68748825,2024-11-18 10h13.12.010871 +0800
5,0,5,j,0.3638218,None,,,,,5,0,5,0,61.8927168,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.8838137,61.8927168,63.7894675,63.7894675,63.406015,65.3799071,j,0.3638218,None,10,image2,8,image2,image1,"['high', 'high', 'high', 'high', 'high', 'high']",0.3,0.7,34,1,2024-11-18_10h12.48.214,实验程序1.0,2024.2.4,59.68748825,2024-11-18 10h13.12.010871 +0800
