thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,prac_image1.stopped,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image1.stopped,image2.stopped,key_resp.started,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.00539400000002388,0.025945900000010624,0.025945900000010624,5.39710690000004,space,5.3576896000000716,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,001,2024-11-18_09h33.03.362,实验程序1.0,2024.2.4,60.70676024411996,2024-11-18 09h33.17.974487 +0800,
,,,,,,,,,,,,,,,,,,,,,,,5.412452099999996,5.412452099999996,space,5.538678699999991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,001,2024-11-18_09h33.03.362,实验程序1.0,2024.2.4,60.70676024411996,2024-11-18 09h33.17.974487 +0800,
9,0,9,,,,9,0,9,0,,,,,36.70240269999999,,,,,,,,,,,,,,36.70240269999999,37.72537550000004,37.242271800000026,32.741754600000036,f,0.46041009999999005,None,39.19847880000009,39.207209600000056,39.207209600000056,41.04327240000009,space,1.824391999999989,None,,,,,,,,,,,,,,,,,,63,001,2024-11-18_09h33.03.362,实验程序1.0,2024.2.4,60.70676024411996,2024-11-18 09h33.17.974487 +0800,
0,0,0,j,0.6236929000000373,None,,,,,0,0,0,0,41.099905000000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.08784969999999,41.099905000000035,43.4253592,43.4253592,42.77554710000004,45.95048570000006,j,0.6236929000000373,None,0,image2,8,image2,image1,['high'],0.3,0.7,63,001,2024-11-18_09h33.03.362,实验程序1.0,2024.2.4,60.70676024411996,2024-11-18 09h33.17.974487 +0800,
0,0,0,f,0.7586140999999316,None,,,,,0,0,0,0,46.00209849999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.99330000000009,46.00209849999999,48.20884220000005,48.20884220000005,47.42527990000008,50.88995929999999,f,0.7586140999999316,None,10,image2,7,image2,image1,"['high', 'high']",0.3,0.7,63,001,2024-11-18_09h33.03.362,实验程序1.0,2024.2.4,60.70676024411996,2024-11-18 09h33.17.974487 +0800,
1,0,1,f,0.5071051999999554,None,,,,,1,0,1,0,50.94207760000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.93240160000005,50.94207760000006,,52.02584210000009,51.492267200000015,54.92920820000006,f,0.5071051999999554,None,10,image2,6,image2,image1,"['high', 'high', 'high']",0.3,0.7,63,001,2024-11-18_09h33.03.362,实验程序1.0,2024.2.4,60.70676024411996,2024-11-18 09h33.17.974487 +0800,
2,0,2,f,0.4644251999999369,None,,,,,2,0,2,0,54.979649300000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.97102460000008,54.979649300000005,56.69247830000006,56.69247830000006,56.208521800000085,58.952239700000064,f,0.4644251999999369,None,10,image2,5,image2,image1,"['high', 'high', 'high', 'high']",0.3,0.7,63,001,2024-11-18_09h33.03.362,实验程序1.0,2024.2.4,60.70676024411996,2024-11-18 09h33.17.974487 +0800,
3,0,3,f,0.47323229999994965,None,,,,,3,0,3,0,59.060294200000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.05150480000009,59.060294200000044,60.409144200000014,60.409144200000014,59.909881799999994,62.44193640000003,f,0.47323229999994965,None,0,image2,4,image2,image1,"['high', 'high', 'high', 'high', 'high']",0.3,0.7,63,001,2024-11-18_09h33.03.362,实验程序1.0,2024.2.4,60.70676024411996,2024-11-18 09h33.17.974487 +0800,
4,0,4,j,0.6402224999999362,None,,,,,4,0,4,0,62.49302540000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.484149900000034,62.49302540000008,65.00887020000005,65.00887020000005,64.34249829999999,67.11131110000008,j,0.6402224999999362,None,10,image2,3,image2,image1,"['high', 'high', 'high', 'high', 'high', 'high']",0.3,0.7,63,001,2024-11-18_09h33.03.362,实验程序1.0,2024.2.4,60.70676024411996,2024-11-18 09h33.17.974487 +0800,
5,0,5,j,0.5625385999999253,None,,,,,5,0,5,0,67.16315029999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.15347470000006,67.16315029999998,69.25863850000007,69.25863850000007,68.67584210000007,70.85270150000008,j,0.5625385999999253,None,10,image2,2,image2,image1,"['high', 'high', 'high', 'high', 'high', 'high']",0.3,0.7,63,001,2024-11-18_09h33.03.362,实验程序1.0,2024.2.4,60.70676024411996,2024-11-18 09h33.17.974487 +0800,
6,0,6,j,0.49891139999999723,None,,,,,6,0,6,0,70.9032628,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.89458139999999,70.9032628,72.40899230000002,72.40899230000002,71.89183560000004,74.05815060000009,j,0.49891139999999723,None,10,image2,1,image2,image1,"['high', 'high', 'high', 'high', 'high', 'high']",0.3,0.7,63,001,2024-11-18_09h33.03.362,实验程序1.0,2024.2.4,60.70676024411996,2024-11-18 09h33.17.974487 +0800,
7,0,7,j,0.5420745999999781,None,,,,,7,0,7,0,74.16685460000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.15805510000007,74.16685460000008,76.3918281,76.3918281,75.82499260000009,79.2688071,j,0.5420745999999781,None,0,image2,6,image1,image2,['low'],0.7,0.3,63,001,2024-11-18_09h33.03.362,实验程序1.0,2024.2.4,60.70676024411996,2024-11-18 09h33.17.974487 +0800,
8,0,8,j,0.6495236000000659,None,,,,,8,0,8,0,79.31932540000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.31047030000002,79.31932540000003,81.00868890000004,81.00868890000004,80.34176260000004,82.63219460000005,j,0.6495236000000659,None,0,image2,5,image1,image2,"['low', 'low']",0.7,0.3,63,001,2024-11-18_09h33.03.362,实验程序1.0,2024.2.4,60.70676024411996,2024-11-18 09h33.17.974487 +0800,
9,0,9,j,0.5875368999999182,None,,,,,9,0,9,0,82.69047499999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.68066440000007,82.69047499999999,84.69170100000008,84.69170100000008,84.0756298,86.22131940000008,j,0.5875368999999182,None,0,image1,4,image1,image2,"['low', 'low', 'high']",0.7,0.3,63,001,2024-11-18_09h33.03.362,实验程序1.0,2024.2.4,60.70676024411996,2024-11-18 09h33.17.974487 +0800,
10,0,10,f,0.7427578999999014,None,,,,,10,0,10,0,86.2738243,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.26507040000001,86.2738243,88.79262870000002,88.79262870000002,88.02562820000003,90.36031690000004,f,0.7427578999999014,None,10,image1,3,image1,image2,"['low', 'low', 'high', 'high']",0.7,0.3,63,001,2024-11-18_09h33.03.362,实验程序1.0,2024.2.4,60.70676024411996,2024-11-18 09h33.17.974487 +0800,
