thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image1.stopped,image2.stopped,key_resp.started,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart
165,0,165,j,0.4462597,None,,,,,165,0,165,0,708.7701854,,,,,,,,,,,,,,,,,,,,,,,,,,,708.7629458,708.7701854,710.1024761,710.1024761,709.6356107,711.851724,j,0.4462597,None,10,image1,-5,image1,image2,"['low', 'low', 'low', 'low', 'low', 'high']",0.7,0.3,50,1,2024-11-22_10h25.24.242,实验程序1.0,2024.2.4,59.90689271,2024-11-22 10h25.34.543200 +0800
166,0,166,f,0.3685081,None,,,,,166,0,166,0,711.9050014,,,,,,,,,,,,,,,,,,,,,,,,,,,711.8978213,711.9050014,713.5690179,713.5690179,713.169017,715.3742586,f,0.3685081,None,0,image1,-6,image1,image2,"['low', 'low', 'low', 'low', 'high', 'high']",0.7,0.3,50,1,2024-11-22_10h25.24.242,实验程序1.0,2024.2.4,59.90689271,2024-11-22 10h25.34.543200 +0800
167,0,167,f,0.3254345,None,,,,,167,0,167,0,715.4257614,,,,,,,,,,,,,,,,,,,,,,,,,,,715.4187411,715.4257614,717.4189396,717.4189396,717.0690321,720.1108314,f,0.3254345,None,0,image2,-7,image1,image2,"['low', 'low', 'low', 'high', 'high', 'low']",0.7,0.3,50,1,2024-11-22_10h25.24.242,实验程序1.0,2024.2.4,59.90689271,2024-11-22 10h25.34.543200 +0800
168,0,168,j,0.4303773,None,,,,,168,0,168,0,720.1644781,,,,,,,,,,,,,,,,,,,,,,,,,,,720.1571883,720.1644781,721.5022826,721.5022826,721.0522264,723.3731015,j,0.4303773,None,10,image1,-8,image1,image2,"['low', 'low', 'high', 'high', 'low', 'high']",0.7,0.3,50,1,2024-11-22_10h25.24.242,实验程序1.0,2024.2.4,59.90689271,2024-11-22 10h25.34.543200 +0800
169,0,169,j,0.362785,None,,,,,169,0,169,0,723.4854607,,,,,,,,,,,,,,,,,,,,,,,,,,,723.4780538,723.4854607,725.1025095,725.1025095,724.7189667,727.6713587,j,0.362785,None,0,image1,-9,image1,image2,"['low', 'high', 'high', 'low', 'high', 'high']",0.7,0.3,50,1,2024-11-22_10h25.24.242,实验程序1.0,2024.2.4,59.90689271,2024-11-22 10h25.34.543200 +0800
170,0,170,f,0.4038448,None,,,,,170,0,170,0,727.725271,,,,,,,,,,,,,,,,,,,,,,,,,,,727.7181038,727.725271,729.7359102,729.7359102,729.3023503,732.6041508,f,0.4038448,None,10,image1,3,image2,image1,[],0.3,0.7,50,1,2024-11-22_10h25.24.242,实验程序1.0,2024.2.4,59.90689271,2024-11-22 10h25.34.543200 +0800
171,0,171,j,0.4458546,None,,,,,171,0,171,0,732.6554003,,,,,,,,,,,,,,,,,,,,,,,,,,,732.648078,732.6554003,733.9523638,733.9523638,733.485586,735.8597823,j,0.4458546,None,10,image1,2,image2,image1,['low'],0.3,0.7,50,1,2024-11-22_10h25.24.242,实验程序1.0,2024.2.4,59.90689271,2024-11-22 10h25.34.543200 +0800
172,0,172,j,0.4177377,None,,,,,172,0,172,0,735.9115689,,,,,,,,,,,,,,,,,,,,,,,,,,,735.9045572,735.9115689,738.3856547,738.3856547,737.9359112,740.3429377,j,0.4177377,None,0,image1,1,image2,image1,"['low', 'low']",0.3,0.7,50,1,2024-11-22_10h25.24.242,实验程序1.0,2024.2.4,59.90689271,2024-11-22 10h25.34.543200 +0800
173,0,173,j,0.5461222,None,,,,,173,0,173,0,740.4546296,,,,,,,,,,,,,,,,,,,,,,,,,,,740.4476108,740.4546296,742.7190572,742.7190572,742.1522841,744.705541,j,0.5461222,None,10,image1,0,image2,image1,"['low', 'low', 'low']",0.3,0.7,50,1,2024-11-22_10h25.24.242,实验程序1.0,2024.2.4,59.90689271,2024-11-22 10h25.34.543200 +0800
174,0,174,f,0.4855447,None,,,,,174,0,174,0,744.7568171,,,,,,,,,,,,,,,,,,,,,,,,,,,744.7496496,744.7568171,,745.9855388,745.468909,748.308685,f,0.4855447,None,10,image2,-1,image2,image1,"['low', 'low', 'low', 'high']",0.3,0.7,50,1,2024-11-22_10h25.24.242,实验程序1.0,2024.2.4,59.90689271,2024-11-22 10h25.34.543200 +0800
175,0,175,f,0.3897608,None,,,,,175,0,175,0,748.3592446,,,,,,,,,,,,,,,,,,,,,,,,,,,748.3518975,748.3592446,749.6856066,749.6856066,749.2689511,751.8513427,f,0.3897608,None,10,image2,-2,image2,image1,"['low', 'low', 'low', 'high', 'high']",0.3,0.7,50,1,2024-11-22_10h25.24.242,实验程序1.0,2024.2.4,59.90689271,2024-11-22 10h25.34.543200 +0800
176,0,176,f,0.3338434,None,,,,,176,0,176,0,751.9028909,,,,,,,,,,,,,,,,,,,,,,,,,,,751.8957696,751.9028909,754.0190709,754.0190709,753.6689735,756.0992538,f,0.3338434,None,10,image2,-3,image2,image1,"['low', 'low', 'low', 'high', 'high', 'high']",0.3,0.7,50,1,2024-11-22_10h25.24.242,实验程序1.0,2024.2.4,59.90689271,2024-11-22 10h25.34.543200 +0800
177,0,177,f,0.9628207,None,,,,,177,0,177,0,756.1503124,,,,,,,,,,,,,,,,,,,,,,,,,,,756.1429701,756.1503124,759.1025185,759.1025185,758.1189482,761.5098427,f,0.9628207,None,10,image2,-4,image2,image1,"['low', 'low', 'high', 'high', 'high', 'high']",0.3,0.7,50,1,2024-11-22_10h25.24.242,实验程序1.0,2024.2.4,59.90689271,2024-11-22 10h25.34.543200 +0800
178,0,178,f,0.4787068,None,,,,,178,0,178,0,761.6144749,,,,,,,,,,,,,,,,,,,,,,,,,,,761.6070853,761.6144749,763.3522804,763.3522804,762.8523841,766.0117662,f,0.4787068,None,10,image2,5,image1,image2,[],0.7,0.3,50,1,2024-11-22_10h25.24.242,实验程序1.0,2024.2.4,59.90689271,2024-11-22 10h25.34.543200 +0800
179,0,179,f,0.5469202,None,,,,,179,0,179,0,766.0640352,,,,,,,,,,,,,,,,,,,,,,,,,,,766.0568598,766.0640352,768.2857344,768.2857344,767.7190894,770.6181046,f,0.5469202,None,10,image1,4,image1,image2,['high'],0.7,0.3,50,1,2024-11-22_10h25.24.242,实验程序1.0,2024.2.4,59.90689271,2024-11-22 10h25.34.543200 +0800
