thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,prac_image1.stopped,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image1.stopped,image2.stopped,key_resp.started,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.005323799327015877,0.02232779935002327,0.02232779935002327,0.7744332998991013,space,0.7353646010160446,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2024-11-14_16h34.02.020,实验程序1.0,2024.2.4,59.992284500458055,2024-11-14 16h34.09.776528 +0800,
,,,,,,,,,,,,,,,,,,,,,,,0.7859137989580631,0.7859137989580631,space,1.3395732995122671,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2024-11-14_16h34.02.020,实验程序1.0,2024.2.4,59.992284500458055,2024-11-14 16h34.09.776528 +0800,
9,0,9,,,,9,0,9,0,,,,,24.83792890049517,,,,,,,,,,,,,,24.83792890049517,26.138757199048996,25.372103098779917,j,0.7362031992524862,None,26.138757199048996,27.610054399818182,27.61916789971292,27.61916789971292,28.70646240003407,space,1.0736277010291815,None,,,,,,,,,,,,,,,,,,008,001,2024-11-14_16h34.02.020,实验程序1.0,2024.2.4,59.992284500458055,2024-11-14 16h34.09.776528 +0800,
0,0,0,f,0.5821983013302088,None,,,,,0,0,0,0,28.762470999732614,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.751191399991512,28.762470999732614,30.639866499230266,30.639866499230266,30.038636399433017,33.15725960023701,f,0.5821983013302088,None,10,image1,8,image1,image2,['high'],0.7,0.3,008,001,2024-11-14_16h34.02.020,实验程序1.0,2024.2.4,59.992284500458055,2024-11-14 16h34.09.776528 +0800,
0,0,0,j,0.3598707001656294,None,,,,,0,0,0,0,33.2095785997808,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.19931020028889,33.2095785997808,,34.35538990050554,33.97225369885564,36.09177299961448,j,0.3598707001656294,None,0,image1,7,image1,image2,"['high', 'high']",0.7,0.3,008,001,2024-11-14_16h34.02.020,实验程序1.0,2024.2.4,59.992284500458055,2024-11-14 16h34.09.776528 +0800,
1,0,1,j,0.40176660008728504,None,,,,,1,0,1,0,36.14387349970639,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.133236499503255,36.14387349970639,37.972107300534844,37.972107300534844,37.53873639926314,39.63952489942312,j,0.40176660008728504,None,0,image2,6,image1,image2,"['high', 'high', 'low']",0.7,0.3,008,001,2024-11-14_16h34.02.020,实验程序1.0,2024.2.4,59.992284500458055,2024-11-14 16h34.09.776528 +0800,
2,0,2,j,0.5645821001380682,None,,,,,2,0,2,0,39.690513299778104,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.68146749958396,39.690513299778104,41.6889596991241,41.6889596991241,41.10560869984329,44.307724099606276,j,0.5645821001380682,None,10,image1,5,image1,image2,"['high', 'high', 'low', 'high']",0.7,0.3,008,001,2024-11-14_16h34.02.020,实验程序1.0,2024.2.4,59.992284500458055,2024-11-14 16h34.09.776528 +0800,
3,0,3,f,0.49796889908611774,None,,,,,3,0,3,0,44.416003899648786,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.40665639936924,44.416003899648786,45.68873840011656,45.68873840011656,45.17236219905317,47.476587099954486,f,0.49796889908611774,None,10,image2,4,image1,image2,"['high', 'high', 'low', 'high', 'low']",0.7,0.3,008,001,2024-11-14_16h34.02.020,实验程序1.0,2024.2.4,59.992284500458055,2024-11-14 16h34.09.776528 +0800,
4,0,4,j,0.49780650064349174,None,,,,,4,0,4,0,47.52824440039694,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.518196899443865,47.52824440039694,49.305366799235344,49.305366799235344,48.78880690038204,51.34230179898441,j,0.49780650064349174,None,10,image1,3,image1,image2,"['high', 'high', 'low', 'high', 'low', 'high']",0.7,0.3,008,001,2024-11-14_16h34.02.020,实验程序1.0,2024.2.4,59.992284500458055,2024-11-14 16h34.09.776528 +0800,
5,0,5,f,0.3142058998346329,None,,,,,5,0,5,0,51.395736899226904,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.38461500033736,51.395736899226904,52.889510499313474,52.889510499313474,52.55590230040252,54.41978880017996,f,0.3142058998346329,None,10,image2,2,image1,image2,"['high', 'low', 'high', 'low', 'high', 'low']",0.7,0.3,008,001,2024-11-14_16h34.02.020,实验程序1.0,2024.2.4,59.992284500458055,2024-11-14 16h34.09.776528 +0800,
