thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,prac_image1.stopped,prac_key_resp.stopped,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image2.stopped,key_resp.started,image1.stopped,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.005021100001613377,0.01481910000075004,0.01481910000075004,3.5185746000024665,space,3.4892416000002413,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,001,2024-11-15_16h13.08.360,实验程序1.0,2024.2.4,60.12397563861582,2024-11-15 16h13.17.321624 +0800,
,,,,,,,,,,,,,,,,,,,,,,,3.5311280000023544,3.5311280000023544,space,3.405452000002697,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,001,2024-11-15_16h13.08.360,实验程序1.0,2024.2.4,60.12397563861582,2024-11-15 16h13.17.321624 +0800,
9,0,9,,,,9,0,9,0,,,,,30.842449900002975,,,,,,,,,,,,,,30.842449900002975,31.981486100001348,31.381515000000945,j,0.5699513999970804,None,21.664572200003022,11.397936200002732,33.448623500000394,33.457571000002645,33.457571000002645,34.33279810000022,space,0.8627827999989677,None,,,,,,,,,,,,,,,,,,30,001,2024-11-15_16h13.08.360,实验程序1.0,2024.2.4,60.12397563861582,2024-11-15 16h13.17.321624 +0800,
0,0,0,j,0.7067712999996729,None,,,,,0,0,0,0,34.38817100000233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.37762340000336,34.38817100000233,36.3146160000033,35.581454700000904,36.3146160000033,37.79740260000108,j,0.7067712999996729,None,10,image1,5,image1,image2,['high'],0.7,0.3,30,001,2024-11-15_16h13.08.360,实验程序1.0,2024.2.4,60.12397563861582,2024-11-15 16h13.17.321624 +0800,
0,0,0,f,0.42866069999945466,None,,,,,0,0,0,0,37.84622460000173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.83781230000022,37.84622460000173,38.98112709999987,38.53115810000236,,41.28110050000032,f,0.42866069999945466,None,0,image1,4,image1,image2,"['high', 'high']",0.7,0.3,30,001,2024-11-15_16h13.08.360,实验程序1.0,2024.2.4,60.12397563861582,2024-11-15 16h13.17.321624 +0800,
1,0,1,f,0.6996988999999303,None,,,,,1,0,1,0,41.336447300000145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.32798050000201,41.336447300000145,42.86461880000206,42.147884500001965,42.86461880000206,45.62457859999995,f,0.6996988999999303,None,10,image1,3,image1,image2,"['high', 'high', 'high']",0.7,0.3,30,001,2024-11-15_16h13.08.360,实验程序1.0,2024.2.4,60.12397563861582,2024-11-15 16h13.17.321624 +0800,
2,0,2,f,0.6147853000002215,None,,,,,2,0,2,0,45.6790359000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.67047420000017,45.6790359000006,47.51441320000231,46.88123380000252,47.51441320000231,49.689612000001944,f,0.6147853000002215,None,10,image1,2,image1,image2,"['high', 'high', 'high', 'high']",0.7,0.3,30,001,2024-11-15_16h13.08.360,实验程序1.0,2024.2.4,60.12397563861582,2024-11-15 16h13.17.321624 +0800,
3,0,3,j,0.8089087000007567,None,,,,,3,0,3,0,49.78623940000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.77793660000316,49.78623940000034,51.46457670000018,50.63140700000076,51.46457670000018,53.86441000000195,j,0.8089087000007567,None,10,image1,1,image1,image2,"['high', 'high', 'high', 'high', 'high']",0.7,0.3,30,001,2024-11-15_16h13.08.360,实验程序1.0,2024.2.4,60.12397563861582,2024-11-15 16h13.17.321624 +0800,
4,0,4,j,0.5479726000012306,None,,,,,4,0,4,0,53.91263720000279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.90406660000008,53.91263720000279,56.09803880000254,55.53121370000008,56.09803880000254,58.845461400000204,j,0.5479726000012306,None,10,image1,4,image2,image1,['low'],0.3,0.7,30,001,2024-11-15_16h13.08.360,实验程序1.0,2024.2.4,60.12397563861582,2024-11-15 16h13.17.321624 +0800,
5,0,5,f,1.16009860000122,None,,,,,5,0,5,0,58.90198390000296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.89339960000143,58.90198390000296,61.03136270000323,59.84801300000254,61.03136270000323,63.383242700001574,f,1.16009860000122,None,10,image2,3,image2,image1,"['low', 'high']",0.3,0.7,30,001,2024-11-15_16h13.08.360,实验程序1.0,2024.2.4,60.12397563861582,2024-11-15 16h13.17.321624 +0800,
6,0,6,f,1.1485395999989123,None,,,,,6,0,6,0,63.438716900000145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.430185600002005,63.438716900000145,65.2813120000028,64.11468520000199,65.2813120000028,67.06430069999988,f,1.1485395999989123,None,0,image1,2,image2,image1,"['low', 'high', 'low']",0.3,0.7,30,001,2024-11-15_16h13.08.360,实验程序1.0,2024.2.4,60.12397563861582,2024-11-15 16h13.17.321624 +0800,
7,0,7,j,1.1815638000007311,None,,,,,7,0,7,0,67.16068550000273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.15272660000119,67.16068550000273,69.29816680000295,68.0981380000012,69.29816680000295,71.2070143000019,j,1.1815638000007311,None,0,image1,1,image2,image1,"['low', 'high', 'low', 'low']",0.3,0.7,30,001,2024-11-15_16h13.08.360,实验程序1.0,2024.2.4,60.12397563861582,2024-11-15 16h13.17.321624 +0800,
