thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image1.stopped,image2.stopped,key_resp.started,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.005407199263572693,0.022268000058829784,0.022268000058829784,2.1026598000898957,space,2.056300500407815,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
,,,,,,,,,,,,,,,,,,,,,,,2.114644299261272,2.114644299261272,space,8.948381800204515,None,,,,,,,,,,,,,,,,,,,,,,,,,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
9,0,9,,,,9,0,9,0,,,,,11.088718200102448,,,,,,,,,,,,,,11.074734900146723,11.088718200102448,11.088718200102448,16.923275199718773,space,5.822467000223696,None,,,,,,,,,,,,,,,,,,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
0,0,0,None,,,,,,,0,0,0,0,17.038522499613464,,,,,,,,,,,,,,,,,,,,,17.026851600036025,17.038522499613464,19.921931599266827,19.921931599266827,18.688898799940944,20.923967099748552,None,,,,,,,,,,,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
0,0,0,f,0.8190217996016145,None,,,,,0,0,0,0,20.97394479997456,,,,,,,,,,,,,,,,,,,,,20.96526930015534,20.97394479997456,22.788809799589217,22.788809799589217,21.93928589951247,24.794894999824464,f,0.8190217996016145,None,0,image1,2,image2,image1,['low'],0.3,0.7,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
1,0,1,None,,,,,,,1,0,1,0,24.84566449932754,,,,,,,,,,,,,,,,,,,,,24.836135799996555,24.84566449932754,28.12190070003271,28.12190070003271,26.871890199370682,29.124754199758172,None,,,,,,,,,,,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
2,0,2,f,0.5682437000796199,None,,,,,2,0,2,0,29.175289600156248,,,,,,,,,,,,,,,,,,,,,29.166399999521673,29.175289600156248,30.605558900162578,30.605558900162578,30.005795899778605,33.55145599972457,f,0.5682437000796199,None,0,image2,1,image2,image1,"['low', 'high']",0.3,0.7,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
3,0,3,None,,,,,,,3,0,3,0,33.65957299992442,,,,,,,,,,,,,,,,,,,,,33.65053780004382,33.65957299992442,36.37204369995743,36.37204369995743,35.12203919980675,37.37468269933015,None,,,,,,,,,,,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
4,0,4,j,0.7542680995538831,None,,,,,4,0,4,0,37.426826199516654,,,,,,,,,,,,,,,,,,,,,37.417046499438584,37.426826199516654,39.97256609983742,39.97256609983742,39.188738299533725,42.01226959936321,j,0.7542680995538831,None,10,image2,0,image2,image1,"['low', 'high', 'high']",0.3,0.7,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
5,0,5,f,0.8287466000765562,None,,,,,5,0,5,0,42.06390250008553,,,,,,,,,,,,,,,,,,,,,42.054158199578524,42.06390250008553,43.755210399627686,43.755210399627686,42.90539429988712,45.918932099826634,f,0.8287466000765562,None,0,image2,-1,image2,image1,"['low', 'high', 'high', 'high']",0.3,0.7,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
