thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,prac_image1.stopped,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image2.stopped,key_resp.started,image1.stopped,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.005413999781012535,0.01926800049841404,0.01926800049841404,2.1685800999403,space,2.125586299225688,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2024-11-14_14h33.38.842,实验程序1.0,2024.2.4,59.77700776673336,2024-11-14 14h33.49.446710 +0800,
,,,,,,,,,,,,,,,,,,,,,,,2.180307799950242,2.180307799950242,space,2.2520276997238398,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2024-11-14_14h33.38.842,实验程序1.0,2024.2.4,59.77700776673336,2024-11-14 14h33.49.446710 +0800,
9,0,9,,,,9,0,9,0,,,,,28.03482050076127,,,,,,,,,,,,,,28.03482050076127,28.886063501238823,28.569812500849366,17.185913000255823,j,0.2939988002181053,None,30.355378299951553,30.364140501245856,30.364140501245856,35.30639830045402,space,4.931696899235249,None,,,,,,,,,,,,,,,,,,015,001,2024-11-14_14h33.38.842,实验程序1.0,2024.2.4,59.77700776673336,2024-11-14 14h33.49.446710 +0800,
0,0,0,f,0.848352400586009,None,,,,,0,0,0,0,35.361516401171684,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.350153900682926,35.361516401171684,36.81923760101199,35.95266479998827,36.81923760101199,39.65479060076177,f,0.848352400586009,None,10,image2,12,image2,image1,['high'],0.3,0.7,015,001,2024-11-14_14h33.38.842,实验程序1.0,2024.2.4,59.77700776673336,2024-11-14 14h33.49.446710 +0800,
0,0,0,j,0.5765345003455877,None,,,,,0,0,0,0,39.705360900610685,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.69644080102444,39.705360900610685,41.51935219950974,40.9193869009614,41.51935219950974,44.41524240002036,j,0.5765345003455877,None,0,image2,11,image2,image1,"['high', 'high']",0.3,0.7,015,001,2024-11-14_14h33.38.842,实验程序1.0,2024.2.4,59.77700776673336,2024-11-14 14h33.49.446710 +0800,
1,0,1,f,0.4831656012684107,None,,,,,1,0,1,0,44.46585380099714,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4567859005183,44.46585380099714,46.552592201158404,46.05259410105646,46.552592201158404,48.156487099826336,f,0.4831656012684107,None,0,image2,10,image2,image1,"['high', 'high', 'high']",0.3,0.7,015,001,2024-11-14_14h33.38.842,实验程序1.0,2024.2.4,59.77700776673336,2024-11-14 14h33.49.446710 +0800,
2,0,2,f,0.4743654001504183,None,,,,,2,0,2,0,48.20918480120599,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.19930160045624,48.20918480120599,50.585855200886726,50.08642020076513,50.585855200886726,53.08796199969947,f,0.4743654001504183,None,10,image2,9,image2,image1,"['high', 'high', 'high', 'high']",0.3,0.7,015,001,2024-11-14_14h33.38.842,实验程序1.0,2024.2.4,59.77700776673336,2024-11-14 14h33.49.446710 +0800,
3,0,3,f,0.5181060992181301,None,,,,,3,0,3,0,53.195048900321126,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.186247900128365,53.195048900321126,55.71922600083053,55.18605210073292,55.71922600083053,58.54488760046661,f,0.5181060992181301,None,10,image2,8,image2,image1,"['high', 'high', 'high', 'high', 'high']",0.3,0.7,015,001,2024-11-14_14h33.38.842,实验程序1.0,2024.2.4,59.77700776673336,2024-11-14 14h33.49.446710 +0800,
4,0,4,j,0.41492659971117973,None,,,,,4,0,4,0,58.59573020040989,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.58690460026264,58.59573020040989,59.619253700599074,59.186172500252724,,61.172329699620605,j,0.41492659971117973,None,0,image1,7,image2,image1,"['high', 'high', 'high', 'high', 'high', 'low']",0.3,0.7,015,001,2024-11-14_14h33.38.842,实验程序1.0,2024.2.4,59.77700776673336,2024-11-14 14h33.49.446710 +0800,
5,0,5,f,0.3483908995985985,None,,,,,5,0,5,0,61.2241689004004,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.21520989947021,61.2241689004004,62.20321910083294,61.83630830049515,,63.806491799652576,f,0.3483908995985985,None,0,image1,6,image2,image1,"['high', 'high', 'high', 'high', 'low', 'low']",0.3,0.7,015,001,2024-11-14_14h33.38.842,实验程序1.0,2024.2.4,59.77700776673336,2024-11-14 14h33.49.446710 +0800,
