thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image2.stopped,key_resp.started,image1.stopped,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.003092400000014095,0.007953999999926964,0.007953999999926964,2.7987565999999333,space,2.772000100000014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,001,2025-03-08_10h49.42.613,实验程序1.0,2024.2.4,59.99793607094434,2025-03-08 10h49.52.119892 +0800,
,,,,,,,,,,,,,,,,,,,,,,,2.8124548999999206,2.8124548999999206,space,1.701720000000023,None,,,,,,,,,,,,,,,,,,,,,,,,,98,001,2025-03-08_10h49.42.613,实验程序1.0,2024.2.4,59.99793607094434,2025-03-08 10h49.52.119892 +0800,
9,0,9,,,,9,0,9,0,,,,,4.54519479999999,,,,,,,,,,,,,,4.530715600000121,4.54519479999999,4.54519479999999,6.463131200000134,space,1.9059641999999712,None,,,,,,,,,,,,,,,,,,98,001,2025-03-08_10h49.42.613,实验程序1.0,2024.2.4,59.99793607094434,2025-03-08 10h49.52.119892 +0800,
0,0,0,f,0.7648291000000427,None,,,,,0,0,0,0,6.584676599999966,,,,,,,,,,,,,,,,,,,,,6.552665299999944,6.584676599999966,8.44592590000002,7.662203300000101,8.44592590000002,10.443123600000035,f,0.7648291000000427,None,10,image1,11,image1,image2,['high'],0.7,0.3,98,001,2025-03-08_10h49.42.613,实验程序1.0,2024.2.4,59.99793607094434,2025-03-08 10h49.52.119892 +0800,
0,0,0,f,0.8907532999999148,None,,,,,0,0,0,0,10.488653999999997,,,,,,,,,,,,,,,,,,,,,10.48154139999997,10.488653999999997,13.429285400000026,12.512631199999987,13.429285400000026,15.672588899999937,f,0.8907532999999148,None,0,image2,10,image1,image2,"['high', 'low']",0.7,0.3,98,001,2025-03-08_10h49.42.613,实验程序1.0,2024.2.4,59.99793607094434,2025-03-08 10h49.52.119892 +0800,
1,0,1,f,1.1900424000000385,None,,,,,1,0,1,0,15.722477300000037,,,,,,,,,,,,,,,,,,,,,15.71528770000009,15.722477300000037,18.04599159999998,16.829238400000122,18.04599159999998,20.089226499999995,f,1.1900424000000385,None,0,image1,9,image1,image2,"['high', 'low', 'high']",0.7,0.3,98,001,2025-03-08_10h49.42.613,实验程序1.0,2024.2.4,59.99793607094434,2025-03-08 10h49.52.119892 +0800,
2,0,2,j,1.0256813999999395,None,,,,,2,0,2,0,20.140683099999933,,,,,,,,,,,,,,,,,,,,,20.13347520000002,20.140683099999933,21.995901600000025,20.9459389000001,21.995901600000025,23.61574410000003,j,1.0256813999999395,None,0,image2,8,image1,image2,"['high', 'low', 'high', 'low']",0.7,0.3,98,001,2025-03-08_10h49.42.613,实验程序1.0,2024.2.4,59.99793607094434,2025-03-08 10h49.52.119892 +0800,
3,0,3,j,1.1797229999999672,None,,,,,3,0,3,0,23.717879999999923,,,,,,,,,,,,,,,,,,,,,23.710932100000036,23.717879999999923,26.479253900000003,25.27927990000012,26.479253900000003,28.26205099999993,j,1.1797229999999672,None,10,image1,7,image1,image2,"['high', 'low', 'high', 'low', 'high']",0.7,0.3,98,001,2025-03-08_10h49.42.613,实验程序1.0,2024.2.4,59.99793607094434,2025-03-08 10h49.52.119892 +0800,
4,0,4,f,1.1121800999999323,None,,,,,4,0,4,0,28.3142749000001,,,,,,,,,,,,,,,,,,,,,28.307003300000133,28.3142749000001,30.9125825000001,29.77888380000013,30.9125825000001,32.39753910000013,f,1.1121800999999323,None,0,image1,6,image1,image2,"['high', 'low', 'high', 'low', 'high', 'high']",0.7,0.3,98,001,2025-03-08_10h49.42.613,实验程序1.0,2024.2.4,59.99793607094434,2025-03-08 10h49.52.119892 +0800,
5,0,5,None,,,,,,,5,0,5,0,32.44977700000004,,,,,,,,,,,,,,,,,,,,,32.44250680000005,32.44977700000004,34.328564500000084,33.09582440000008,34.328564500000084,35.33009540000012,None,,,,,,,,,,,98,001,2025-03-08_10h49.42.613,实验程序1.0,2024.2.4,59.99793607094434,2025-03-08 10h49.52.119892 +0800,
