thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,prac_image1.stopped,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image2.stopped,key_resp.started,image1.stopped,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,0.005132401,0.0192324,0.0192324,8.198334601,space,8.166834598,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,2024-11-15_16h23.26.905,实验程序1.0,2024.2.4,59.99124141,2024-11-15 16h23.43.205161 +0800
,,,,,,,,,,,,,,,,,,,,,,,8.212412201,8.212412201,space,4.4386991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,2024-11-15_16h23.26.905,实验程序1.0,2024.2.4,59.99124141,2024-11-15 16h23.43.205161 +0800
9,0,9,,,,9,0,9,0,,,,,35.6342563,,,,,,,,,,,,,,35.6342563,36.6365223,36.1697767,14.4360985,j,0.448155301,None,38.1057496,38.1142222,38.1142222,58.9885434,space,20.8712196,None,,,,,,,,,,,,,,,,,,13,1,2024-11-15_16h23.26.905,实验程序1.0,2024.2.4,59.99124141,2024-11-15 16h23.43.205161 +0800
0,0,0,j,0.408850299,None,,,,,0,0,0,0,59.0454803,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.032676,59.0454803,60.4031167,59.9699492,60.4031167,62.3130296,j,0.408850299,None,0,image2,9,image2,image1,['high'],0.3,0.7,13,1,2024-11-15_16h23.26.905,实验程序1.0,2024.2.4,59.99124141,2024-11-15 16h23.43.205161 +0800
0,0,0,f,1.2674422,None,,,,,0,0,0,0,62.3643241,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.3555801,62.3643241,65.1698021,63.8862696,65.1698021,67.4907239,f,1.2674422,None,10,image2,8,image2,image1,"['high', 'high']",0.3,0.7,13,1,2024-11-15_16h23.26.905,实验程序1.0,2024.2.4,59.99124141,2024-11-15 16h23.43.205161 +0800
1,0,1,j,0.374123799,None,,,,,1,0,1,0,67.5423267,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.5333159,67.5423267,69.4197451,69.0198318,69.4197451,71.0134186,j,0.374123799,None,10,image2,7,image2,image1,"['high', 'high', 'high']",0.3,0.7,13,1,2024-11-15_16h23.26.905,实验程序1.0,2024.2.4,59.99124141,2024-11-15 16h23.43.205161 +0800
2,0,2,j,0.3344825,None,,,,,2,0,2,0,71.0673197,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0574979,71.0673197,72.203448,71.8538646,,74.2648755,j,0.3344825,None,10,image2,6,image2,image1,"['high', 'high', 'high', 'high']",0.3,0.7,13,1,2024-11-15_16h23.26.905,实验程序1.0,2024.2.4,59.99124141,2024-11-15 16h23.43.205161 +0800
3,0,3,f,0.503886601,None,,,,,3,0,3,0,74.3742654,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.3652676,74.3742654,76.3034345,75.7697897,76.3034345,77.9691298,f,0.503886601,None,10,image2,5,image2,image1,"['high', 'high', 'high', 'high', 'high']",0.3,0.7,13,1,2024-11-15_16h23.26.905,实验程序1.0,2024.2.4,59.99124141,2024-11-15 16h23.43.205161 +0800
4,0,4,j,0.365922801,None,,,,,4,0,4,0,78.0200758,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0109656,78.0200758,79.2198018,78.8365381,,80.7439429,j,0.365922801,None,0,image1,4,image2,image1,"['high', 'high', 'high', 'high', 'high', 'low']",0.3,0.7,13,1,2024-11-15_16h23.26.905,实验程序1.0,2024.2.4,59.99124141,2024-11-15 16h23.43.205161 +0800
5,0,5,f,0.2929927,None,,,,,5,0,5,0,80.7951952,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.7860832,80.7951952,81.9534036,81.6362608,,84.8474597,f,0.2929927,None,10,image2,3,image2,image1,"['high', 'high', 'high', 'high', 'low', 'high']",0.3,0.7,13,1,2024-11-15_16h23.26.905,实验程序1.0,2024.2.4,59.99124141,2024-11-15 16h23.43.205161 +0800
