thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,prac_image1.stopped,prac_key_resp.stopped,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image2.stopped,key_resp.started,image1.stopped,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0032931999999163963,0.008385399999951915,0.008385399999951915,3.0962535999999545,space,3.0767264999999497,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2024-11-14_09h40.26.132,实验程序1.0,2024.2.4,60.02516254810667,2024-11-14 09h42.15.036896 +0800,
,,,,,,,,,,,,,,,,,,,,,,,3.1088066999999455,3.1088066999999455,space,4.648461999999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2024-11-14_09h40.26.132,实验程序1.0,2024.2.4,60.02516254810667,2024-11-14 09h42.15.036896 +0800,
9,0,9,,,,9,0,9,0,,,,,32.14502540000001,,,,,,,,,,,,,,32.14502540000001,33.44750899999997,32.68105379999997,33.44750899999997,9.558758300000022,f,0.7482976000000008,None,34.916689299999916,34.9260094,34.9260094,48.57361659999992,space,13.63931839999998,None,,,,,,,,,,,,,,,,,,003,001,2024-11-14_09h40.26.132,实验程序1.0,2024.2.4,60.02516254810667,2024-11-14 09h42.15.036896 +0800,
0,0,0,j,0.4186268000000837,None,,,,,0,0,0,0,48.619726000000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.61074839999992,48.619726000000014,50.13993670000002,49.68950039999993,50.13993670000002,52.12632959999996,j,0.4186268000000837,None,0,image1,13,image2,image1,['low'],0.3,0.7,003,001,2024-11-14_09h40.26.132,实验程序1.0,2024.2.4,60.02516254810667,2024-11-14 09h42.15.036896 +0800,
0,0,0,j,0.7406515000000127,None,,,,,0,0,0,0,52.176537499999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.169306000000006,52.176537499999995,54.18989929999998,53.42333789999998,54.18989929999998,56.523049000000015,j,0.7406515000000127,None,0,image2,12,image2,image1,"['low', 'high']",0.3,0.7,003,001,2024-11-14_09h40.26.132,实验程序1.0,2024.2.4,60.02516254810667,2024-11-14 09h42.15.036896 +0800,
1,0,1,j,1.0459657999999763,None,,,,,1,0,1,0,56.574002500000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.56668990000003,56.574002500000006,58.27332579999995,57.206679899999926,58.27332579999995,60.39829599999996,j,1.0459657999999763,None,0,image2,11,image2,image1,"['low', 'high', 'high']",0.3,0.7,003,001,2024-11-14_09h40.26.132,实验程序1.0,2024.2.4,60.02516254810667,2024-11-14 09h42.15.036896 +0800,
2,0,2,f,0.8096762000000126,None,,,,,2,0,2,0,60.44813019999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.44103080000002,60.44813019999992,62.356594599999994,61.52334289999999,62.356594599999994,65.04709519999994,f,0.8096762000000126,None,0,image2,10,image2,image1,"['low', 'high', 'high', 'high']",0.3,0.7,003,001,2024-11-14_09h40.26.132,实验程序1.0,2024.2.4,60.02516254810667,2024-11-14 09h42.15.036896 +0800,
3,0,3,j,0.541888399999948,None,,,,,3,0,3,0,65.14405290000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.13696110000001,65.14405290000002,67.57332609999992,67.00671190000003,67.57332609999992,70.09510150000006,j,0.541888399999948,None,0,image1,9,image2,image1,"['low', 'high', 'high', 'high', 'low']",0.3,0.7,003,001,2024-11-14_09h40.26.132,实验程序1.0,2024.2.4,60.02516254810667,2024-11-14 09h42.15.036896 +0800,
4,0,4,f,1.0874063999999635,None,,,,,4,0,4,0,70.14460159999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.1374252999999,70.14460159999999,72.29004340000006,71.17330500000003,72.29004340000006,74.76438140000005,f,1.0874063999999635,None,10,image1,8,image2,image1,"['low', 'high', 'high', 'high', 'low', 'low']",0.3,0.7,003,001,2024-11-14_09h40.26.132,实验程序1.0,2024.2.4,60.02516254810667,2024-11-14 09h42.15.036896 +0800,
5,0,5,j,1.0274460999999064,None,,,,,5,0,5,0,74.81404159999988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.80692339999996,74.81404159999988,76.72350570000003,75.67326379999986,76.72350570000003,79.19150669999999,j,1.0274460999999064,None,0,image1,7,image2,image1,"['high', 'high', 'high', 'low', 'low', 'low']",0.3,0.7,003,001,2024-11-14_09h40.26.132,实验程序1.0,2024.2.4,60.02516254810667,2024-11-14 09h42.15.036896 +0800,
