thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,prac_image1.stopped,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,prac_key_resp.stopped,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image1.stopped,image2.stopped,key_resp.started,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0045148999997763894,0.012150999998993939,0.012150999998993939,2.0329007000000274,space,2.0129718000025605,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2024-11-14_14h01.36.075,实验程序1.0,2024.2.4,60.06713102589664,2024-11-14 14h01.49.537365 +0800,
,,,,,,,,,,,,,,,,,,,,,,,2.044642400000157,2.044642400000157,space,2.005240099999355,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2024-11-14_14h01.36.075,实验程序1.0,2024.2.4,60.06713102589664,2024-11-14 14h01.49.537365 +0800,
9,0,9,,,,9,0,9,0,,,,,27.737710999997944,,,,,,,,,,,,,,27.737710999997944,28.843852899997728,28.27734480000072,21.277276599998004,j,0.5475999000009324,None,11.127254600000015,30.312850700000126,30.321427299997595,30.321427299997595,31.79489090000061,space,1.4633762999983446,None,,,,,,,,,,,,,,,,,,011,001,2024-11-14_14h01.36.075,实验程序1.0,2024.2.4,60.06713102589664,2024-11-14 14h01.49.537365 +0800,
0,0,0,j,0.3597836999979336,None,,,,,0,0,0,0,31.84212999999727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.83194569999978,31.84212999999727,33.960490099998424,33.960490099998424,33.57736549999754,35.56823689999874,j,0.3597836999979336,None,0,image1,5,image2,image1,['low'],0.3,0.7,011,001,2024-11-14_14h01.36.075,实验程序1.0,2024.2.4,60.06713102589664,2024-11-14 14h01.49.537365 +0800,
0,0,0,j,0.7182844999988447,None,,,,,0,0,0,0,35.62167910000062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.613231299998006,35.62167910000062,37.96049999999741,37.96049999999741,37.210570299997926,39.79165469999862,j,0.7182844999988447,None,0,image1,4,image2,image1,"['low', 'low']",0.3,0.7,011,001,2024-11-14_14h01.36.075,实验程序1.0,2024.2.4,60.06713102589664,2024-11-14 14h01.49.537365 +0800,
1,0,1,j,0.34380789999704575,None,,,,,1,0,1,0,39.846261499998946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8380459,39.846261499998946,42.16063539999959,42.16063539999959,41.79401189999771,44.11009080000076,j,0.34380789999704575,None,10,image1,3,image2,image1,"['low', 'low', 'low']",0.3,0.7,011,001,2024-11-14_14h01.36.075,实验程序1.0,2024.2.4,60.06713102589664,2024-11-14 14h01.49.537365 +0800,
2,0,2,f,0.5181374000021606,None,,,,,2,0,2,0,44.15715640000053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.14865389999977,44.15715640000053,46.39389049999954,46.39389049999954,45.84398449999935,48.97497999999905,f,0.5181374000021606,None,0,image1,2,image2,image1,"['low', 'low', 'low', 'low']",0.3,0.7,011,001,2024-11-14_14h01.36.075,实验程序1.0,2024.2.4,60.06713102589664,2024-11-14 14h01.49.537365 +0800,
3,0,3,j,0.8182755999987421,None,,,,,3,0,3,0,49.07062600000063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.062265699998534,49.07062600000063,51.39394909999828,51.39394909999828,50.543774399997346,52.91954479999913,j,0.8182755999987421,None,10,image1,1,image2,image1,"['low', 'low', 'low', 'low', 'low']",0.3,0.7,011,001,2024-11-14_14h01.36.075,实验程序1.0,2024.2.4,60.06713102589664,2024-11-14 14h01.49.537365 +0800,
4,0,4,j,0.6092066000019258,None,,,,,4,0,4,0,52.973272799998085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.965032000000065,52.973272799998085,54.57736509999813,54.57736509999813,53.94393669999772,56.655843299999106,j,0.6092066000019258,None,10,image2,0,image2,image1,"['low', 'low', 'low', 'low', 'low', 'high']",0.3,0.7,011,001,2024-11-14_14h01.36.075,实验程序1.0,2024.2.4,60.06713102589664,2024-11-14 14h01.49.537365 +0800,
5,0,5,f,0.5360301000000618,None,,,,,5,0,5,0,56.70776040000055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.699360599999636,56.70776040000055,58.72718410000016,58.72718410000016,58.160511699999915,60.253654899999674,f,0.5360301000000618,None,0,image2,-1,image2,image1,"['low', 'low', 'low', 'low', 'high', 'high']",0.3,0.7,011,001,2024-11-14_14h01.36.075,实验程序1.0,2024.2.4,60.06713102589664,2024-11-14 14h01.49.537365 +0800,
