thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,prac_image1.stopped,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image1.stopped,image2.stopped,key_resp.started,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0032207000003836583,0.008082199999989825,0.008082199999989825,2.984658700000182,space,2.960061799999494,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,001,2025-03-04_11h19.08.494,实验程序1.0,2024.2.4,60.06309027002969,2025-03-04 11h19.20.575517 +0800,
,,,,,,,,,,,,,,,,,,,,,,,2.9971175000000585,2.9971175000000585,space,7.042897500000436,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,001,2025-03-04_11h19.08.494,实验程序1.0,2024.2.4,60.06309027002969,2025-03-04 11h19.20.575517 +0800,
9,0,9,,,,9,0,9,0,,,,,33.989286700000775,,,,,,,,,,,,,,33.989286700000775,34.964543400000366,34.53125110000019,32.514506400000755,f,0.4038613000002442,None,36.431316700000025,36.438690700000734,36.438690700000734,37.764930400000594,space,1.3134599999993952,None,,,,,,,,,,,,,,,,,,107,001,2025-03-04_11h19.08.494,实验程序1.0,2024.2.4,60.06309027002969,2025-03-04 11h19.20.575517 +0800,
0,0,0,j,0.3345006999998077,None,,,,,0,0,0,0,37.82687630000055,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.81843670000035,37.82687630000055,40.06467100000009,40.06467100000009,39.697503000000324,42.02330120000079,j,0.3345006999998077,None,10,image1,9,image1,image2,['high'],0.7,0.3,107,001,2025-03-04_11h19.08.494,实验程序1.0,2024.2.4,60.06309027002969,2025-03-04 11h19.20.575517 +0800,
0,0,0,f,0.7251955000001544,None,,,,,0,0,0,0,42.07432140000037,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.06707640000059,42.07432140000037,43.68135180000081,43.68135180000081,42.931303400000616,46.13735100000031,f,0.7251955000001544,None,10,image1,8,image1,image2,"['high', 'high']",0.7,0.3,107,001,2025-03-04_11h19.08.494,实验程序1.0,2024.2.4,60.06309027002969,2025-03-04 11h19.20.575517 +0800,
1,0,1,j,0.6247575000006691,None,,,,,1,0,1,0,46.189781400000356,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.18292180000026,46.189781400000356,48.497923200000514,48.497923200000514,47.84799340000063,50.61234250000052,j,0.6247575000006691,None,10,image1,7,image1,image2,"['high', 'high', 'high']",0.7,0.3,107,001,2025-03-04_11h19.08.494,实验程序1.0,2024.2.4,60.06309027002969,2025-03-04 11h19.20.575517 +0800,
2,0,2,j,0.5656719999997222,None,,,,,2,0,2,0,50.661598600000616,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.654283200000464,50.661598600000616,52.26533230000041,52.26533230000041,51.68140720000065,54.69084070000008,j,0.5656719999997222,None,0,image1,6,image1,image2,"['high', 'high', 'high', 'high']",0.7,0.3,107,001,2025-03-04_11h19.08.494,实验程序1.0,2024.2.4,60.06309027002969,2025-03-04 11h19.20.575517 +0800,
3,0,3,j,0.5575744000007035,None,,,,,3,0,3,0,54.78935660000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.78238600000077,54.78935660000025,56.68123860000014,56.68123860000014,56.097764900000584,58.546474200000375,j,0.5575744000007035,None,0,image1,5,image1,image2,"['high', 'high', 'high', 'high', 'high']",0.7,0.3,107,001,2025-03-04_11h19.08.494,实验程序1.0,2024.2.4,60.06309027002969,2025-03-04 11h19.20.575517 +0800,
4,0,4,f,0.8970417999998972,None,,,,,4,0,4,0,58.59216820000074,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.58483680000063,58.59216820000074,60.93123060000016,60.93123060000016,60.01463590000003,63.69316880000042,f,0.8970417999998972,None,10,image1,4,image1,image2,"['high', 'high', 'high', 'high', 'high', 'high']",0.7,0.3,107,001,2025-03-04_11h19.08.494,实验程序1.0,2024.2.4,60.06309027002969,2025-03-04 11h19.20.575517 +0800,
5,0,5,f,0.6183142999998381,None,,,,,5,0,5,0,63.74903960000029,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.74157430000014,63.74903960000029,65.84809140000016,65.84809140000016,65.19808860000012,68.1582653000005,f,0.6183142999998381,None,10,image1,3,image1,image2,"['high', 'high', 'high', 'high', 'high', 'high']",0.7,0.3,107,001,2025-03-04_11h19.08.494,实验程序1.0,2024.2.4,60.06309027002969,2025-03-04 11h19.20.575517 +0800,
6,0,6,j,0.8564202999996269,None,,,,,6,0,6,0,68.20924080000077,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.20216540000001,68.20924080000077,70.13126780000039,70.13126780000039,69.24798530000044,72.95414970000002,j,0.8564202999996269,None,0,image1,2,image1,image2,"['high', 'high', 'high', 'high', 'high', 'high']",0.7,0.3,107,001,2025-03-04_11h19.08.494,实验程序1.0,2024.2.4,60.06309027002969,2025-03-04 11h19.20.575517 +0800,
