thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,prac_image1.stopped,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image2.stopped,key_resp.started,image1.stopped,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,0.0030001,0.0077386,0.0077386,2.4824693,space,2.4498369,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,1,2024-11-29_10h34.11.170,实验程序1.0,2024.2.4,60.02700014,2024-11-29 10h34.23.387378 +0800
,,,,,,,,,,,,,,,,,,,,,,,2.4921277,2.4921277,space,3.0613462,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,1,2024-11-29_10h34.11.170,实验程序1.0,2024.2.4,60.02700014,2024-11-29 10h34.23.387378 +0800
9,0,9,,,,9,0,9,0,,,,,28.2810022,,,,,,,,,,,,,,28.2810022,29.0718063,28.8216335,12.3550938,f,0.219693,None,30.5404147,30.5482497,30.5482497,31.6553936,space,1.1014669,None,,,,,,,,,,,,,,,,,,23,1,2024-11-29_10h34.11.170,实验程序1.0,2024.2.4,60.02700014,2024-11-29 10h34.23.387378 +0800
0,0,0,f,0.9297622,None,,,,,0,0,0,0,31.7028115,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.694029,31.7028115,33.2384075,32.2881813,33.2384075,34.7790687,f,0.9297622,None,0,image2,5,image1,image2,['low'],0.7,0.3,23,1,2024-11-29_10h34.11.170,实验程序1.0,2024.2.4,60.02700014,2024-11-29 10h34.23.387378 +0800
0,0,0,f,0.3721248,None,,,,,0,0,0,0,34.8308822,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8237548,34.8308822,36.2217131,35.8216855,36.2217131,38.0542231,f,0.3721248,None,10,image1,4,image1,image2,"['low', 'high']",0.7,0.3,23,1,2024-11-29_10h34.11.170,实验程序1.0,2024.2.4,60.02700014,2024-11-29 10h34.23.387378 +0800
1,0,1,None,,,,,,,1,0,1,0,38.0991215,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0920092,38.0991215,40.7213551,39.4884836,40.7213551,41.7227234,None,,,,,,,,,,,23,1,2024-11-29_10h34.11.170,实验程序1.0,2024.2.4,60.02700014,2024-11-29 10h34.23.387378 +0800
2,0,2,f,0.3161704,None,,,,,2,0,2,0,41.7734263,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.7662605,41.7734263,42.755105,42.4215208,,44.6490762,f,0.3161704,None,0,image2,3,image1,image2,"['low', 'high', 'low']",0.7,0.3,23,1,2024-11-29_10h34.11.170,实验程序1.0,2024.2.4,60.02700014,2024-11-29 10h34.23.387378 +0800
3,0,3,f,0.3442341,None,,,,,3,0,3,0,44.7542158,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.7468959,44.7542158,45.8718153,45.5051181,,48.4239648,f,0.3442341,None,10,image1,2,image1,image2,"['low', 'high', 'low', 'high']",0.7,0.3,23,1,2024-11-29_10h34.11.170,实验程序1.0,2024.2.4,60.02700014,2024-11-29 10h34.23.387378 +0800
4,0,4,j,0.3432149,None,,,,,4,0,4,0,48.4694485,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.4622435,48.4694485,50.1051384,49.7383508,50.1051384,52.267227,j,0.3432149,None,0,image1,1,image1,image2,"['low', 'high', 'low', 'high', 'high']",0.7,0.3,23,1,2024-11-29_10h34.11.170,实验程序1.0,2024.2.4,60.02700014,2024-11-29 10h34.23.387378 +0800
5,0,5,f,0.5155501,None,,,,,5,0,5,0,52.3127069,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.3057793,52.3127069,54.7718081,54.2383374,54.7718081,56.2376918,f,0.5155501,None,0,image2,0,image1,image2,"['low', 'high', 'low', 'high', 'high', 'low']",0.7,0.3,23,1,2024-11-29_10h34.11.170,实验程序1.0,2024.2.4,60.02700014,2024-11-29 10h34.23.387378 +0800
6,0,6,j,0.5939717,None,,,,,6,0,6,0,56.2896501,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.2824557,56.2896501,58.2884192,57.6717633,58.2884192,61.0616547,j,0.5939717,None,0,image1,-1,image1,image2,"['high', 'low', 'high', 'high', 'low', 'high']",0.7,0.3,23,1,2024-11-29_10h34.11.170,实验程序1.0,2024.2.4,60.02700014,2024-11-29 10h34.23.387378 +0800
7,0,7,f,0.3072773,None,,,,,7,0,7,0,61.1588504,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.151896,61.1588504,62.9883965,62.6550246,62.9883965,64.828417,f,0.3072773,None,0,image1,-2,image1,image2,"['low', 'high', 'high', 'low', 'high', 'high']",0.7,0.3,23,1,2024-11-29_10h34.11.170,实验程序1.0,2024.2.4,60.02700014,2024-11-29 10h34.23.387378 +0800
