thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image2.stopped,key_resp.started,image1.stopped,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.00466640001104679,0.013564900000346825,0.013564900000346825,2.940387100010412,space,2.9036485999968136,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,001,2025-03-08_10h54.50.068,实验程序1.0,2024.2.4,60.092723071170944,2025-03-08 10h54.58.851051 +0800,
,,,,,,,,,,,,,,,,,,,,,,,2.954110300008324,2.954110300008324,space,1.185734600003343,None,,,,,,,,,,,,,,,,,,,,,,,,,99,001,2025-03-08_10h54.50.068,实验程序1.0,2024.2.4,60.092723071170944,2025-03-08 10h54.58.851051 +0800,
9,0,9,,,,9,0,9,0,,,,,4.161454400004004,,,,,,,,,,,,,,4.147602199998801,4.161454400004004,4.161454400004004,4.796403900007135,space,0.6185371999890776,None,,,,,,,,,,,,,,,,,,99,001,2025-03-08_10h54.50.068,实验程序1.0,2024.2.4,60.092723071170944,2025-03-08 10h54.58.851051 +0800,
0,0,0,f,0.5233564999944065,None,,,,,0,0,0,0,4.91004509999766,,,,,,,,,,,,,,,,,,,,,4.899311700006365,4.91004509999766,6.095471799999359,5.545060200005537,6.095471799999359,7.788492600011523,f,0.5233564999944065,None,10,image2,3,image2,image1,['high'],0.3,0.7,99,001,2025-03-08_10h54.50.068,实验程序1.0,2024.2.4,60.092723071170944,2025-03-08 10h54.58.851051 +0800,
0,0,0,j,0.32550690000061877,None,,,,,0,0,0,0,7.840710600008606,,,,,,,,,,,,,,,,,,,,,7.831972100000712,7.840710600008606,8.828140700003132,8.478375100006815,,10.550286700003198,j,0.32550690000061877,None,10,image1,2,image2,image1,"['high', 'low']",0.3,0.7,99,001,2025-03-08_10h54.50.068,实验程序1.0,2024.2.4,60.092723071170944,2025-03-08 10h54.58.851051 +0800,
1,0,1,f,0.5289481999934651,None,,,,,1,0,1,0,10.603126500005601,,,,,,,,,,,,,,,,,,,,,10.593110000001616,10.603126500005601,12.128266700005042,11.578576600004453,12.128266700005042,15.076435200011474,f,0.5289481999934651,None,0,image1,1,image2,image1,"['high', 'low', 'low']",0.3,0.7,99,001,2025-03-08_10h54.50.068,实验程序1.0,2024.2.4,60.092723071170944,2025-03-08 10h54.58.851051 +0800,
2,0,2,j,1.8940360999986297,None,,,,,2,0,2,0,15.128556700001354,,,,,,,,,,,,,,,,,,,,,15.119163700001081,15.128556700001354,18.578143200007617,16.66248740001174,18.578143200007617,20.622358000007807,j,1.8940360999986297,None,10,image2,0,image2,image1,"['high', 'low', 'low', 'high']",0.3,0.7,99,001,2025-03-08_10h54.50.068,实验程序1.0,2024.2.4,60.092723071170944,2025-03-08 10h54.58.851051 +0800,
3,0,3,f,0.5666621999989729,None,,,,,3,0,3,0,20.732653700004448,,,,,,,,,,,,,,,,,,,,,20.72379470001033,20.732653700004448,22.028577500008396,21.445667000007234,22.028577500008396,23.868315800005803,f,0.5666621999989729,None,0,image2,-1,image2,image1,"['high', 'low', 'low', 'high', 'high']",0.3,0.7,99,001,2025-03-08_10h54.50.068,实验程序1.0,2024.2.4,60.092723071170944,2025-03-08 10h54.58.851051 +0800,
4,0,4,j,1.0603415000077803,None,,,,,4,0,4,0,23.92021830000158,,,,,,,,,,,,,,,,,,,,,23.91140290000476,23.92021830000158,26.595083600012003,25.512008700010483,26.595083600012003,29.130261400001473,j,1.0603415000077803,None,0,image2,-2,image2,image1,"['high', 'low', 'low', 'high', 'high', 'high']",0.3,0.7,99,001,2025-03-08_10h54.50.068,实验程序1.0,2024.2.4,60.092723071170944,2025-03-08 10h54.58.851051 +0800,
5,0,5,None,,,,,,,5,0,5,0,29.183306400009315,,,,,,,,,,,,,,,,,,,,,29.174438600006397,29.183306400009315,31.24494780000532,29.995252200009418,31.24494780000532,32.247233400004916,None,,,,,,,,,,,99,001,2025-03-08_10h54.50.068,实验程序1.0,2024.2.4,60.092723071170944,2025-03-08 10h54.58.851051 +0800,
6,0,6,f,0.5956265999993775,None,,,,,6,0,6,0,32.30246690000058,,,,,,,,,,,,,,,,,,,,,32.293632500004605,32.30246690000058,34.74492240000109,34.12821390001045,34.74492240000109,37.35321410000324,f,0.5956265999993775,None,10,image2,-3,image2,image1,"['low', 'low', 'high', 'high', 'high', 'high']",0.3,0.7,99,001,2025-03-08_10h54.50.068,实验程序1.0,2024.2.4,60.092723071170944,2025-03-08 10h54.58.851051 +0800,
7,0,7,j,0.7561660000064876,None,,,,,7,0,7,0,37.40504890000739,,,,,,,,,,,,,,,,,,,,,37.39612050000869,37.40504890000739,39.294901400004164,38.5122018000111,39.294901400004164,41.32384340000863,j,0.7561660000064876,None,0,image2,10,image1,image2,[],0.7,0.3,99,001,2025-03-08_10h54.50.068,实验程序1.0,2024.2.4,60.092723071170944,2025-03-08 10h54.58.851051 +0800,
8,0,8,f,0.9279815000045346,None,,,,,8,0,8,0,41.43470189999789,,,,,,,,,,,,,,,,,,,,,41.426054399998975,41.43470189999789,43.77859270000772,42.829177000006894,43.77859270000772,46.04797920001147,f,0.9279815000045346,None,10,image2,9,image1,image2,['low'],0.7,0.3,99,001,2025-03-08_10h54.50.068,实验程序1.0,2024.2.4,60.092723071170944,2025-03-08 10h54.58.851051 +0800,
9,0,9,f,1.0484675000043353,None,,,,,9,0,9,0,46.10018580000906,,,,,,,,,,,,,,,,,,,,,46.09130559999903,46.10018580000906,48.2782625000109,47.2116340000066,48.2782625000109,50.872790000008536,f,1.0484675000043353,None,0,image2,8,image1,image2,"['low', 'low']",0.7,0.3,99,001,2025-03-08_10h54.50.068,实验程序1.0,2024.2.4,60.092723071170944,2025-03-08 10h54.58.851051 +0800,
10,0,10,j,0.6250469999940833,None,,,,,10,0,10,0,50.92472799999814,,,,,,,,,,,,,,,,,,,,,50.91547530000389,50.92472799999814,53.46159990000888,52.81180460000178,53.46159990000888,55.08340400000452,j,0.6250469999940833,None,10,image1,7,image1,image2,"['low', 'low', 'high']",0.7,0.3,99,001,2025-03-08_10h54.50.068,实验程序1.0,2024.2.4,60.092723071170944,2025-03-08 10h54.58.851051 +0800,
11,0,11,None,,,,,,,11,0,11,0,55.13593070000934,,,,,,,,,,,,,,,,,,,,,55.12662910000654,55.13593070000934,57.22822570000426,55.99577720000525,57.22822570000426,58.230441600011545,None,,,,,,,,,,,99,001,2025-03-08_10h54.50.068,实验程序1.0,2024.2.4,60.092723071170944,2025-03-08 10h54.58.851051 +0800,
12,0,12,j,0.37453450000612065,None,,,,,12,0,12,0,58.3457430999988,,,,,,,,,,,,,,,,,,,,,58.336767200002214,58.3457430999988,59.47827250001137,59.07823100000678,,61.07545290001144,j,0.37453450000612065,None,10,image1,6,image1,image2,"['low', 'low', 'high', 'high']",0.7,0.3,99,001,2025-03-08_10h54.50.068,实验程序1.0,2024.2.4,60.092723071170944,2025-03-08 10h54.58.851051 +0800,
13,0,13,f,0.451553499995498,None,,,,,13,0,13,0,61.12816290000046,,,,,,,,,,,,,,,,,,,,,61.118931900011376,61.12816290000046,63.44500780000817,62.96166549999907,63.44500780000817,65.58712170000945,f,0.451553499995498,None,0,image1,5,image1,image2,"['low', 'low', 'high', 'high', 'high']",0.7,0.3,99,001,2025-03-08_10h54.50.068,实验程序1.0,2024.2.4,60.092723071170944,2025-03-08 10h54.58.851051 +0800,
14,0,14,f,0.4916386999975657,None,,,,,14,0,14,0,65.64106930000708,,,,,,,,,,,,,,,,,,,,,65.63201300000947,65.64106930000708,67.46161110000685,66.94524450000608,67.46161110000685,68.99298060000001,f,0.4916386999975657,None,0,image2,4,image1,image2,"['low', 'low', 'high', 'high', 'high', 'low']",0.7,0.3,99,001,2025-03-08_10h54.50.068,实验程序1.0,2024.2.4,60.092723071170944,2025-03-08 10h54.58.851051 +0800,
15,0,15,f,0.6075477999984287,None,,,,,15,0,15,0,69.04748720000498,,,,,,,,,,,,,,,,,,,,,69.03792539999995,69.04748720000498,70.6782971000066,70.04512090000208,70.6782971000066,72.61639730000752,f,0.6075477999984287,None,0,image2,3,image1,image2,"['low', 'high', 'high', 'high', 'low', 'low']",0.7,0.3,99,001,2025-03-08_10h54.50.068,实验程序1.0,2024.2.4,60.092723071170944,2025-03-08 10h54.58.851051 +0800,
16,0,16,f,0.4616494999936549,None,,,,,16,0,16,0,72.66891400000895,,,,,,,,,,,,,,,,,,,,,72.6593436000112,72.66891400000895,75.14559230000305,74.66224109999894,75.14559230000305,77.41977639999823,f,0.4616494999936549,None,10,image1,2,image1,image2,"['high', 'high', 'high', 'low', 'low', 'high']",0.7,0.3,99,001,2025-03-08_10h54.50.068,实验程序1.0,2024.2.4,60.092723071170944,2025-03-08 10h54.58.851051 +0800,
