thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,prac_image1.stopped,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image1.stopped,image2.stopped,key_resp.started,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,0.0033726,0.0083782,0.0083782,4.9408658,space,4.9182104,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,1,2024-11-17_10h26.54.637,实验程序1.0,2024.2.4,60.04682451,2024-11-17 10h27.06.744758 +0800
,,,,,,,,,,,,,,,,,,,,,,,4.9535981,4.9535981,space,4.9893553,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,1,2024-11-17_10h26.54.637,实验程序1.0,2024.2.4,60.04682451,2024-11-17 10h27.06.744758 +0800
9,0,9,,,,9,0,9,0,,,,,34.7607964,,,,,,,,,,,,,,34.7607964,35.8875451,35.2875446,33.2872326,j,0.5831176,None,37.3545284,37.3619243,37.3619243,42.2713563,space,4.9005928,None,,,,,,,,,,,,,,,,,,59,1,2024-11-17_10h26.54.637,实验程序1.0,2024.2.4,60.04682451,2024-11-17 10h27.06.744758 +0800
0,0,0,f,0.5316384,None,,,,,0,0,0,0,42.3194546,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.3103392,42.3194546,44.5209263,44.5209263,43.9706816,46.2551997,f,0.5316384,None,10,image2,5,image2,image1,['high'],0.3,0.7,59,1,2024-11-17_10h26.54.637,实验程序1.0,2024.2.4,60.04682451,2024-11-17 10h27.06.744758 +0800
0,0,0,j,0.5290617,None,,,,,0,0,0,0,46.3064873,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.2993179,46.3064873,48.8042952,48.8042952,48.2538911,51.7173882,j,0.5290617,None,10,image2,4,image2,image1,"['high', 'high']",0.3,0.7,59,1,2024-11-17_10h26.54.637,实验程序1.0,2024.2.4,60.04682451,2024-11-17 10h27.06.744758 +0800
1,0,1,f,0.6212795,None,,,,,1,0,1,0,51.7663624,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.7591004,51.7663624,53.1877538,53.1877538,52.5379311,55.1931241,f,0.6212795,None,0,image1,3,image2,image1,"['high', 'high', 'low']",0.3,0.7,59,1,2024-11-17_10h26.54.637,实验程序1.0,2024.2.4,60.04682451,2024-11-17 10h27.06.744758 +0800
2,0,2,f,0.4212352,None,,,,,2,0,2,0,55.2436833,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.236558,55.2436833,56.5876132,56.5876132,56.1375958,58.9788203,f,0.4212352,None,10,image2,2,image2,image1,"['high', 'high', 'low', 'high']",0.3,0.7,59,1,2024-11-17_10h26.54.637,实验程序1.0,2024.2.4,60.04682451,2024-11-17 10h27.06.744758 +0800
3,0,3,f,0.5104823,None,,,,,3,0,3,0,59.0801893,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0729501,59.0801893,61.637654,61.637654,61.1042724,63.4269165,f,0.5104823,None,10,image2,1,image2,image1,"['high', 'high', 'low', 'high', 'high']",0.3,0.7,59,1,2024-11-17_10h26.54.637,实验程序1.0,2024.2.4,60.04682451,2024-11-17 10h27.06.744758 +0800
4,0,4,j,0.5751051,None,,,,,4,0,4,0,63.4728168,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.4656697,63.4728168,65.0876333,65.0876333,64.4876798,67.7044838,j,0.5751051,None,0,image2,4,image1,image2,[],0.7,0.3,59,1,2024-11-17_10h26.54.637,实验程序1.0,2024.2.4,60.04682451,2024-11-17 10h27.06.744758 +0800
5,0,5,j,0.5121294,None,,,,,5,0,5,0,67.7579963,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.750831,67.7579963,69.7708605,69.7708605,69.237678,71.911564,j,0.5121294,None,0,image2,3,image1,image2,['low'],0.7,0.3,59,1,2024-11-17_10h26.54.637,实验程序1.0,2024.2.4,60.04682451,2024-11-17 10h27.06.744758 +0800
6,0,6,j,0.6790969,None,,,,,6,0,6,0,71.9650731,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.9579375,71.9650731,74.5877379,74.5877379,73.8876967,77.0163362,j,0.6790969,None,10,image1,2,image1,image2,"['low', 'high']",0.7,0.3,59,1,2024-11-17_10h26.54.637,实验程序1.0,2024.2.4,60.04682451,2024-11-17 10h27.06.744758 +0800
7,0,7,f,0.5485,None,,,,,7,0,7,0,77.1155571,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.1086631,77.1155571,79.5209279,79.5209279,78.9542783,82.4690748,f,0.5485,None,10,image1,1,image1,image2,"['low', 'high', 'high']",0.7,0.3,59,1,2024-11-17_10h26.54.637,实验程序1.0,2024.2.4,60.04682451,2024-11-17 10h27.06.744758 +0800
8,0,8,f,0.3813283,None,,,,,8,0,8,0,82.5145128,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.5075557,82.5145128,84.320721,84.320721,83.9211049,86.8430708,f,0.3813283,None,10,image1,0,image1,image2,"['low', 'high', 'high', 'high']",0.7,0.3,59,1,2024-11-17_10h26.54.637,实验程序1.0,2024.2.4,60.04682451,2024-11-17 10h27.06.744758 +0800
9,0,9,j,0.574252,None,,,,,9,0,9,0,86.8938443,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.8868061,86.8938443,89.3044216,89.3044216,88.7044522,91.6378799,j,0.574252,None,10,image1,-1,image1,image2,"['low', 'high', 'high', 'high', 'high']",0.7,0.3,59,1,2024-11-17_10h26.54.637,实验程序1.0,2024.2.4,60.04682451,2024-11-17 10h27.06.744758 +0800
10,0,10,j,0.4686234,None,,,,,10,0,10,0,91.6925928,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.6854248,91.6925928,94.0544693,94.0544693,93.554325,96.8959175,j,0.4686234,None,10,image2,-2,image1,image2,"['low', 'high', 'high', 'high', 'high', 'low']",0.7,0.3,59,1,2024-11-17_10h26.54.637,实验程序1.0,2024.2.4,60.04682451,2024-11-17 10h27.06.744758 +0800
11,0,11,f,0.7044342,None,,,,,11,0,11,0,96.9466179,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.9395758,96.9466179,99.2043144,99.2043144,98.4709904,101.6142208,f,0.7044342,None,0,image2,-3,image1,image2,"['high', 'high', 'high', 'high', 'low', 'low']",0.7,0.3,59,1,2024-11-17_10h26.54.637,实验程序1.0,2024.2.4,60.04682451,2024-11-17 10h27.06.744758 +0800
12,0,12,j,0.8600269,None,,,,,12,0,12,0,101.7129742,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.7057121,101.7129742,103.8544625,103.8544625,102.9710302,106.2412182,j,0.8600269,None,0,image1,-4,image1,image2,"['high', 'high', 'high', 'low', 'low', 'high']",0.7,0.3,59,1,2024-11-17_10h26.54.637,实验程序1.0,2024.2.4,60.04682451,2024-11-17 10h27.06.744758 +0800
13,0,13,f,0.6698438,None,,,,,13,0,13,0,106.2909849,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.2838423,106.2909849,108.6211381,108.6211381,107.92103,111.0018336,f,0.6698438,None,10,image1,-5,image1,image2,"['high', 'high', 'low', 'low', 'high', 'high']",0.7,0.3,59,1,2024-11-17_10h26.54.637,实验程序1.0,2024.2.4,60.04682451,2024-11-17 10h27.06.744758 +0800
14,0,14,f,0.4044669,None,,,,,14,0,14,0,111.0472278,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.0399199,111.0472278,,112.187749,111.7543843,114.074259,f,0.4044669,None,0,image1,-6,image1,image2,"['high', 'low', 'low', 'high', 'high', 'high']",0.7,0.3,59,1,2024-11-17_10h26.54.637,实验程序1.0,2024.2.4,60.04682451,2024-11-17 10h27.06.744758 +0800
15,0,15,j,0.3685579,None,,,,,15,0,15,0,114.1268295,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.1197577,114.1268295,116.4377945,116.4377945,116.0377968,118.9064045,j,0.3685579,None,10,image1,-7,image1,image2,"['low', 'low', 'high', 'high', 'high', 'high']",0.7,0.3,59,1,2024-11-17_10h26.54.637,实验程序1.0,2024.2.4,60.04682451,2024-11-17 10h27.06.744758 +0800
16,0,16,f,1.1134113,None,,,,,16,0,16,0,119.0086676,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.0015592,119.0086676,122.1544268,122.1544268,121.0210063,124.3762566,f,1.1134113,None,10,image1,3,image2,image1,[],0.3,0.7,59,1,2024-11-17_10h26.54.637,实验程序1.0,2024.2.4,60.04682451,2024-11-17 10h27.06.744758 +0800
17,0,17,j,0.9224169,None,,,,,17,0,17,0,124.4275516,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.4205163,124.4275516,126.7545102,126.7545102,125.804545,129.1559341,j,0.9224169,None,0,image2,2,image2,image1,['high'],0.3,0.7,59,1,2024-11-17_10h26.54.637,实验程序1.0,2024.2.4,60.04682451,2024-11-17 10h27.06.744758 +0800
18,0,18,j,0.5161959,None,,,,,18,0,18,0,129.208193,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.2008734,129.208193,131.7043464,131.7043464,131.1711251,134.0620492,j,0.5161959,None,0,image2,1,image2,image1,"['high', 'high']",0.3,0.7,59,1,2024-11-17_10h26.54.637,实验程序1.0,2024.2.4,60.04682451,2024-11-17 10h27.06.744758 +0800
19,0,19,f,0.534751,None,,,,,19,0,19,0,134.1146955,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.1072274,134.1146955,136.2545672,136.2545672,135.6878648,138.1854856,f,0.534751,None,0,image1,0,image2,image1,"['high', 'high', 'low']",0.3,0.7,59,1,2024-11-17_10h26.54.637,实验程序1.0,2024.2.4,60.04682451,2024-11-17 10h27.06.744758 +0800
20,0,20,f,0.3270005,None,,,,,20,0,20,0,138.2307875,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.2236922,138.2307875,139.6378088,139.6378088,139.2879164,141.8653018,f,0.3270005,None,0,image1,-1,image2,image1,"['high', 'high', 'low', 'low']",0.3,0.7,59,1,2024-11-17_10h26.54.637,实验程序1.0,2024.2.4,60.04682451,2024-11-17 10h27.06.744758 +0800
21,0,21,f,0.6458462,None,,,,,21,0,21,0,141.9163811,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.9091333,141.9163811,143.971199,143.971199,143.3043844,145.6043462,f,0.6458462,None,10,image2,-2,image2,image1,"['high', 'high', 'low', 'low', 'high']",0.3,0.7,59,1,2024-11-17_10h26.54.637,实验程序1.0,2024.2.4,60.04682451,2024-11-17 10h27.06.744758 +0800
22,0,22,j,0.3441164,None,,,,,22,0,22,0,145.6548272,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.6474318,145.6548272,148.0212149,148.0212149,147.6545639,150.9623799,j,0.3441164,None,10,image2,-3,image2,image1,"['high', 'high', 'low', 'low', 'high', 'high']",0.3,0.7,59,1,2024-11-17_10h26.54.637,实验程序1.0,2024.2.4,60.04682451,2024-11-17 10h27.06.744758 +0800
23,0,23,f,0.5875674,None,,,,,23,0,23,0,151.0163642,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.0091727,151.0163642,,152.1879296,151.5711731,154.4273328,f,0.5875674,None,10,image2,-4,image2,image1,"['high', 'low', 'low', 'high', 'high', 'high']",0.3,0.7,59,1,2024-11-17_10h26.54.637,实验程序1.0,2024.2.4,60.04682451,2024-11-17 10h27.06.744758 +0800
24,0,24,j,0.396008,None,,,,,24,0,24,0,154.4770663,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.4698313,154.4770663,156.4045143,156.4045143,155.987877,159.3581808,j,0.396008,None,10,image2,-5,image2,image1,"['low', 'low', 'high', 'high', 'high', 'high']",0.3,0.7,59,1,2024-11-17_10h26.54.637,实验程序1.0,2024.2.4,60.04682451,2024-11-17 10h27.06.744758 +0800
25,0,25,f,0.4691305,None,,,,,25,0,25,0,159.4605421,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.4534667,159.4605421,161.8211843,161.8211843,161.3214577,163.7832232,f,0.4691305,None,10,image2,10,image1,image2,[],0.7,0.3,59,1,2024-11-17_10h26.54.637,实验程序1.0,2024.2.4,60.04682451,2024-11-17 10h27.06.744758 +0800
26,0,26,f,0.4529644,None,,,,,26,0,26,0,163.8385187,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.8312253,163.8385187,166.2046962,166.2046962,165.7210697,168.9044716,f,0.4529644,None,0,image2,9,image1,image2,['low'],0.7,0.3,59,1,2024-11-17_10h26.54.637,实验程序1.0,2024.2.4,60.04682451,2024-11-17 10h27.06.744758 +0800
27,0,27,f,0.3334417,None,,,,,27,0,27,0,168.9583305,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.9511997,168.9583305,170.8546269,170.8546269,170.5046336,173.4745898,f,0.3334417,None,0,image2,8,image1,image2,"['low', 'low']",0.7,0.3,59,1,2024-11-17_10h26.54.637,实验程序1.0,2024.2.4,60.04682451,2024-11-17 10h27.06.744758 +0800
28,0,28,f,0.3444516,None,,,,,28,0,28,0,173.5258562,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.5186359,173.5258562,175.2211749,175.2211749,174.8546243,177.7584374,f,0.3444516,None,0,image2,7,image1,image2,"['low', 'low', 'low']",0.7,0.3,59,1,2024-11-17_10h26.54.637,实验程序1.0,2024.2.4,60.04682451,2024-11-17 10h27.06.744758 +0800
29,0,29,f,0.4481361,None,,,,,29,0,29,0,177.861823,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.8546877,177.861823,179.12125,179.12125,178.6544699,181.3482704,f,0.4481361,None,10,image2,6,image1,image2,"['low', 'low', 'low', 'low']",0.7,0.3,59,1,2024-11-17_10h26.54.637,实验程序1.0,2024.2.4,60.04682451,2024-11-17 10h27.06.744758 +0800
30,0,30,f,0.4252731,None,,,,,30,0,30,0,181.4030514,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.3956638,181.4030514,183.0879948,183.0879948,182.6379238,186.0015781,f,0.4252731,None,0,image2,5,image1,image2,"['low', 'low', 'low', 'low', 'low']",0.7,0.3,59,1,2024-11-17_10h26.54.637,实验程序1.0,2024.2.4,60.04682451,2024-11-17 10h27.06.744758 +0800
