thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,prac_image1.stopped,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image2.stopped,key_resp.started,image1.stopped,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.004328700000030494,0.020662900000047557,0.020662900000047557,6.28805090000003,space,6.234157299999993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,001,2024-11-24_10h30.09.320,实验程序1.0,2024.2.4,60.97862150507098,2024-11-24 10h30.26.813327 +0800,
,,,,,,,,,,,,,,,,,,,,,,,6.296849900000041,6.296849900000041,space,11.076965599999994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,001,2024-11-24_10h30.09.320,实验程序1.0,2024.2.4,60.97862150507098,2024-11-24 10h30.26.813327 +0800,
9,0,9,,,,9,0,9,0,,,,,40.464029700000026,,,,,,,,,,,,,,40.464029700000026,41.4730108,41.00658580000004,19.172386899999992,j,0.4398401999999919,None,42.9395179,42.947400800000025,42.947400800000025,70.14022350000005,space,27.188118300000042,None,,,,,,,,,,,,,,,,,,74,001,2024-11-24_10h30.09.320,实验程序1.0,2024.2.4,60.97862150507098,2024-11-24 10h30.26.813327 +0800,
0,0,0,f,0.42995059999998375,None,,,,,0,0,0,0,70.18802820000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.1791149,70.18802820000002,71.72312450000004,71.27284730000002,71.72312450000004,73.25229360000003,f,0.42995059999998375,None,0,image1,8,image2,image1,['low'],0.3,0.7,74,001,2024-11-24_10h30.09.320,实验程序1.0,2024.2.4,60.97862150507098,2024-11-24 10h30.26.813327 +0800,
0,0,0,f,0.3629525000000058,None,,,,,0,0,0,0,73.30373350000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.29623130000004,73.30373350000002,74.5398257,74.1564146,,76.5175395,f,0.3629525000000058,None,10,image2,7,image2,image1,"['low', 'high']",0.3,0.7,74,001,2024-11-24_10h30.09.320,实验程序1.0,2024.2.4,60.97862150507098,2024-11-24 10h30.26.813327 +0800,
1,0,1,j,0.4657689000000005,None,,,,,1,0,1,0,76.56913260000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.5619302,76.56913260000005,78.25650130000002,77.77309810000003,78.25650130000002,80.43757220000003,j,0.4657689000000005,None,0,image1,6,image2,image1,"['low', 'high', 'low']",0.3,0.7,74,001,2024-11-24_10h30.09.320,实验程序1.0,2024.2.4,60.97862150507098,2024-11-24 10h30.26.813327 +0800,
2,0,2,j,0.3593103000000042,None,,,,,2,0,2,0,80.48193130000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.47459090000001,80.48193130000004,82.42302650000005,82.0397749,82.42302650000005,84.79215470000003,j,0.3593103000000042,None,10,image2,5,image2,image1,"['low', 'high', 'low', 'high']",0.3,0.7,74,001,2024-11-24_10h30.09.320,实验程序1.0,2024.2.4,60.97862150507098,2024-11-24 10h30.26.813327 +0800,
3,0,3,j,0.35230980000000045,None,,,,,3,0,3,0,84.89528920000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.88804700000003,84.89528920000004,86.57319050000001,86.18974790000004,86.57319050000001,88.47077290000004,j,0.35230980000000045,None,10,image2,4,image2,image1,"['low', 'high', 'low', 'high', 'high']",0.3,0.7,74,001,2024-11-24_10h30.09.320,实验程序1.0,2024.2.4,60.97862150507098,2024-11-24 10h30.26.813327 +0800,
4,0,4,j,0.3978501999999935,None,,,,,4,0,4,0,88.51512350000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.50801010000004,88.51512350000002,90.87322090000004,90.45649640000005,90.87322090000004,93.7358145,j,0.3978501999999935,None,10,image2,3,image2,image1,"['low', 'high', 'low', 'high', 'high', 'high']",0.3,0.7,74,001,2024-11-24_10h30.09.320,实验程序1.0,2024.2.4,60.97862150507098,2024-11-24 10h30.26.813327 +0800,
5,0,5,j,0.3726847000000362,None,,,,,5,0,5,0,93.77916070000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.77192930000001,93.77916070000003,94.88991090000002,94.48981580000003,,96.9164748,j,0.3726847000000362,None,0,image2,2,image2,image1,"['high', 'low', 'high', 'high', 'high', 'high']",0.3,0.7,74,001,2024-11-24_10h30.09.320,实验程序1.0,2024.2.4,60.97862150507098,2024-11-24 10h30.26.813327 +0800,
6,0,6,f,0.3736380000000281,None,,,,,6,0,6,0,96.96682050000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.95956940000002,96.96682050000004,99.2732388,98.87323430000004,99.2732388,101.2597791,f,0.3736380000000281,None,0,image1,1,image2,image1,"['low', 'high', 'high', 'high', 'high', 'low']",0.3,0.7,74,001,2024-11-24_10h30.09.320,实验程序1.0,2024.2.4,60.97862150507098,2024-11-24 10h30.26.813327 +0800,
7,0,7,j,0.7723186999999712,None,,,,,7,0,7,0,101.35058710000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.3435718,101.35058710000004,103.5065692,102.7065346,103.5065692,105.42507030000002,j,0.7723186999999712,None,10,image1,0,image2,image1,"['high', 'high', 'high', 'high', 'low', 'low']",0.3,0.7,74,001,2024-11-24_10h30.09.320,实验程序1.0,2024.2.4,60.97862150507098,2024-11-24 10h30.26.813327 +0800,
8,0,8,f,0.4795247000000131,None,,,,,8,0,8,0,105.47526000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.46807080000002,105.47526000000005,107.50664650000004,107.00646820000003,107.50664650000004,109.4913037,f,0.4795247000000131,None,10,image1,-1,image2,image1,"['high', 'high', 'high', 'low', 'low', 'low']",0.3,0.7,74,001,2024-11-24_10h30.09.320,实验程序1.0,2024.2.4,60.97862150507098,2024-11-24 10h30.26.813327 +0800,
9,0,9,j,0.4874237000000221,None,,,,,9,0,9,0,109.54398460000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.53685430000002,109.54398460000004,111.53993460000004,111.02325450000001,111.53993460000004,113.73914790000003,j,0.4874237000000221,None,10,image1,-2,image2,image1,"['high', 'high', 'low', 'low', 'low', 'low']",0.3,0.7,74,001,2024-11-24_10h30.09.320,实验程序1.0,2024.2.4,60.97862150507098,2024-11-24 10h30.26.813327 +0800,
10,0,10,f,0.7511364000000071,None,,,,,10,0,10,0,113.78941300000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.78226910000001,113.78941300000002,115.4232154,114.64000670000001,115.4232154,116.98572160000003,f,0.7511364000000071,None,10,image1,-3,image2,image1,"['high', 'low', 'low', 'low', 'low', 'low']",0.3,0.7,74,001,2024-11-24_10h30.09.320,实验程序1.0,2024.2.4,60.97862150507098,2024-11-24 10h30.26.813327 +0800,
11,0,11,j,0.41940650000003643,None,,,,,11,0,11,0,117.03758240000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.03024740000001,117.03758240000002,119.17332010000001,118.72324950000001,119.17332010000001,120.80904760000004,j,0.41940650000003643,None,10,image1,-4,image2,image1,"['low', 'low', 'low', 'low', 'low', 'low']",0.3,0.7,74,001,2024-11-24_10h30.09.320,实验程序1.0,2024.2.4,60.97862150507098,2024-11-24 10h30.26.813327 +0800,
12,0,12,j,0.49555540000000065,None,,,,,12,0,12,0,120.90527320000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.89796319999999,120.90527320000001,122.13999410000002,121.62346610000003,,124.6731446,j,0.49555540000000065,None,0,image2,-5,image2,image1,"['low', 'low', 'low', 'low', 'low', 'high']",0.3,0.7,74,001,2024-11-24_10h30.09.320,实验程序1.0,2024.2.4,60.97862150507098,2024-11-24 10h30.26.813327 +0800,
13,0,13,j,0.5689881000000128,None,,,,,13,0,13,0,124.7220504,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.71467140000004,124.7220504,126.35653200000002,125.7568329,126.35653200000002,129.2740076,j,0.5689881000000128,None,0,image1,-6,image2,image1,"['low', 'low', 'low', 'low', 'high', 'low']",0.3,0.7,74,001,2024-11-24_10h30.09.320,实验程序1.0,2024.2.4,60.97862150507098,2024-11-24 10h30.26.813327 +0800,
14,0,14,j,0.38888179999997874,None,,,,,14,0,14,0,129.32355540000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.31617800000004,129.32355540000003,130.7066201,130.28987900000004,130.7066201,132.3906071,j,0.38888179999997874,None,10,image2,-7,image2,image1,"['low', 'low', 'low', 'high', 'low', 'high']",0.3,0.7,74,001,2024-11-24_10h30.09.320,实验程序1.0,2024.2.4,60.97862150507098,2024-11-24 10h30.26.813327 +0800,
15,0,15,j,0.4109109999999987,None,,,,,15,0,15,0,132.43514650000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.42772560000003,132.43514650000003,133.97330290000002,133.5398561,133.97330290000002,136.5772255,j,0.4109109999999987,None,10,image2,-8,image2,image1,"['low', 'low', 'high', 'low', 'high', 'high']",0.3,0.7,74,001,2024-11-24_10h30.09.320,实验程序1.0,2024.2.4,60.97862150507098,2024-11-24 10h30.26.813327 +0800,
16,0,16,j,0.40168979999998555,None,,,,,16,0,16,0,136.67462160000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.6677047,136.67462160000002,138.1899174,137.75653830000005,138.1899174,139.8891721,j,0.40168979999998555,None,0,image2,-9,image2,image1,"['low', 'high', 'low', 'high', 'high', 'high']",0.3,0.7,74,001,2024-11-24_10h30.09.320,实验程序1.0,2024.2.4,60.97862150507098,2024-11-24 10h30.26.813327 +0800,
17,0,17,f,0.5076695999999856,None,,,,,17,0,17,0,139.93925410000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.9319671,139.93925410000003,142.05659350000008,141.52329350000002,142.05659350000008,143.87878750000004,f,0.5076695999999856,None,10,image2,12,image1,image2,[],0.7,0.3,74,001,2024-11-24_10h30.09.320,实验程序1.0,2024.2.4,60.97862150507098,2024-11-24 10h30.26.813327 +0800,
18,0,18,f,0.6366868000000068,None,,,,,18,0,18,0,143.92938249999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.92226870000002,143.92938249999997,145.19002999999998,144.5231758,145.19002999999998,147.37721720000002,f,0.6366868000000068,None,10,image2,11,image1,image2,['low'],0.7,0.3,74,001,2024-11-24_10h30.09.320,实验程序1.0,2024.2.4,60.97862150507098,2024-11-24 10h30.26.813327 +0800,
