thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image1.stopped,image2.stopped,key_resp.started,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0047877999022603035,0.0196316996589303,0.0196316996589303,2.798259699717164,space,2.751688299700618,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,001,2025-03-04_10h37.42.179,实验程序1.0,2024.2.4,60.043940140475094,2025-03-04 10h37.51.468416 +0800,
,,,,,,,,,,,,,,,,,,,,,,,2.8118863999843597,2.8118863999843597,space,4.583027600310743,None,,,,,,,,,,,,,,,,,,,,,,,,,87,001,2025-03-04_10h37.42.179,实验程序1.0,2024.2.4,60.043940140475094,2025-03-04 10h37.51.468416 +0800,
9,0,9,,,,9,0,9,0,,,,,7.419530099257827,,,,,,,,,,,,,,7.405444999225438,7.419530099257827,7.419530099257827,12.68786729965359,space,5.255377099849284,None,,,,,,,,,,,,,,,,,,87,001,2025-03-04_10h37.42.179,实验程序1.0,2024.2.4,60.043940140475094,2025-03-04 10h37.51.468416 +0800,
0,0,0,None,,,,,,,0,0,0,0,12.804628799669445,,,,,,,,,,,,,,,,,,,,,12.79197769984603,12.804628799669445,15.76985739916563,15.76985739916563,14.53643099963665,16.771951199509203,None,,,,,,,,,,,87,001,2025-03-04_10h37.42.179,实验程序1.0,2024.2.4,60.043940140475094,2025-03-04 10h37.51.468416 +0800,
0,0,0,f,0.7045461004599929,None,,,,,0,0,0,0,16.824651999399066,,,,,,,,,,,,,,,,,,,,,16.815476699732244,16.824651999399066,18.303014199249446,18.303014199249446,17.569956799969077,21.140443599782884,f,0.7045461004599929,None,10,image2,12,image1,image2,['low'],0.7,0.3,87,001,2025-03-04_10h37.42.179,实验程序1.0,2024.2.4,60.043940140475094,2025-03-04 10h37.51.468416 +0800,
1,0,1,j,0.8979545999318361,None,,,,,1,0,1,0,21.192523799836636,,,,,,,,,,,,,,,,,,,,,21.183711200021207,21.192523799836636,23.852941799908876,23.852941799908876,22.936661299318075,25.991342099383473,j,0.8979545999318361,None,10,image1,11,image1,image2,"['low', 'high']",0.7,0.3,87,001,2025-03-04_10h37.42.179,实验程序1.0,2024.2.4,60.043940140475094,2025-03-04 10h37.51.468416 +0800,
2,0,2,f,1.0422024000436068,None,,,,,2,0,2,0,26.043524299748242,,,,,,,,,,,,,,,,,,,,,26.03407139983028,26.043524299748242,28.83650409989059,28.83650409989059,27.769606099464,31.050152000039816,f,1.0422024000436068,None,10,image1,10,image1,image2,"['low', 'high', 'high']",0.7,0.3,87,001,2025-03-04_10h37.42.179,实验程序1.0,2024.2.4,60.043940140475094,2025-03-04 10h37.51.468416 +0800,
3,0,3,j,0.6400308003649116,None,,,,,3,0,3,0,31.164565699175,,,,,,,,,,,,,,,,,,,,,31.1554618999362,31.164565699175,33.66974699962884,33.66974699962884,33.003650499507785,36.42024329956621,j,0.6400308003649116,None,0,image1,9,image1,image2,"['low', 'high', 'high', 'high']",0.7,0.3,87,001,2025-03-04_10h37.42.179,实验程序1.0,2024.2.4,60.043940140475094,2025-03-04 10h37.51.468416 +0800,
4,0,4,j,0.7035811003297567,None,,,,,4,0,4,0,36.471652399748564,,,,,,,,,,,,,,,,,,,,,36.46227529924363,36.471652399748564,39.102926899679005,39.102926899679005,38.37039829976857,41.94812429975718,j,0.7035811003297567,None,10,image1,8,image1,image2,"['low', 'high', 'high', 'high', 'high']",0.7,0.3,87,001,2025-03-04_10h37.42.179,实验程序1.0,2024.2.4,60.043940140475094,2025-03-04 10h37.51.468416 +0800,
5,0,5,f,0.5192922996357083,None,,,,,5,0,5,0,42.00073689967394,,,,,,,,,,,,,,,,,,,,,41.99162169918418,42.00073689967394,44.15333129931241,44.15333129931241,43.60338769946247,46.737845099531114,f,0.5192922996357083,None,0,image2,7,image1,image2,"['low', 'high', 'high', 'high', 'high', 'low']",0.7,0.3,87,001,2025-03-04_10h37.42.179,实验程序1.0,2024.2.4,60.043940140475094,2025-03-04 10h37.51.468416 +0800,
6,0,6,f,0.47875479981303215,None,,,,,6,0,6,0,46.789124799892306,,,,,,,,,,,,,,,,,,,,,46.78005169983953,46.789124799892306,49.13634599931538,49.13634599931538,48.63640780001879,51.72781539987773,f,0.47875479981303215,None,0,image2,6,image1,image2,"['high', 'high', 'high', 'high', 'low', 'low']",0.7,0.3,87,001,2025-03-04_10h37.42.179,实验程序1.0,2024.2.4,60.043940140475094,2025-03-04 10h37.51.468416 +0800,
7,0,7,f,0.8598907003179193,None,,,,,7,0,7,0,51.7793804993853,,,,,,,,,,,,,,,,,,,,,51.77064889948815,51.7793804993853,54.152993199415505,54.152993199415505,53.27074859943241,56.9510093992576,f,0.8598907003179193,None,0,image1,5,image1,image2,"['high', 'high', 'high', 'low', 'low', 'high']",0.7,0.3,87,001,2025-03-04_10h37.42.179,实验程序1.0,2024.2.4,60.043940140475094,2025-03-04 10h37.51.468416 +0800,
8,0,8,j,0.778133699670434,None,,,,,8,0,8,0,57.06013129930943,,,,,,,,,,,,,,,,,,,,,57.0512877991423,57.06013129930943,58.93625339958817,58.93625339958817,58.13646729942411,60.80814559943974,j,0.778133699670434,None,0,image1,4,image1,image2,"['high', 'high', 'low', 'low', 'high', 'high']",0.7,0.3,87,001,2025-03-04_10h37.42.179,实验程序1.0,2024.2.4,60.043940140475094,2025-03-04 10h37.51.468416 +0800,
9,0,9,f,0.9962478000670671,None,,,,,9,0,9,0,60.86000069975853,,,,,,,,,,,,,,,,,,,,,60.85120469983667,60.86000069975853,62.72048049978912,62.72048049978912,61.70297259930521,65.4833963997662,f,0.9962478000670671,None,0,image1,3,image1,image2,"['high', 'low', 'low', 'high', 'high', 'high']",0.7,0.3,87,001,2025-03-04_10h37.42.179,实验程序1.0,2024.2.4,60.043940140475094,2025-03-04 10h37.51.468416 +0800,
10,0,10,f,0.9854929000139236,None,,,,,10,0,10,0,65.53709449991584,,,,,,,,,,,,,,,,,,,,,65.52715579979122,65.53709449991584,68.35294519923627,68.35294519923627,67.33655519969761,71.01394509989768,f,0.9854929000139236,None,0,image2,2,image1,image2,"['low', 'low', 'high', 'high', 'high', 'low']",0.7,0.3,87,001,2025-03-04_10h37.42.179,实验程序1.0,2024.2.4,60.043940140475094,2025-03-04 10h37.51.468416 +0800,
11,0,11,f,0.9128522993996739,None,,,,,11,0,11,0,71.06590809952468,,,,,,,,,,,,,,,,,,,,,71.05679439939559,71.06590809952468,72.90306849963963,72.90306849963963,71.96990659926087,75.47352219931781,f,0.9128522993996739,None,0,image2,1,image1,image2,"['low', 'high', 'high', 'high', 'low', 'low']",0.7,0.3,87,001,2025-03-04_10h37.42.179,实验程序1.0,2024.2.4,60.043940140475094,2025-03-04 10h37.51.468416 +0800,
12,0,12,f,0.6443488001823425,None,,,,,12,0,12,0,75.58426259923726,,,,,,,,,,,,,,,,,,,,,75.5736445998773,75.58426259923726,77.76952889934182,77.76952889934182,77.10292399954051,79.30987099930644,f,0.6443488001823425,None,0,image2,0,image1,image2,"['high', 'high', 'high', 'low', 'low', 'low']",0.7,0.3,87,001,2025-03-04_10h37.42.179,实验程序1.0,2024.2.4,60.043940140475094,2025-03-04 10h37.51.468416 +0800,
13,0,13,j,0.5011306004598737,None,,,,,13,0,13,0,79.36174859944731,,,,,,,,,,,,,,,,,,,,,79.35266639944166,79.36174859944731,81.18702419940382,81.18702419940382,80.65344049967825,82.85624449979514,j,0.5011306004598737,None,10,image1,-1,image1,image2,"['high', 'high', 'low', 'low', 'low', 'high']",0.7,0.3,87,001,2025-03-04_10h37.42.179,实验程序1.0,2024.2.4,60.043940140475094,2025-03-04 10h37.51.468416 +0800,
14,0,14,j,0.5083671007305384,None,,,,,14,0,14,0,82.90768009983003,,,,,,,,,,,,,,,,,,,,,82.89848649967462,82.90768009983003,84.58652529958636,84.58652529958636,84.05365559924394,87.25501419976354,j,0.5083671007305384,None,10,image1,-2,image1,image2,"['high', 'low', 'low', 'low', 'high', 'high']",0.7,0.3,87,001,2025-03-04_10h37.42.179,实验程序1.0,2024.2.4,60.043940140475094,2025-03-04 10h37.51.468416 +0800,
15,0,15,j,0.7322778003290296,None,,,,,15,0,15,0,87.30673489999026,,,,,,,,,,,,,,,,,,,,,87.29782469943166,87.30673489999026,89.23668729979545,89.23668729979545,88.48644799925387,92.08910329919308,j,0.7322778003290296,None,0,image2,-3,image1,image2,"['low', 'low', 'low', 'high', 'high', 'low']",0.7,0.3,87,001,2025-03-04_10h37.42.179,实验程序1.0,2024.2.4,60.043940140475094,2025-03-04 10h37.51.468416 +0800,
16,0,16,j,0.710351699963212,None,,,,,16,0,16,0,92.14191209990531,,,,,,,,,,,,,,,,,,,,,92.13219349924475,92.14191209990531,93.55318799987435,93.55318799987435,92.81964289955795,95.12284570001066,j,0.710351699963212,None,0,image2,-4,image1,image2,"['low', 'low', 'high', 'high', 'low', 'low']",0.7,0.3,87,001,2025-03-04_10h37.42.179,实验程序1.0,2024.2.4,60.043940140475094,2025-03-04 10h37.51.468416 +0800,
17,0,17,f,0.3818544000387192,None,,,,,17,0,17,0,95.23243819922209,,,,,,,,,,,,,,,,,,,,,95.22324149962515,95.23243819922209,97.0196741996333,97.0196741996333,96.62012069951743,98.50803869962692,f,0.3818544000387192,None,10,image1,-5,image1,image2,"['low', 'high', 'high', 'low', 'low', 'high']",0.7,0.3,87,001,2025-03-04_10h37.42.179,实验程序1.0,2024.2.4,60.043940140475094,2025-03-04 10h37.51.468416 +0800,
18,0,18,f,0.527874999679625,None,,,,,18,0,18,0,98.56034579966217,,,,,,,,,,,,,,,,,,,,,98.55139699950814,98.56034579966217,,99.71988669969141,99.16990819945931,101.9710190994665,f,0.527874999679625,None,10,image1,-6,image1,image2,"['high', 'high', 'low', 'low', 'high', 'high']",0.7,0.3,87,001,2025-03-04_10h37.42.179,实验程序1.0,2024.2.4,60.043940140475094,2025-03-04 10h37.51.468416 +0800,
19,0,19,f,0.43733480013906956,None,,,,,19,0,19,0,102.02311699930578,,,,,,,,,,,,,,,,,,,,,102.01412189938128,102.02311699930578,103.90295269992203,103.90295269992203,103.4370699999854,106.78688649926335,f,0.43733480013906956,None,10,image1,-7,image1,image2,"['high', 'low', 'low', 'high', 'high', 'high']",0.7,0.3,87,001,2025-03-04_10h37.42.179,实验程序1.0,2024.2.4,60.043940140475094,2025-03-04 10h37.51.468416 +0800,
