thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,prac_image1.stopped,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,prac_key_resp.stopped,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image2.stopped,key_resp.started,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,image1.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.00322760000017297,0.007879600000705977,0.007879600000705977,4.8133285000003525,space,4.800171599999885,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,001,2024-11-16_10h43.33.115,实验程序1.0,2024.2.4,59.983684437765014,2024-11-16 10h43.40.768978 +0800,
,,,,,,,,,,,,,,,,,,,,,,,4.82581670000036,4.82581670000036,space,3.069899799999803,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,001,2024-11-16_10h43.33.115,实验程序1.0,2024.2.4,59.983684437765014,2024-11-16 10h43.40.768978 +0800,
9,0,9,,,,9,0,9,0,,,,,31.082341900000756,,,,,,,,,,,,,,31.082341900000756,32.140394500000184,31.623914500000865,27.140448100000867,j,0.48706959999981336,None,14.947676700000557,33.60898740000084,33.61662940000042,33.61662940000042,34.80803040000046,space,1.1901179999995293,None,,,,,,,,,,,,,,,,,,14,001,2024-11-16_10h43.33.115,实验程序1.0,2024.2.4,59.983684437765014,2024-11-16 10h43.40.768978 +0800,
0,0,0,f,0.579546300000402,None,,,,,0,0,0,0,34.8618505000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.852974300000824,34.8618505000004,35.95709740000075,35.35671000000002,37.46871250000004,f,0.579546300000402,None,0,image1,5,image2,image1,['low'],0.3,0.7,,14,001,2024-11-16_10h43.33.115,实验程序1.0,2024.2.4,59.983684437765014,2024-11-16 10h43.40.768978 +0800,
0,0,0,f,1.4529434000005494,None,,,,,0,0,0,0,37.52113580000059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.51378440000008,37.52113580000059,39.57367780000004,38.09045470000001,41.87765160000072,f,1.4529434000005494,None,0,image2,4,image2,image1,"['low', 'high']",0.3,0.7,39.57367780000004,14,001,2024-11-16_10h43.33.115,实验程序1.0,2024.2.4,59.983684437765014,2024-11-16 10h43.40.768978 +0800,
1,0,1,j,0.6412872000000789,None,,,,,1,0,1,0,41.930809900000895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.923650100000486,41.930809900000895,43.2737403000001,42.607006100000035,45.154540100000304,j,0.6412872000000789,None,0,image2,3,image2,image1,"['low', 'high', 'high']",0.3,0.7,43.2737403000001,14,001,2024-11-16_10h43.33.115,实验程序1.0,2024.2.4,59.983684437765014,2024-11-16 10h43.40.768978 +0800,
2,0,2,f,0.5344773999995596,None,,,,,2,0,2,0,45.20088870000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.193758000000344,45.20088870000018,47.62370550000014,47.05710030000046,50.20618750000085,f,0.5344773999995596,None,10,image1,2,image2,image1,"['low', 'high', 'high', 'low']",0.3,0.7,47.62370550000014,14,001,2024-11-16_10h43.33.115,实验程序1.0,2024.2.4,59.983684437765014,2024-11-16 10h43.40.768978 +0800,
3,0,3,f,0.4959337999998752,None,,,,,3,0,3,0,50.3058101000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.298752500000774,50.3058101000006,52.14037660000031,51.62372050000067,54.89960940000037,f,0.4959337999998752,None,0,image1,1,image2,image1,"['low', 'high', 'high', 'low', 'low']",0.3,0.7,52.14037660000031,14,001,2024-11-16_10h43.33.115,实验程序1.0,2024.2.4,59.983684437765014,2024-11-16 10h43.40.768978 +0800,
4,0,4,j,0.5892119999998613,None,,,,,4,0,4,0,54.95023680000031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.94330830000035,54.95023680000031,57.10706040000059,56.49032270000043,59.425631400000384,j,0.5892119999998613,None,10,image1,0,image2,image1,"['low', 'high', 'high', 'low', 'low', 'low']",0.3,0.7,57.10706040000059,14,001,2024-11-16_10h43.33.115,实验程序1.0,2024.2.4,59.983684437765014,2024-11-16 10h43.40.768978 +0800,
5,0,5,f,0.5262585000000399,None,,,,,5,0,5,0,59.47910540000066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.47220340000058,59.47910540000066,61.62368100000003,61.07362770000054,63.66883190000044,f,0.5262585000000399,None,0,image1,-1,image2,image1,"['high', 'high', 'low', 'low', 'low', 'low']",0.3,0.7,61.62368100000003,14,001,2024-11-16_10h43.33.115,实验程序1.0,2024.2.4,59.983684437765014,2024-11-16 10h43.40.768978 +0800,
6,0,6,f,0.4848255999995672,None,,,,,6,0,6,0,63.721682400000645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.714389600000686,63.721682400000645,65.80705030000081,65.29035790000034,68.2521815,f,0.4848255999995672,None,0,image1,-2,image2,image1,"['high', 'low', 'low', 'low', 'low', 'low']",0.3,0.7,65.80705030000081,14,001,2024-11-16_10h43.33.115,实验程序1.0,2024.2.4,59.983684437765014,2024-11-16 10h43.40.768978 +0800,
