thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,prac_image1.stopped,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image1.stopped,image2.stopped,key_resp.started,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.003160200000365876,0.0077796000000489585,0.0077796000000489585,16.32198470000003,space,16.305431599999793,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,001,2024-11-26_11h11.33.306,实验程序1.0,2024.2.4,60.01255462634428,2024-11-26 11h11.48.030327 +0800,
,,,,,,,,,,,,,,,,,,,,,,,16.337076799999977,16.337076799999977,space,6.904066799999782,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,001,2024-11-26_11h11.33.306,实验程序1.0,2024.2.4,60.01255462634428,2024-11-26 11h11.48.030327 +0800,
9,0,9,,,,9,0,9,0,,,,,47.21110260000023,,,,,,,,,,,,,,47.21110260000023,48.25441560000036,47.7377735,33.23780590000024,f,0.49510209999971266,None,49.720368600000256,49.72809610000013,49.72809610000013,60.28822130000026,space,10.545345999999881,None,,,,,,,,,,,,,,,,,,78,001,2024-11-26_11h11.33.306,实验程序1.0,2024.2.4,60.01255462634428,2024-11-26 11h11.48.030327 +0800,
0,0,0,f,0.4347585999998955,None,,,,,0,0,0,0,60.33743530000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.328593400000045,60.33743530000038,62.52106100000037,62.52106100000037,62.05390680000028,64.1241143000002,f,0.4347585999998955,None,0,image2,11,image2,image1,['high'],0.3,0.7,78,001,2024-11-26_11h11.33.306,实验程序1.0,2024.2.4,60.01255462634428,2024-11-26 11h11.48.030327 +0800,
0,0,0,f,0.6259138999998868,None,,,,,0,0,0,0,64.17338410000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.16631570000027,64.17338410000002,66.72104620000027,66.72104620000027,66.07103490000009,68.70398150000028,f,0.6259138999998868,None,0,image2,10,image2,image1,"['high', 'high']",0.3,0.7,78,001,2024-11-26_11h11.33.306,实验程序1.0,2024.2.4,60.01255462634428,2024-11-26 11h11.48.030327 +0800,
1,0,1,f,0.6915153999998438,None,,,,,1,0,1,0,68.74745110000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.74050930000021,68.74745110000003,70.17115970000032,70.17115970000032,69.45448660000011,71.91893710000022,f,0.6915153999998438,None,10,image1,9,image2,image1,"['high', 'high', 'low']",0.3,0.7,78,001,2024-11-26_11h11.33.306,实验程序1.0,2024.2.4,60.01255462634428,2024-11-26 11h11.48.030327 +0800,
2,0,2,f,0.5454359000000295,None,,,,,2,0,2,0,71.96324080000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.95625730000029,71.96324080000022,73.83778120000034,73.83778120000034,73.27104750000035,76.73765260000027,f,0.5454359000000295,None,0,image1,8,image2,image1,"['high', 'high', 'low', 'low']",0.3,0.7,78,001,2024-11-26_11h11.33.306,实验程序1.0,2024.2.4,60.01255462634428,2024-11-26 11h11.48.030327 +0800,
3,0,3,f,0.531878400000096,None,,,,,3,0,3,0,76.83534780000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.8280949,76.83534780000036,78.57104370000025,78.57104370000025,78.02108110000017,80.72052350000013,f,0.531878400000096,None,0,image1,7,image2,image1,"['high', 'high', 'low', 'low', 'low']",0.3,0.7,78,001,2024-11-26_11h11.33.306,实验程序1.0,2024.2.4,60.01255462634428,2024-11-26 11h11.48.030327 +0800,
4,0,4,f,0.3488521000003857,None,,,,,4,0,4,0,80.77023300000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.76311150000038,80.77023300000019,82.57113660000005,82.57113660000005,82.20443960000011,84.86031570000023,f,0.3488521000003857,None,10,image1,6,image2,image1,"['high', 'high', 'low', 'low', 'low', 'low']",0.3,0.7,78,001,2024-11-26_11h11.33.306,实验程序1.0,2024.2.4,60.01255462634428,2024-11-26 11h11.48.030327 +0800,
5,0,5,f,0.6139885000002323,None,,,,,5,0,5,0,84.90388840000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.89675970000008,84.90388840000014,87.00459040000032,87.00459040000032,86.37126790000002,89.01722340000015,f,0.6139885000002323,None,0,image2,5,image2,image1,"['high', 'low', 'low', 'low', 'low', 'high']",0.3,0.7,78,001,2024-11-26_11h11.33.306,实验程序1.0,2024.2.4,60.01255462634428,2024-11-26 11h11.48.030327 +0800,
