thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,prac_image1.stopped,prac_key_resp.stopped,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image1.stopped,image2.stopped,key_resp.started,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0063122999999905005,0.016096600000082617,0.016096600000082617,3.4071752000002107,space,3.361375100000032,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,001,2024-11-15_20h10.27.445,实验程序1.0,2024.2.4,59.839605920269044,2024-11-15 20h10.44.057439 +0800,
,,,,,,,,,,,,,,,,,,,,,,,3.4188369000000876,3.4188369000000876,space,3.6860589000000346,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,001,2024-11-15_20h10.27.445,实验程序1.0,2024.2.4,59.839605920269044,2024-11-15 20h10.44.057439 +0800,
9,0,9,,,,9,0,9,0,,,,,31.677662800000007,,,,,,,,,,,,,,31.677662800000007,32.76549050000017,32.21535310000013,30.198617600000034,11.715248500000143,f,0.5225180999998429,None,34.23422360000018,34.24296220000019,34.24296220000019,38.41663900000003,space,4.157187099999874,None,,,,,,,,,,,,,,,,,,18,001,2024-11-15_20h10.27.445,实验程序1.0,2024.2.4,59.839605920269044,2024-11-15 20h10.44.057439 +0800,
0,0,0,j,0.47744409999995696,None,,,,,0,0,0,0,38.469255800000155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.45959620000008,38.469255800000155,40.81590670000014,40.81590670000014,40.3152728,42.93003850000014,j,0.47744409999995696,None,10,image1,6,image2,image1,['low'],0.3,0.7,18,001,2024-11-15_20h10.27.445,实验程序1.0,2024.2.4,59.839605920269044,2024-11-15 20h10.44.057439 +0800,
0,0,0,j,0.419744000000037,None,,,,,0,0,0,0,42.981617700000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.972566500000084,42.981617700000015,44.399322400000074,44.399322400000074,43.948834900000065,46.70610850000003,j,0.419744000000037,None,0,image1,5,image2,image1,"['low', 'low']",0.3,0.7,18,001,2024-11-15_20h10.27.445,实验程序1.0,2024.2.4,59.839605920269044,2024-11-15 20h10.44.057439 +0800,
1,0,1,f,0.5579138999999032,None,,,,,1,0,1,0,46.75665650000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.74800120000009,46.75665650000019,48.26554870000018,48.26554870000018,47.682621500000096,50.82903570000008,f,0.5579138999999032,None,0,image1,4,image2,image1,"['low', 'low', 'low']",0.3,0.7,18,001,2024-11-15_20h10.27.445,实验程序1.0,2024.2.4,59.839605920269044,2024-11-15 20h10.44.057439 +0800,
2,0,2,f,0.4424950000000081,None,,,,,2,0,2,0,50.88087850000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.871270200000026,50.88087850000011,52.64897050000013,52.64897050000013,52.18222620000006,54.19594280000001,f,0.4424950000000081,None,0,image2,3,image2,image1,"['low', 'low', 'low', 'high']",0.3,0.7,18,001,2024-11-15_20h10.27.445,实验程序1.0,2024.2.4,59.839605920269044,2024-11-15 20h10.44.057439 +0800,
3,0,3,j,0.5010313999998743,None,,,,,3,0,3,0,54.30326640000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.29418600000008,54.30326640000021,56.24876130000007,56.24876130000007,55.73189400000001,58.88608450000015,j,0.5010313999998743,None,0,image1,2,image2,image1,"['low', 'low', 'low', 'high', 'low']",0.3,0.7,18,001,2024-11-15_20h10.27.445,实验程序1.0,2024.2.4,59.839605920269044,2024-11-15 20h10.44.057439 +0800,
4,0,4,f,0.5371711000000232,None,,,,,4,0,4,0,58.93804800000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.929138300000204,58.93804800000021,60.98224909999999,60.98224909999999,60.41535850000014,63.70045479999999,f,0.5371711000000232,None,0,image1,1,image2,image1,"['low', 'low', 'low', 'high', 'low', 'low']",0.3,0.7,18,001,2024-11-15_20h10.27.445,实验程序1.0,2024.2.4,59.839605920269044,2024-11-15 20h10.44.057439 +0800,
5,0,5,j,0.3503309000000172,None,,,,,5,0,5,0,63.75101760000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.742361200000005,63.75101760000007,66.03221230000008,66.03221230000008,65.66615200000001,68.58024760000012,j,0.3503309000000172,None,0,image2,0,image2,image1,"['low', 'low', 'high', 'low', 'low', 'high']",0.3,0.7,18,001,2024-11-15_20h10.27.445,实验程序1.0,2024.2.4,59.839605920269044,2024-11-15 20h10.44.057439 +0800,
6,0,6,f,0.46505759999990914,None,,,,,6,0,6,0,68.63094430000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.62226680000003,68.63094430000001,70.96530240000016,70.96530240000016,70.48187170000006,73.09517810000011,f,0.46505759999990914,None,10,image1,-1,image2,image1,"['low', 'high', 'low', 'low', 'high', 'low']",0.3,0.7,18,001,2024-11-15_20h10.27.445,实验程序1.0,2024.2.4,59.839605920269044,2024-11-15 20h10.44.057439 +0800,
7,0,7,f,0.8426134000001184,None,,,,,7,0,7,0,73.20399730000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.1953797000001,73.20399730000008,74.84973580000019,74.84973580000019,73.98196680000001,77.69888230000015,f,0.8426134000001184,None,0,image1,-2,image2,image1,"['high', 'low', 'low', 'high', 'low', 'low']",0.3,0.7,18,001,2024-11-15_20h10.27.445,实验程序1.0,2024.2.4,59.839605920269044,2024-11-15 20h10.44.057439 +0800,
8,0,8,j,0.7697098999999525,None,,,,,8,0,8,0,77.74961530000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.74097710000001,77.74961530000019,80.39880600000015,80.39880600000015,79.59876290000011,81.99863730000015,j,0.7697098999999525,None,10,image2,-3,image2,image1,"['low', 'low', 'high', 'low', 'low', 'high']",0.3,0.7,18,001,2024-11-15_20h10.27.445,实验程序1.0,2024.2.4,59.839605920269044,2024-11-15 20h10.44.057439 +0800,
9,0,9,j,0.6669549000000643,None,,,,,9,0,9,0,82.04873740000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.03973760000008,82.04873740000016,84.43207630000006,84.43207630000006,83.73444170000016,87.0508255000002,j,0.6669549000000643,None,10,image2,-4,image2,image1,"['low', 'high', 'low', 'low', 'high', 'high']",0.3,0.7,18,001,2024-11-15_20h10.27.445,实验程序1.0,2024.2.4,59.839605920269044,2024-11-15 20h10.44.057439 +0800,
10,0,10,f,0.9587465000001885,None,,,,,10,0,10,0,87.10109650000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.09251890000019,87.10109650000004,88.66578500000014,88.66578500000014,87.68206850000001,90.76516890000016,f,0.9587465000001885,None,10,image2,-5,image2,image1,"['high', 'low', 'low', 'high', 'high', 'high']",0.3,0.7,18,001,2024-11-15_20h10.27.445,实验程序1.0,2024.2.4,59.839605920269044,2024-11-15 20h10.44.057439 +0800,
11,0,11,f,0.5316650999998274,None,,,,,11,0,11,0,90.81616930000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.80733670000018,90.81616930000018,93.13245990000019,93.13245990000019,92.58215360000008,95.69368740000004,f,0.5316650999998274,None,10,image2,-6,image2,image1,"['low', 'low', 'high', 'high', 'high', 'high']",0.3,0.7,18,001,2024-11-15_20h10.27.445,实验程序1.0,2024.2.4,59.839605920269044,2024-11-15 20h10.44.057439 +0800,
12,0,12,j,0.7209851999998591,None,,,,,12,0,12,0,95.80246340000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.79342380000003,95.80246340000008,98.36560550000013,98.36560550000013,97.61548860000016,100.97018680000019,j,0.7209851999998591,None,10,image2,5,image1,image2,[],0.7,0.3,18,001,2024-11-15_20h10.27.445,实验程序1.0,2024.2.4,59.839605920269044,2024-11-15 20h10.44.057439 +0800,
13,0,13,j,0.4747185000001082,None,,,,,13,0,13,0,101.02120360000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.01252770000019,101.02120360000004,102.48183360000007,102.48183360000007,101.9821773000001,104.49033050000003,j,0.4747185000001082,None,0,image2,4,image1,image2,['low'],0.7,0.3,18,001,2024-11-15_20h10.27.445,实验程序1.0,2024.2.4,59.839605920269044,2024-11-15 20h10.44.057439 +0800,
14,0,14,f,0.5765043000001242,None,,,,,14,0,14,0,104.54266440000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.5334518000002,104.54266440000015,105.83202740000002,105.83202740000002,105.23188360000017,107.96244930000012,f,0.5765043000001242,None,10,image1,3,image1,image2,"['low', 'high']",0.7,0.3,18,001,2024-11-15_20h10.27.445,实验程序1.0,2024.2.4,59.839605920269044,2024-11-15 20h10.44.057439 +0800,
15,0,15,f,0.4067474000000857,None,,,,,15,0,15,0,108.01377310000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.00505220000014,108.01377310000021,109.31561170000009,109.31561170000009,108.88183630000003,111.92865790000019,f,0.4067474000000857,None,0,image1,2,image1,image2,"['low', 'high', 'high']",0.7,0.3,18,001,2024-11-15_20h10.27.445,实验程序1.0,2024.2.4,59.839605920269044,2024-11-15 20h10.44.057439 +0800,
16,0,16,j,0.6986358999999993,None,,,,,16,0,16,0,112.03983480000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.02925490000007,112.03983480000011,113.48187270000017,113.48187270000017,112.76542380000001,115.67563230000019,j,0.6986358999999993,None,0,image1,1,image1,image2,"['low', 'high', 'high', 'high']",0.7,0.3,18,001,2024-11-15_20h10.27.445,实验程序1.0,2024.2.4,59.839605920269044,2024-11-15 20h10.44.057439 +0800,
17,0,17,j,0.807103300000108,None,,,,,17,0,17,0,115.72644400000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.71747700000014,115.72644400000013,118.09868440000014,118.09868440000014,117.2654520000001,120.48397320000004,j,0.807103300000108,None,0,image2,0,image1,image2,"['low', 'high', 'high', 'high', 'low']",0.7,0.3,18,001,2024-11-15_20h10.27.445,实验程序1.0,2024.2.4,59.839605920269044,2024-11-15 20h10.44.057439 +0800,
18,0,18,j,0.7104042999999365,None,,,,,18,0,18,0,120.53617170000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.52664570000002,120.53617170000007,121.8325553000002,121.8325553000002,121.09881900000005,124.70317880000016,j,0.7104042999999365,None,10,image1,-1,image1,image2,"['low', 'high', 'high', 'high', 'low', 'high']",0.7,0.3,18,001,2024-11-15_20h10.27.445,实验程序1.0,2024.2.4,59.839605920269044,2024-11-15 20h10.44.057439 +0800,
19,0,19,j,0.5193411000000197,None,,,,,19,0,19,0,124.75502790000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.74522160000015,124.75502790000019,126.81531820000009,126.81531820000009,126.26588830000014,129.3941416,j,0.5193411000000197,None,10,image1,7,image2,image1,[],0.3,0.7,18,001,2024-11-15_20h10.27.445,实验程序1.0,2024.2.4,59.839605920269044,2024-11-15 20h10.44.057439 +0800,
20,0,20,j,0.808477000000039,None,,,,,20,0,20,0,129.44425050000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.43517380000003,129.44425050000018,131.04881820000014,131.04881820000014,130.2160249000001,132.8676418,j,0.808477000000039,None,10,image1,6,image2,image1,['low'],0.3,0.7,18,001,2024-11-15_20h10.27.445,实验程序1.0,2024.2.4,59.839605920269044,2024-11-15 20h10.44.057439 +0800,
21,0,21,f,0.6824573999999757,None,,,,,21,0,21,0,132.97636110000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.96750880000013,132.97636110000008,134.6818830000002,134.6818830000002,133.98191540000016,136.5443749000001,f,0.6824573999999757,None,10,image1,5,image2,image1,"['low', 'low']",0.3,0.7,18,001,2024-11-15_20h10.27.445,实验程序1.0,2024.2.4,59.839605920269044,2024-11-15 20h10.44.057439 +0800,
