thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,prac_image1.stopped,prac_key_resp.stopped,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image2.stopped,key_resp.started,image1.stopped,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.004668399982620031,0.024128500022925436,0.024128500022925436,5.915316700004041,space,5.869229000003543,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,001,2024-11-24_10h37.44.846,实验程序1.0,2024.2.4,60.019434301065345,2024-11-24 10h37.58.615441 +0800,
,,,,,,,,,,,,,,,,,,,,,,,5.929035199980717,5.929035199980717,space,16.475980499992147,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,001,2024-11-24_10h37.44.846,实验程序1.0,2024.2.4,60.019434301065345,2024-11-24 10h37.58.615441 +0800,
9,0,9,,,,9,0,9,0,,,,,46.756127000029664,,,,,,,,,,,,,,46.756127000029664,47.74365640000906,47.2928755999892,35.176435000030324,24.209483599988744,j,0.43254779995186254,None,49.21211309998762,49.22098069998901,49.22098069998901,53.79449739999836,space,4.570171300030779,None,,,,,,,,,,,,,,,,,,69,001,2024-11-24_10h37.44.846,实验程序1.0,2024.2.4,60.019434301065345,2024-11-24 10h37.58.615441 +0800,
0,0,0,f,0.4559093000134453,None,,,,,0,0,0,0,53.84937660000287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.839214999985415,53.84937660000287,55.37626450002426,54.893226200016215,55.37626450002426,57.93942200002493,f,0.4559093000134453,None,0,image2,4,image2,image1,['high'],0.3,0.7,69,001,2024-11-24_10h37.44.846,实验程序1.0,2024.2.4,60.019434301065345,2024-11-24 10h37.58.615441 +0800,
0,0,0,j,0.574781300034374,None,,,,,0,0,0,0,57.991716200020164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.98290609999094,57.991716200020164,59.943060700024944,59.34329280001111,59.943060700024944,62.20455760002369,j,0.574781300034374,None,0,image2,3,image2,image1,"['high', 'high']",0.3,0.7,69,001,2024-11-24_10h37.44.846,实验程序1.0,2024.2.4,60.019434301065345,2024-11-24 10h37.58.615441 +0800,
1,0,1,f,0.3732541000354104,None,,,,,1,0,1,0,62.257703999988735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.24806870002067,62.257703999988735,63.5932028000243,63.19297820003703,63.5932028000243,65.4998585000285,f,0.3732541000354104,None,10,image2,2,image2,image1,"['high', 'high', 'high']",0.3,0.7,69,001,2024-11-24_10h37.44.846,实验程序1.0,2024.2.4,60.019434301065345,2024-11-24 10h37.58.615441 +0800,
2,0,2,j,0.5022079000482336,None,,,,,2,0,2,0,65.55148710001959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.54294559999835,65.55148710001959,68.07622200000333,67.54288730002008,68.07622200000333,70.00034520000918,j,0.5022079000482336,None,10,image2,1,image2,image1,"['high', 'high', 'high', 'high']",0.3,0.7,69,001,2024-11-24_10h37.44.846,实验程序1.0,2024.2.4,60.019434301065345,2024-11-24 10h37.58.615441 +0800,
3,0,3,j,0.44766980002168566,None,,,,,3,0,3,0,70.10884970001644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.09965859999647,70.10884970001644,72.19286350003676,71.72649949998595,72.19286350003676,73.73244759999216,j,0.44766980002168566,None,10,image2,5,image1,image2,[],0.7,0.3,69,001,2024-11-24_10h37.44.846,实验程序1.0,2024.2.4,60.019434301065345,2024-11-24 10h37.58.615441 +0800,
4,0,4,j,0.4159683000179939,None,,,,,4,0,4,0,73.78380010003457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.77505589998327,73.78380010003457,75.72654110001167,75.29282030003378,75.72654110001167,78.52943370002322,j,0.4159683000179939,None,0,image2,4,image1,image2,['low'],0.7,0.3,69,001,2024-11-24_10h37.44.846,实验程序1.0,2024.2.4,60.019434301065345,2024-11-24 10h37.58.615441 +0800,
5,0,5,f,0.4784874999895692,None,,,,,5,0,5,0,78.58085440000286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.571895400004,78.58085440000286,81.02614640002139,80.5264915000298,81.02614640002139,83.69640800001798,f,0.4784874999895692,None,10,image2,3,image1,image2,"['low', 'low']",0.7,0.3,69,001,2024-11-24_10h37.44.846,实验程序1.0,2024.2.4,60.019434301065345,2024-11-24 10h37.58.615441 +0800,
