thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,prac_image1.stopped,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image1.stopped,image2.stopped,key_resp.started,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0031810000000405125,0.016527400000029502,0.016527400000029502,2.300627399999996,space,2.255872399999987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,001,2025-03-03_10h21.56.800,实验程序1.0,2024.2.4,60.02246040467722,2025-03-03 10h22.11.548125 +0800,
,,,,,,,,,,,,,,,,,,,,,,,2.3093211999999994,2.3093211999999994,space,2.8106063999999833,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,001,2025-03-03_10h21.56.800,实验程序1.0,2024.2.4,60.02246040467722,2025-03-03 10h22.11.548125 +0800,
9,0,9,,,,9,0,9,0,,,,,28.6167514,,,,,,,,,,,,,,28.6167514,29.68958250000003,29.156222600000035,11.972885700000006,f,0.5078051000000414,None,31.156304799999987,31.164524400000005,31.164524400000005,32.02322659999999,space,0.8432897000000139,None,,,,,,,,,,,,,,,,,,88,001,2025-03-03_10h21.56.800,实验程序1.0,2024.2.4,60.02246040467722,2025-03-03 10h22.11.548125 +0800,
0,0,0,j,0.613169599999992,None,,,,,0,0,0,0,32.07309500000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.06496800000002,32.07309500000002,33.972955300000024,33.972955300000024,33.33915330000002,36.514166200000034,j,0.613169599999992,None,10,image1,7,image1,image2,['high'],0.7,0.3,88,001,2025-03-03_10h21.56.800,实验程序1.0,2024.2.4,60.02246040467722,2025-03-03 10h22.11.548125 +0800,
0,0,0,f,0.5344369000000029,None,,,,,0,0,0,0,36.563048500000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.55581649999999,36.563048500000036,37.83958820000004,37.83958820000004,37.27285380000001,40.62226509999999,f,0.5344369000000029,None,0,image1,6,image1,image2,"['high', 'high']",0.7,0.3,88,001,2025-03-03_10h21.56.800,实验程序1.0,2024.2.4,60.02246040467722,2025-03-03 10h22.11.548125 +0800,
1,0,1,f,0.5551700000000324,None,,,,,1,0,1,0,40.67227890000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.664991799999996,40.67227890000004,42.3561924,42.3561924,41.772981500000014,44.919692,f,0.5551700000000324,None,10,image2,5,image1,image2,"['high', 'high', 'low']",0.7,0.3,88,001,2025-03-03_10h21.56.800,实验程序1.0,2024.2.4,60.02246040467722,2025-03-03 10h22.11.548125 +0800,
2,0,2,f,0.46771400000000085,None,,,,,2,0,2,0,44.9730644,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.9658288,44.9730644,46.43950910000001,46.43950910000001,45.93954719999999,48.69332650000001,f,0.46771400000000085,None,0,image2,4,image1,image2,"['high', 'high', 'low', 'low']",0.7,0.3,88,001,2025-03-03_10h21.56.800,实验程序1.0,2024.2.4,60.02246040467722,2025-03-03 10h22.11.548125 +0800,
3,0,3,f,0.9063246999999706,None,,,,,3,0,3,0,48.79286000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.78594270000002,48.79286000000002,50.722900400000015,50.722900400000015,49.7898429,52.31628040000004,f,0.9063246999999706,None,0,image1,3,image1,image2,"['high', 'high', 'low', 'low', 'high']",0.7,0.3,88,001,2025-03-03_10h21.56.800,实验程序1.0,2024.2.4,60.02246040467722,2025-03-03 10h22.11.548125 +0800,
4,0,4,j,0.5209815999999705,None,,,,,4,0,4,0,52.367473399999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.36022830000002,52.367473399999994,54.37285990000004,54.37285990000004,53.823113000000035,56.9390052,j,0.5209815999999705,None,0,image1,2,image1,image2,"['high', 'high', 'low', 'low', 'high', 'high']",0.7,0.3,88,001,2025-03-03_10h21.56.800,实验程序1.0,2024.2.4,60.02246040467722,2025-03-03 10h22.11.548125 +0800,
5,0,5,j,0.459820499999978,None,,,,,5,0,5,0,56.991302899999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.983973700000035,56.991302899999994,58.256311600000004,58.256311600000004,57.77288930000003,60.614764500000035,j,0.459820499999978,None,10,image1,1,image1,image2,"['high', 'low', 'low', 'high', 'high', 'high']",0.7,0.3,88,001,2025-03-03_10h21.56.800,实验程序1.0,2024.2.4,60.02246040467722,2025-03-03 10h22.11.548125 +0800,
6,0,6,f,0.4623916000000463,None,,,,,6,0,6,0,60.66679730000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.65963320000003,60.66679730000004,61.989601900000025,61.989601900000025,61.50631480000004,63.739713600000016,f,0.4623916000000463,None,0,image2,0,image1,image2,"['low', 'low', 'high', 'high', 'high', 'low']",0.7,0.3,88,001,2025-03-03_10h21.56.800,实验程序1.0,2024.2.4,60.02246040467722,2025-03-03 10h22.11.548125 +0800,
7,0,7,f,0.540248599999984,None,,,,,7,0,7,0,63.83877990000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.8317174,63.83877990000002,65.9229497,65.9229497,65.35635450000001,68.80192310000001,f,0.540248599999984,None,10,image1,-1,image1,image2,"['low', 'high', 'high', 'high', 'low', 'high']",0.7,0.3,88,001,2025-03-03_10h21.56.800,实验程序1.0,2024.2.4,60.02246040467722,2025-03-03 10h22.11.548125 +0800,
8,0,8,j,0.41807660000000624,None,,,,,8,0,8,0,68.84659570000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.83957950000001,68.84659570000002,71.02294260000002,71.02294260000002,70.57286870000001,73.06611190000001,j,0.41807660000000624,None,0,image1,3,image2,image1,[],0.3,0.7,88,001,2025-03-03_10h21.56.800,实验程序1.0,2024.2.4,60.02246040467722,2025-03-03 10h22.11.548125 +0800,
