thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,prac_image1.stopped,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,prac_key_resp.stopped,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image2.stopped,key_resp.started,image1.stopped,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.003535599999850092,0.010566400000243448,0.010566400000243448,3.625506999999743,space,3.6051095000002533,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2024-11-18_11h15.01.523,实验程序1.0,2024.2.4,60.030459455240404,2024-11-18 11h15.10.557646 +0800,
,,,,,,,,,,,,,,,,,,,,,,,3.637695200000053,3.637695200000053,space,1.7713542000001326,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2024-11-18_11h15.01.523,实验程序1.0,2024.2.4,60.030459455240404,2024-11-18 11h15.10.557646 +0800,
9,0,9,,,,9,0,9,0,,,,,29.625845200000185,,,,,,,,,,,,,,29.625845200000185,30.652418800000305,30.15236559999994,25.652475800000502,f,0.47940729999936593,None,10.433853100000306,32.11893779999991,32.12678479999977,32.12678479999977,33.81939289999991,space,1.6819962999998097,None,,,,,,,,,,,,,,,,,,7,001,2024-11-18_11h15.01.523,实验程序1.0,2024.2.4,60.030459455240404,2024-11-18 11h15.10.557646 +0800,
0,0,0,j,0.7088716999996905,None,,,,,0,0,0,0,33.86555680000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.85673560000032,33.86555680000038,35.38571359999969,34.652079600000434,35.38571359999969,37.202640900000006,j,0.7088716999996905,None,0,image2,3,image1,image2,['low'],0.7,0.3,7,001,2024-11-18_11h15.01.523,实验程序1.0,2024.2.4,60.030459455240404,2024-11-18 11h15.10.557646 +0800,
0,0,0,f,0.6905995000006442,None,,,,,0,0,0,0,37.256456799999796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.24922059999972,37.256456799999796,38.78567360000034,38.069066199999725,38.78567360000034,41.081093100000544,f,0.6905995000006442,None,0,image2,2,image1,image2,"['low', 'low']",0.7,0.3,7,001,2024-11-18_11h15.01.523,实验程序1.0,2024.2.4,60.030459455240404,2024-11-18 11h15.10.557646 +0800,
1,0,1,f,0.5044643999999607,None,,,,,1,0,1,0,41.132527499999924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1250071000004,41.132527499999924,43.48579739999968,42.952633400000195,43.48579739999968,45.706829100000505,f,0.5044643999999607,None,10,image1,1,image1,image2,"['low', 'low', 'high']",0.7,0.3,7,001,2024-11-18_11h15.01.523,实验程序1.0,2024.2.4,60.030459455240404,2024-11-18 11h15.10.557646 +0800,
2,0,2,f,0.3761604000001171,None,,,,,2,0,2,0,45.75106969999979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.743799599999875,45.75106969999979,47.96904600000016,47.56901319999997,47.96904600000016,50.40201140000045,f,0.3761604000001171,None,0,image1,0,image1,image2,"['low', 'low', 'high', 'high']",0.7,0.3,7,001,2024-11-18_11h15.01.523,实验程序1.0,2024.2.4,60.030459455240404,2024-11-18 11h15.10.557646 +0800,
3,0,3,j,0.395894600000247,None,,,,,3,0,3,0,50.50133449999976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.49397279999994,50.50133449999976,52.869146699999874,52.45242539999981,52.869146699999874,55.275237599999855,j,0.395894600000247,None,0,image2,-1,image1,image2,"['low', 'low', 'high', 'high', 'low']",0.7,0.3,7,001,2024-11-18_11h15.01.523,实验程序1.0,2024.2.4,60.030459455240404,2024-11-18 11h15.10.557646 +0800,
4,0,4,j,0.6348279000003458,None,,,,,4,0,4,0,55.325451200000316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.31823030000032,55.325451200000316,56.93572529999983,56.26895640000021,56.93572529999983,58.749498299999686,j,0.6348279000003458,None,0,image1,-2,image1,image2,"['low', 'low', 'high', 'high', 'low', 'high']",0.7,0.3,7,001,2024-11-18_11h15.01.523,实验程序1.0,2024.2.4,60.030459455240404,2024-11-18 11h15.10.557646 +0800,
5,0,5,f,0.5534460000008039,None,,,,,5,0,5,0,58.79427279999982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.78716390000045,58.79427279999982,60.902439600000434,60.31905579999966,60.902439600000434,63.495098000000326,f,0.5534460000008039,None,10,image1,-3,image1,image2,"['low', 'high', 'high', 'low', 'high', 'high']",0.7,0.3,7,001,2024-11-18_11h15.01.523,实验程序1.0,2024.2.4,60.030459455240404,2024-11-18 11h15.10.557646 +0800,
6,0,6,f,0.378685000000587,None,,,,,6,0,6,0,63.54560980000042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.53857150000022,63.54560980000042,64.48571600000014,64.08581930000037,,65.98519240000041,f,0.378685000000587,None,0,image2,-4,image1,image2,"['high', 'high', 'low', 'high', 'high', 'low']",0.7,0.3,7,001,2024-11-18_11h15.01.523,实验程序1.0,2024.2.4,60.030459455240404,2024-11-18 11h15.10.557646 +0800,
7,0,7,f,0.6849452999995265,None,,,,,7,0,7,0,66.07856820000052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.07149990000016,66.07856820000052,67.73581110000032,67.0189747000004,67.73581110000032,69.85165630000029,f,0.6849452999995265,None,10,image1,-5,image1,image2,"['high', 'low', 'high', 'high', 'low', 'high']",0.7,0.3,7,001,2024-11-18_11h15.01.523,实验程序1.0,2024.2.4,60.030459455240404,2024-11-18 11h15.10.557646 +0800,
