thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,prac_image1.stopped,prac_key_resp.stopped,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image2.stopped,key_resp.started,image1.stopped,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.005278300493955612,0.01576549932360649,0.01576549932360649,6.911582799628377,space,6.875845801085234,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,031,001,2024-11-14_16h07.04.579,实验程序1.0,2024.2.4,59.911988771780095,2024-11-14 16h07.25.099072 +0800,
,,,,,,,,,,,,,,,,,,,,,,,6.924893599003553,6.924893599003553,space,5.689165299758315,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,031,001,2024-11-14_16h07.04.579,实验程序1.0,2024.2.4,59.911988771780095,2024-11-14 16h07.25.099072 +0800,
9,0,9,,,,9,0,9,0,,,,,36.92701089940965,,,,,,,,,,,,,,36.92701089940965,38.21559610031545,37.46562290005386,38.21559610031545,14.415544100105762,f,0.7221964001655579,None,39.68473959900439,39.69351639971137,39.69351639971137,42.650957299396396,space,2.950049100443721,None,,,,,,,,,,,,,,,,,,031,001,2024-11-14_16h07.04.579,实验程序1.0,2024.2.4,59.911988771780095,2024-11-14 16h07.25.099072 +0800,
0,0,0,f,0.40656109899282455,None,,,,,0,0,0,0,42.709223698824644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.694360200315714,42.709223698824644,43.982421699911356,43.54908609949052,43.982421699911356,46.667505199089646,f,0.40656109899282455,None,10,image1,3,image1,image2,['high'],0.7,0.3,031,001,2024-11-14_16h07.04.579,实验程序1.0,2024.2.4,59.911988771780095,2024-11-14 16h07.25.099072 +0800,
0,0,0,f,0.6149182002991438,None,,,,,0,0,0,0,46.71846479922533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.70967029966414,46.71846479922533,47.96608920022845,47.33295810036361,47.96608920022845,50.40120649896562,f,0.6149182002991438,None,0,image1,2,image1,image2,"['high', 'high']",0.7,0.3,031,001,2024-11-14_16h07.04.579,实验程序1.0,2024.2.4,59.911988771780095,2024-11-14 16h07.25.099072 +0800,
1,0,1,j,0.5652344990521669,None,,,,,1,0,1,0,50.453723698854446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.44361889921129,50.453723698854446,52.182178100571036,51.59888229891658,52.182178100571036,53.82084530033171,j,0.5652344990521669,None,10,image1,1,image1,image2,"['high', 'high', 'high']",0.7,0.3,031,001,2024-11-14_16h07.04.579,实验程序1.0,2024.2.4,59.911988771780095,2024-11-14 16h07.25.099072 +0800,
2,0,2,f,0.8842766005545855,None,,,,,2,0,2,0,53.87385459989309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.862937999889255,53.87385459989309,55.93302780017257,55.032638899981976,55.93302780017257,57.51354870013893,f,0.8842766005545855,None,0,image2,0,image1,image2,"['high', 'high', 'high', 'low']",0.7,0.3,031,001,2024-11-14_16h07.04.579,实验程序1.0,2024.2.4,59.911988771780095,2024-11-14 16h07.25.099072 +0800,
3,0,3,f,0.9536457993090153,None,,,,,3,0,3,0,57.62269379943609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.614120399579406,57.62269379943609,60.232237899675965,59.249555399641395,60.232237899675965,62.42594019882381,f,0.9536457993090153,None,10,image2,-1,image1,image2,"['high', 'high', 'high', 'low', 'low']",0.7,0.3,031,001,2024-11-14_16h07.04.579,实验程序1.0,2024.2.4,59.911988771780095,2024-11-14 16h07.25.099072 +0800,
4,0,4,f,0.7310592010617256,None,,,,,4,0,4,0,62.47724019922316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.46878959983587,62.47724019922316,65.19908539950848,64.44958009943366,65.19908539950848,67.42509689927101,f,0.7310592010617256,None,10,image2,-2,image1,image2,"['high', 'high', 'high', 'low', 'low', 'low']",0.7,0.3,031,001,2024-11-14_16h07.04.579,实验程序1.0,2024.2.4,59.911988771780095,2024-11-14 16h07.25.099072 +0800,
5,0,5,f,0.6496038995683193,None,,,,,5,0,5,0,67.47686349973083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.46731640025973,67.47686349973083,69.94884079881012,69.28259740024805,69.94884079881012,71.62069769948721,f,0.6496038995683193,None,10,image2,-3,image1,image2,"['high', 'high', 'low', 'low', 'low', 'low']",0.7,0.3,031,001,2024-11-14_16h07.04.579,实验程序1.0,2024.2.4,59.911988771780095,2024-11-14 16h07.25.099072 +0800,
6,0,6,j,0.6916068010032177,None,,,,,6,0,6,0,71.67143980041146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.66256120055914,71.67143980041146,73.53240489959717,72.8157982993871,73.53240489959717,75.67735549993813,j,0.6916068010032177,None,0,image2,-4,image1,image2,"['high', 'low', 'low', 'low', 'low', 'low']",0.7,0.3,031,001,2024-11-14_16h07.04.579,实验程序1.0,2024.2.4,59.911988771780095,2024-11-14 16h07.25.099072 +0800,
7,0,7,f,0.6200329996645451,None,,,,,7,0,7,0,75.78694129921496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.77781330049038,75.78694129921496,77.46564329974353,76.81586910039186,77.46564329974353,80.062136400491,f,0.6200329996645451,None,10,image2,-5,image1,image2,"['low', 'low', 'low', 'low', 'low', 'low']",0.7,0.3,031,001,2024-11-14_16h07.04.579,实验程序1.0,2024.2.4,59.911988771780095,2024-11-14 16h07.25.099072 +0800,
8,0,8,f,0.6513465996831656,None,,,,,8,0,8,0,80.11429859884083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.10511890053749,80.11429859884083,81.86555409990251,81.18409840017557,81.86555409990251,84.67380669899285,f,0.6513465996831656,None,0,image2,-6,image1,image2,"['low', 'low', 'low', 'low', 'low', 'low']",0.7,0.3,031,001,2024-11-14_16h07.04.579,实验程序1.0,2024.2.4,59.911988771780095,2024-11-14 16h07.25.099072 +0800,
9,0,9,j,0.7856861986219883,None,,,,,9,0,9,0,84.72519099898636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.71620049886405,84.72519099898636,86.08224579878151,85.26617250032723,86.08224579878151,87.8441879991442,j,0.7856861986219883,None,10,image1,-7,image1,image2,"['low', 'low', 'low', 'low', 'low', 'high']",0.7,0.3,031,001,2024-11-14_16h07.04.579,实验程序1.0,2024.2.4,59.911988771780095,2024-11-14 16h07.25.099072 +0800,
10,0,10,j,0.8268678989261389,None,,,,,10,0,10,0,87.89695359952748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.8877070993185,87.89695359952748,89.71554249897599,88.86560569889843,89.71554249897599,91.33961980044842,j,0.8268678989261389,None,0,image2,-8,image1,image2,"['low', 'low', 'low', 'low', 'high', 'low']",0.7,0.3,031,001,2024-11-14_16h07.04.579,实验程序1.0,2024.2.4,59.911988771780095,2024-11-14 16h07.25.099072 +0800,
11,0,11,j,0.917468000203371,None,,,,,11,0,11,0,91.39082629978657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.38195030018687,91.39082629978657,92.89922169968486,91.96556689962745,92.89922169968486,94.73653130047023,j,0.917468000203371,None,10,image1,-9,image1,image2,"['low', 'low', 'low', 'high', 'low', 'high']",0.7,0.3,031,001,2024-11-14_16h07.04.579,实验程序1.0,2024.2.4,59.911988771780095,2024-11-14 16h07.25.099072 +0800,
12,0,12,j,0.908423500135541,None,,,,,12,0,12,0,94.84421570040286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.8349229991436,94.84421570040286,97.53248249925673,96.59881109930575,97.53248249925673,99.12060740031302,j,0.908423500135541,None,0,image2,-10,image1,image2,"['low', 'low', 'high', 'low', 'high', 'low']",0.7,0.3,031,001,2024-11-14_16h07.04.579,实验程序1.0,2024.2.4,59.911988771780095,2024-11-14 16h07.25.099072 +0800,
13,0,13,j,0.9056409001350403,None,,,,,13,0,13,0,99.1709281988442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.16228799894452,99.1709281988442,101.01625349931419,100.08226040005684,101.01625349931419,103.19012969918549,j,0.9056409001350403,None,0,image2,-11,image1,image2,"['low', 'high', 'low', 'high', 'low', 'low']",0.7,0.3,031,001,2024-11-14_16h07.04.579,实验程序1.0,2024.2.4,59.911988771780095,2024-11-14 16h07.25.099072 +0800,
14,0,14,f,0.8510496988892555,None,,,,,14,0,14,0,103.24121019989252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.23245189897716,103.24121019989252,105.93260509893298,105.04900259897113,105.93260509893298,108.62275759875774,f,0.8510496988892555,None,10,image1,-12,image1,image2,"['high', 'low', 'high', 'low', 'low', 'high']",0.7,0.3,031,001,2024-11-14_16h07.04.579,实验程序1.0,2024.2.4,59.911988771780095,2024-11-14 16h07.25.099072 +0800,
