thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image2.stopped,key_resp.started,image1.stopped,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.004630200000065088,0.01913609999974142,0.01913609999974142,1.0969900999998572,space,1.0653280999995332,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,001,2024-11-17_11h02.31.028,实验程序1.0,2024.2.1post4,156.95950601647894,2024-11-17 11h02.44.216357 +0800,
,,,,,,,,,,,,,,,,,,,,,,,1.1008138999995936,1.1008138999995936,space,1.7282000999994125,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,001,2024-11-17_11h02.31.028,实验程序1.0,2024.2.1post4,156.95950601647894,2024-11-17 11h02.44.216357 +0800,
9,0,9,,,,9,0,9,0,,,,,25.073282199999994,,,,,,,,,,,,,,25.073282199999994,26.068598299999394,25.584131999999954,f,0.475895099999434,None,27.5270660999995,27.53171239999938,27.53171239999938,35.8765814999997,space,8.340020200000254,None,,,,,,,,,,,,,,,,,,60,001,2024-11-17_11h02.31.028,实验程序1.0,2024.2.1post4,156.95950601647894,2024-11-17 11h02.44.216357 +0800,
0,0,0,None,,,,,,,0,0,0,0,35.915874399999666,,,,,,,,,,,,,,,,,,,,,,,,,,,35.911427099999855,35.915874399999666,37.78983150000022,36.541698899999574,37.78983150000022,38.790958200000205,None,,,,,,,,,,,60,001,2024-11-17_11h02.31.028,实验程序1.0,2024.2.1post4,156.95950601647894,2024-11-17 11h02.44.216357 +0800,
0,0,0,j,0.9264367999994647,None,,,,,0,0,0,0,38.83385309999994,,,,,,,,,,,,,,,,,,,,,,,,,,,38.828238500000225,38.83385309999994,41.41408809999939,40.48091509999995,41.41408809999939,44.35506509999959,j,0.9264367999994647,None,10,image2,1,image2,image1,['high'],0.3,0.7,60,001,2024-11-17_11h02.31.028,实验程序1.0,2024.2.1post4,156.95950601647894,2024-11-17 11h02.44.216357 +0800,
1,0,1,f,0.37235449999934644,None,,,,,1,0,1,0,44.41200200000003,,,,,,,,,,,,,,,,,,,,,,,,,,,44.406852199999776,44.41200200000003,45.37166509999952,44.9904990999994,,47.530607300000156,f,0.37235449999934644,None,10,image2,0,image2,image1,"['high', 'high']",0.3,0.7,60,001,2024-11-17_11h02.31.028,实验程序1.0,2024.2.1post4,156.95950601647894,2024-11-17 11h02.44.216357 +0800,
2,0,2,f,1.003490299999612,None,,,,,2,0,2,0,47.648066599999765,,,,,,,,,,,,,,,,,,,,,,,,,,,47.64301499999965,47.648066599999765,50.63848689999941,49.62635159999991,50.63848689999941,52.24234290000004,f,1.003490299999612,None,10,image2,-1,image2,image1,"['high', 'high', 'high']",0.3,0.7,60,001,2024-11-17_11h02.31.028,实验程序1.0,2024.2.1post4,156.95950601647894,2024-11-17 11h02.44.216357 +0800,
3,0,3,f,0.3902624000002106,None,,,,,3,0,3,0,52.278306899999734,,,,,,,,,,,,,,,,,,,,,,,,,,,52.274433900000076,52.278306899999734,54.14162010000018,53.741601799999444,54.14162010000018,57.05225160000009,f,0.3902624000002106,None,0,image2,-2,image2,image1,"['high', 'high', 'high', 'high']",0.3,0.7,60,001,2024-11-17_11h02.31.028,实验程序1.0,2024.2.1post4,156.95950601647894,2024-11-17 11h02.44.216357 +0800,
4,0,4,j,0.3208095999998477,None,,,,,4,0,4,0,57.10794519999945,,,,,,,,,,,,,,,,,,,,,,,,,,,57.10291059999963,57.10794519999945,58.24441039999965,57.91711579999992,,60.400061299999834,j,0.3208095999998477,None,10,image1,-3,image2,image1,"['high', 'high', 'high', 'high', 'low']",0.3,0.7,60,001,2024-11-17_11h02.31.028,实验程序1.0,2024.2.1post4,156.95950601647894,2024-11-17 11h02.44.216357 +0800,
5,0,5,j,0.3562028000005739,None,,,,,5,0,5,0,60.4363728999997,,,,,,,,,,,,,,,,,,,,,,,,,,,60.43125220000002,60.4363728999997,62.58410240000012,62.2203743,62.58410240000012,64.88284500000009,j,0.3562028000005739,None,10,image1,-4,image2,image1,"['high', 'high', 'high', 'high', 'low', 'low']",0.3,0.7,60,001,2024-11-17_11h02.31.028,实验程序1.0,2024.2.1post4,156.95950601647894,2024-11-17 11h02.44.216357 +0800,
