thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,prac_image1.stopped,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,prac_key_resp.stopped,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image1.stopped,image2.stopped,key_resp.started,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0031327000001510896,0.007794600000124774,0.007794600000124774,4.4023672000000715,space,4.385310699999991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,001,2024-11-21_11h07.12.163,实验程序1.0,2024.2.4,60.050827020030745,2024-11-21 11h07.32.318150 +0800,
,,,,,,,,,,,,,,,,,,,,,,,4.413221300000032,4.413221300000032,space,4.724712999999838,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,001,2024-11-21_11h07.12.163,实验程序1.0,2024.2.4,60.050827020030745,2024-11-21 11h07.32.318150 +0800,
9,0,9,,,,9,0,9,0,,,,,33.08545190000018,,,,,,,,,,,,,,33.08545190000018,34.01025700000014,33.62672230000021,19.52667690000021,f,0.3583475999998882,None,16.87322250000011,35.47722510000017,35.485244400000056,35.485244400000056,37.81038269999999,space,2.3087799999998424,None,,,,,,,,,,,,,,,,,,70,001,2024-11-21_11h07.12.163,实验程序1.0,2024.2.4,60.050827020030745,2024-11-21 11h07.32.318150 +0800,
0,0,0,f,0.43958090000000993,None,,,,,0,0,0,0,37.858033000000205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.84918860000016,37.858033000000205,39.676848300000074,39.676848300000074,39.2096653000001,42.16574450000007,f,0.43958090000000993,None,0,image1,8,image2,image1,['low'],0.3,0.7,70,001,2024-11-21_11h07.12.163,实验程序1.0,2024.2.4,60.050827020030745,2024-11-21 11h07.32.318150 +0800,
0,0,0,f,0.33860269999991033,None,,,,,0,0,0,0,42.216258800000105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.20919640000011,42.216258800000105,43.49340510000002,43.49340510000002,43.126785100000006,45.49754010000015,f,0.33860269999991033,None,10,image2,7,image2,image1,"['low', 'high']",0.3,0.7,70,001,2024-11-21_11h07.12.163,实验程序1.0,2024.2.4,60.050827020030745,2024-11-21 11h07.32.318150 +0800,
1,0,1,f,0.36123029999998835,None,,,,,1,0,1,0,45.55183870000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.54468919999999,45.55183870000019,,46.543463100000054,46.160148200000094,49.25650100000007,f,0.36123029999998835,None,0,image1,6,image2,image1,"['low', 'high', 'low']",0.3,0.7,70,001,2024-11-21_11h07.12.163,实验程序1.0,2024.2.4,60.050827020030745,2024-11-21 11h07.32.318150 +0800,
2,0,2,f,0.3112158000001273,None,,,,,2,0,2,0,49.30800330000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.30052360000013,49.30800330000011,,50.54348630000004,50.21017830000005,52.68017170000007,f,0.3112158000001273,None,10,image2,5,image2,image1,"['low', 'high', 'low', 'high']",0.3,0.7,70,001,2024-11-21_11h07.12.163,实验程序1.0,2024.2.4,60.050827020030745,2024-11-21 11h07.32.318150 +0800,
3,0,3,j,0.2890420000001086,None,,,,,3,0,3,0,52.7770230000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.76975510000011,52.7770230000001,54.69338640000001,54.69338640000001,54.37681540000017,57.22860820000005,j,0.2890420000001086,None,0,image2,4,image2,image1,"['low', 'high', 'low', 'high', 'high']",0.3,0.7,70,001,2024-11-21_11h07.12.163,实验程序1.0,2024.2.4,60.050827020030745,2024-11-21 11h07.32.318150 +0800,
4,0,4,f,0.5097301000000698,None,,,,,4,0,4,0,57.280622800000174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.27356740000005,57.280622800000174,,58.37678650000021,57.84349390000011,60.10116230000017,f,0.5097301000000698,None,0,image1,3,image2,image1,"['low', 'high', 'low', 'high', 'high', 'low']",0.3,0.7,70,001,2024-11-21_11h07.12.163,实验程序1.0,2024.2.4,60.050827020030745,2024-11-21 11h07.32.318150 +0800,
5,0,5,f,0.6629184000000805,None,,,,,5,0,5,0,60.15388710000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.146776700000146,60.15388710000002,61.69301500000006,61.69301500000006,61.010223800000176,64.44332610000015,f,0.6629184000000805,None,0,image1,2,image2,image1,"['high', 'low', 'high', 'high', 'low', 'low']",0.3,0.7,70,001,2024-11-21_11h07.12.163,实验程序1.0,2024.2.4,60.050827020030745,2024-11-21 11h07.32.318150 +0800,
6,0,6,f,0.39875050000000556,None,,,,,6,0,6,0,64.49445750000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.48718360000021,64.49445750000018,66.22682650000002,66.22682650000002,65.8101187000002,68.21595969999998,f,0.39875050000000556,None,10,image1,1,image2,image1,"['low', 'high', 'high', 'low', 'low', 'low']",0.3,0.7,70,001,2024-11-21_11h07.12.163,实验程序1.0,2024.2.4,60.050827020030745,2024-11-21 11h07.32.318150 +0800,
7,0,7,f,0.4543151000000307,None,,,,,7,0,7,0,68.31459210000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.3075752000002,68.31459210000003,,69.51025240000013,69.0268450000001,72.24077650000004,f,0.4543151000000307,None,0,image2,0,image2,image1,"['high', 'high', 'low', 'low', 'low', 'high']",0.3,0.7,70,001,2024-11-21_11h07.12.163,实验程序1.0,2024.2.4,60.050827020030745,2024-11-21 11h07.32.318150 +0800,
8,0,8,f,0.31204200000001947,None,,,,,8,0,8,0,72.28537890000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.27832990000002,72.28537890000007,74.3101594000002,74.3101594000002,73.9769116,77.20649010000011,f,0.31204200000001947,None,10,image1,-1,image2,image1,"['high', 'low', 'low', 'low', 'high', 'low']",0.3,0.7,70,001,2024-11-21_11h07.12.163,实验程序1.0,2024.2.4,60.050827020030745,2024-11-21 11h07.32.318150 +0800,
9,0,9,f,0.845741500000031,None,,,,,9,0,9,0,77.25672400000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.24941390000004,77.25672400000008,79.52696040000001,79.52696040000001,78.66017140000008,81.25471630000015,f,0.845741500000031,None,10,image2,-2,image2,image1,"['low', 'low', 'low', 'high', 'low', 'high']",0.3,0.7,70,001,2024-11-21_11h07.12.163,实验程序1.0,2024.2.4,60.050827020030745,2024-11-21 11h07.32.318150 +0800,
10,0,10,f,0.8243772999999237,None,,,,,10,0,10,0,81.30521750000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.29791320000004,81.30521750000003,83.62695450000001,83.62695450000001,82.7769231000002,86.03662610000015,f,0.8243772999999237,None,0,image1,-3,image2,image1,"['low', 'low', 'high', 'low', 'high', 'low']",0.3,0.7,70,001,2024-11-21_11h07.12.163,实验程序1.0,2024.2.4,60.050827020030745,2024-11-21 11h07.32.318150 +0800,
11,0,11,f,0.643707600000198,None,,,,,11,0,11,0,86.08939970000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.08200410000018,86.08939970000006,87.97680510000009,87.97680510000009,87.31015180000009,89.48103680000008,f,0.643707600000198,None,10,image2,-4,image2,image1,"['low', 'high', 'low', 'high', 'low', 'high']",0.3,0.7,70,001,2024-11-21_11h07.12.163,实验程序1.0,2024.2.4,60.050827020030745,2024-11-21 11h07.32.318150 +0800,
12,0,12,f,0.42470780000007835,None,,,,,12,0,12,0,89.5759088000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.56859410000015,89.5759088000002,,90.62687230000006,90.1768724000001,93.0096172000001,f,0.42470780000007835,None,10,image2,-5,image2,image1,"['high', 'low', 'high', 'low', 'high', 'high']",0.3,0.7,70,001,2024-11-21_11h07.12.163,实验程序1.0,2024.2.4,60.050827020030745,2024-11-21 11h07.32.318150 +0800,
13,0,13,f,0.4558104000000185,None,,,,,13,0,13,0,93.06276850000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.05558280000014,93.06276850000017,95.27683000000002,95.27683000000002,94.79359110000019,98.07139350000011,f,0.4558104000000185,None,10,image2,-6,image2,image1,"['low', 'high', 'low', 'high', 'high', 'high']",0.3,0.7,70,001,2024-11-21_11h07.12.163,实验程序1.0,2024.2.4,60.050827020030745,2024-11-21 11h07.32.318150 +0800,
14,0,14,f,0.4055833999998413,None,,,,,14,0,14,0,98.12449340000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.11715990000016,98.12449340000012,,99.0935191000001,98.66014960000007,101.85484910000014,f,0.4055833999998413,None,10,image2,2,image1,image2,[],0.7,0.3,70,001,2024-11-21_11h07.12.163,实验程序1.0,2024.2.4,60.050827020030745,2024-11-21 11h07.32.318150 +0800,
15,0,15,f,0.4070157000001018,None,,,,,15,0,15,0,101.90499610000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.89784910000003,101.90499610000006,104.02708830000006,104.02708830000006,103.59345760000019,106.1960825000001,f,0.4070157000001018,None,0,image2,1,image1,image2,['low'],0.7,0.3,70,001,2024-11-21_11h07.12.163,实验程序1.0,2024.2.4,60.050827020030745,2024-11-21 11h07.32.318150 +0800,
16,0,16,j,0.34367950000000747,None,,,,,16,0,16,0,106.29817820000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.29112550000013,106.29817820000017,108.1768413000002,108.1768413000002,107.81015030000003,109.64335260000007,j,0.34367950000000747,None,0,image1,0,image1,image2,"['low', 'high']",0.7,0.3,70,001,2024-11-21_11h07.12.163,实验程序1.0,2024.2.4,60.050827020030745,2024-11-21 11h07.32.318150 +0800,
17,0,17,f,0.36252029999991464,None,,,,,17,0,17,0,109.6880748000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.68112440000004,109.6880748000001,111.69342100000017,111.69342100000017,111.31046230000015,113.60436840000011,f,0.36252029999991464,None,0,image2,-1,image1,image2,"['low', 'high', 'low']",0.7,0.3,70,001,2024-11-21_11h07.12.163,实验程序1.0,2024.2.4,60.050827020030745,2024-11-21 11h07.32.318150 +0800,
18,0,18,f,0.5102104000000054,None,,,,,18,0,18,0,113.65694200000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.64961050000011,113.65694200000007,116.1434892000002,116.1434892000002,115.61025700000005,118.11012260000007,f,0.5102104000000054,None,0,image2,-2,image1,image2,"['low', 'high', 'low', 'low']",0.7,0.3,70,001,2024-11-21_11h07.12.163,实验程序1.0,2024.2.4,60.050827020030745,2024-11-21 11h07.32.318150 +0800,
