thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,prac_image1.stopped,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,prac_key_resp.stopped,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image1.stopped,image2.stopped,key_resp.started,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.007660700008273125,0.019161099568009377,0.019161099568009377,2.9305889010429382,space,2.8855502009391785,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,001,2024-11-15_13h34.55.556,实验程序1.0,2024.2.4,60.20020157675887,2024-11-15 13h35.09.726978 +0800,
,,,,,,,,,,,,,,,,,,,,,,,2.9443169999867678,2.9443169999867678,space,3.3922930005937815,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,001,2024-11-15_13h34.55.556,实验程序1.0,2024.2.4,60.20020157675887,2024-11-15 13h35.09.726978 +0800,
9,0,9,,,,9,0,9,0,,,,,31.248547799885273,,,,,,,,,,,,,,31.248547799885273,32.352118300274014,31.785550700500607,24.735631300136447,j,0.5423693004995584,None,22.30176020041108,33.820934200659394,33.831949301064014,33.831949301064014,37.8203149009496,space,3.97652000002563,None,,,,,,,,,,,,,,,,,,37,001,2024-11-15_13h34.55.556,实验程序1.0,2024.2.4,60.20020157675887,2024-11-15 13h35.09.726978 +0800,
0,0,0,f,0.3348798006772995,None,,,,,0,0,0,0,37.876459300518036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.86601020023227,37.876459300518036,40.13641590066254,40.13641590066254,39.76923359930515,42.63094389997423,f,0.3348798006772995,None,0,image1,14,image2,image1,['low'],0.3,0.7,37,001,2024-11-15_13h34.55.556,实验程序1.0,2024.2.4,60.20020157675887,2024-11-15 13h35.09.726978 +0800,
0,0,0,f,0.3819794990122318,None,,,,,0,0,0,0,42.68454420007765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.67577579990029,42.68454420007765,44.38614260032773,44.38614260032773,43.98603259958327,46.21434020064771,f,0.3819794990122318,None,10,image2,13,image2,image1,"['low', 'high']",0.3,0.7,37,001,2024-11-15_13h34.55.556,实验程序1.0,2024.2.4,60.20020157675887,2024-11-15 13h35.09.726978 +0800,
1,0,1,f,0.4148146007210016,None,,,,,1,0,1,0,46.267835300415754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.25869289971888,46.267835300415754,48.26841950044036,48.26841950044036,47.83546769991517,49.78021140024066,f,0.4148146007210016,None,0,image1,12,image2,image1,"['low', 'high', 'low']",0.3,0.7,37,001,2024-11-15_13h34.55.556,实验程序1.0,2024.2.4,60.20020157675887,2024-11-15 13h35.09.726978 +0800,
2,0,2,f,0.4620232004672289,None,,,,,2,0,2,0,49.83363860100508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.82403900101781,49.83363860100508,51.10190409980714,51.10190409980714,50.618977600708604,52.633681900799274,f,0.4620232004672289,None,10,image2,11,image2,image1,"['low', 'high', 'low', 'high']",0.3,0.7,37,001,2024-11-15_13h34.55.556,实验程序1.0,2024.2.4,60.20020157675887,2024-11-15 13h35.09.726978 +0800,
3,0,3,j,0.3650891985744238,None,,,,,3,0,3,0,52.74233370088041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.73283030092716,52.74233370088041,54.8354021999985,54.8354021999985,54.45206269994378,56.7003520000726,j,0.3650891985744238,None,10,image1,10,image2,image1,"['low', 'high', 'low', 'high', 'low']",0.3,0.7,37,001,2024-11-15_13h34.55.556,实验程序1.0,2024.2.4,60.20020157675887,2024-11-15 13h35.09.726978 +0800,
4,0,4,f,0.25556269846856594,None,,,,,4,0,4,0,56.75292870029807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.743937000632286,56.75292870029807,58.068871200084686,58.068871200084686,57.786021299660206,60.66924950107932,f,0.25556269846856594,None,10,image2,9,image2,image1,"['low', 'high', 'low', 'high', 'low', 'high']",0.3,0.7,37,001,2024-11-15_13h34.55.556,实验程序1.0,2024.2.4,60.20020157675887,2024-11-15 13h35.09.726978 +0800,
5,0,5,j,0.3695215992629528,None,,,,,5,0,5,0,60.72151160053909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.71273780055344,60.72151160053909,62.118942899629474,62.118942899629474,61.718660701066256,63.82271829992533,j,0.3695215992629528,None,0,image2,8,image2,image1,"['high', 'low', 'high', 'low', 'high', 'high']",0.3,0.7,37,001,2024-11-15_13h34.55.556,实验程序1.0,2024.2.4,60.20020157675887,2024-11-15 13h35.09.726978 +0800,
