thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,prac_image1.stopped,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image2.stopped,key_resp.started,image1.stopped,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0035345000005690963,0.010455999999976484,0.010455999999976484,2.6332758000007743,space,2.614693200000147,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,001,2024-11-17_11h25.51.936,实验程序1.0,2024.2.4,60.00783702337403,2024-11-17 11h26.04.170402 +0800,
,,,,,,,,,,,,,,,,,,,,,,,2.6447290000005523,2.6447290000005523,space,6.420789499999955,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,001,2024-11-17_11h25.51.936,实验程序1.0,2024.2.4,60.00783702337403,2024-11-17 11h26.04.170402 +0800,
9,0,9,,,,9,0,9,0,,,,,34.853962400000455,,,,,,,,,,,,,,34.853962400000455,35.995312200000626,35.395415900000444,f,0.5743096999995032,None,28.07878720000008,37.46244800000022,37.469814100000804,37.469814100000804,39.545560900000055,space,2.0592976000007184,None,,,,,,,,,,,,,,,,,,61,001,2024-11-17_11h25.51.936,实验程序1.0,2024.2.4,60.00783702337403,2024-11-17 11h26.04.170402 +0800,
0,0,0,j,0.6166840999994747,None,,,,,0,0,0,0,39.59146400000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.583070900000166,39.59146400000009,40.978694900000846,40.345027300000766,40.978694900000846,43.111395200000516,j,0.6166840999994747,None,0,image2,6,image2,image1,['high'],0.3,0.7,61,001,2024-11-17_11h25.51.936,实验程序1.0,2024.2.4,60.00783702337403,2024-11-17 11h26.04.170402 +0800,
0,0,0,f,0.4793435999999929,None,,,,,0,0,0,0,43.163068300000305,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.15591420000055,43.163068300000305,45.062327300000106,44.562110400000165,45.062327300000106,47.62332190000052,f,0.4793435999999929,None,0,image1,5,image2,image1,"['high', 'low']",0.3,0.7,61,001,2024-11-17_11h25.51.936,实验程序1.0,2024.2.4,60.00783702337403,2024-11-17 11h26.04.170402 +0800,
1,0,1,j,0.37929260000055365,None,,,,,1,0,1,0,47.67325920000076,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.66615620000084,47.67325920000076,49.062026500000684,48.662064800000735,49.062026500000684,51.19506860000001,j,0.37929260000055365,None,0,image1,4,image2,image1,"['high', 'low', 'low']",0.3,0.7,61,001,2024-11-17_11h25.51.936,实验程序1.0,2024.2.4,60.00783702337403,2024-11-17 11h26.04.170402 +0800,
2,0,2,f,0.5091597000000547,None,,,,,2,0,2,0,51.24700100000064,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.239772100000664,51.24700100000064,53.162258100000145,52.62864200000058,53.162258100000145,54.67488790000061,f,0.5091597000000547,None,0,image2,3,image2,image1,"['high', 'low', 'low', 'high']",0.3,0.7,61,001,2024-11-17_11h25.51.936,实验程序1.0,2024.2.4,60.00783702337403,2024-11-17 11h26.04.170402 +0800,
3,0,3,j,0.751501200000348,None,,,,,3,0,3,0,54.77456620000066,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.767322100000456,54.77456620000066,56.9620330000007,56.178789400000824,56.9620330000007,59.56331250000039,j,0.751501200000348,None,10,image2,2,image2,image1,"['high', 'low', 'low', 'high', 'high']",0.3,0.7,61,001,2024-11-17_11h25.51.936,实验程序1.0,2024.2.4,60.00783702337403,2024-11-17 11h26.04.170402 +0800,
4,0,4,f,0.4441944999998668,None,,,,,4,0,4,0,59.614911000000575,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.60768250000001,59.614911000000575,61.72872780000034,61.26187670000036,61.72872780000034,63.87678270000015,f,0.4441944999998668,None,0,image2,1,image2,image1,"['high', 'low', 'low', 'high', 'high', 'high']",0.3,0.7,61,001,2024-11-17_11h25.51.936,实验程序1.0,2024.2.4,60.00783702337403,2024-11-17 11h26.04.170402 +0800,
5,0,5,j,0.599873099999968,None,,,,,5,0,5,0,63.921984200000225,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.91472210000029,63.921984200000225,65.76209490000019,65.14532570000028,65.76209490000019,67.31732460000057,j,0.599873099999968,None,10,image1,0,image2,image1,"['low', 'low', 'high', 'high', 'high', 'low']",0.3,0.7,61,001,2024-11-17_11h25.51.936,实验程序1.0,2024.2.4,60.00783702337403,2024-11-17 11h26.04.170402 +0800,
6,0,6,j,0.7598111999996036,None,,,,,6,0,6,0,67.36703570000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.35984270000063,67.36703570000009,69.74541350000072,68.96203110000079,69.74541350000072,71.24025240000083,j,0.7598111999996036,None,10,image2,-1,image2,image1,"['low', 'high', 'high', 'high', 'low', 'high']",0.3,0.7,61,001,2024-11-17_11h25.51.936,实验程序1.0,2024.2.4,60.00783702337403,2024-11-17 11h26.04.170402 +0800,
7,0,7,f,0.5300145999999586,None,,,,,7,0,7,0,71.34143960000074,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.33448090000002,71.34143960000074,73.42878650000057,72.87867090000054,73.42878650000057,75.32298179999998,f,0.5300145999999586,None,0,image2,8,image1,image2,[],0.7,0.3,61,001,2024-11-17_11h25.51.936,实验程序1.0,2024.2.4,60.00783702337403,2024-11-17 11h26.04.170402 +0800,
8,0,8,j,0.3919490999996924,None,,,,,8,0,8,0,75.36772480000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.3606376000007,75.36772480000036,77.76216250000016,77.34550020000006,77.76216250000016,79.56598620000022,j,0.3919490999996924,None,10,image1,7,image1,image2,['high'],0.7,0.3,61,001,2024-11-17_11h25.51.936,实验程序1.0,2024.2.4,60.00783702337403,2024-11-17 11h26.04.170402 +0800,
9,0,9,j,0.5455443999999261,None,,,,,9,0,9,0,79.61636350000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.60910540000077,79.61636350000026,81.8786753000004,81.31219490000058,81.8786753000004,83.64244120000058,j,0.5455443999999261,None,0,image2,6,image1,image2,"['high', 'low']",0.7,0.3,61,001,2024-11-17_11h25.51.936,实验程序1.0,2024.2.4,60.00783702337403,2024-11-17 11h26.04.170402 +0800,
10,0,10,f,0.49182919999930164,None,,,,,10,0,10,0,83.68771160000051,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.68048780000026,83.68771160000051,85.77883400000064,85.26210290000017,85.77883400000064,88.0063923000007,f,0.49182919999930164,None,10,image1,5,image1,image2,"['high', 'low', 'high']",0.7,0.3,61,001,2024-11-17_11h25.51.936,实验程序1.0,2024.2.4,60.00783702337403,2024-11-17 11h26.04.170402 +0800,
11,0,11,f,0.5206416999999419,None,,,,,11,0,11,0,88.05761940000048,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.05019360000006,88.05761940000048,89.67880230000083,89.12875880000047,89.67880230000083,92.21582690000014,f,0.5206416999999419,None,0,image2,4,image1,image2,"['high', 'low', 'high', 'low']",0.7,0.3,61,001,2024-11-17_11h25.51.936,实验程序1.0,2024.2.4,60.00783702337403,2024-11-17 11h26.04.170402 +0800,
12,0,12,j,0.7526674000000639,None,,,,,12,0,12,0,92.31351620000078,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.30630970000038,92.31351620000078,93.89541510000072,93.11214270000073,93.89541510000072,95.58091800000057,j,0.7526674000000639,None,10,image1,3,image1,image2,"['high', 'low', 'high', 'low', 'high']",0.7,0.3,61,001,2024-11-17_11h25.51.936,实验程序1.0,2024.2.4,60.00783702337403,2024-11-17 11h26.04.170402 +0800,
13,0,13,j,0.4388555000004999,None,,,,,13,0,13,0,95.63059560000056,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.62365399999999,95.63059560000056,97.4455037000007,96.97883790000014,97.4455037000007,100.35926410000047,j,0.4388555000004999,None,10,image1,2,image1,image2,"['high', 'low', 'high', 'low', 'high', 'high']",0.7,0.3,61,001,2024-11-17_11h25.51.936,实验程序1.0,2024.2.4,60.00783702337403,2024-11-17 11h26.04.170402 +0800,
14,0,14,j,0.35587740000028134,None,,,,,14,0,14,0,100.40460070000063,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.39748420000069,100.40460070000063,101.82892590000029,101.44551450000017,101.82892590000029,103.36950539999998,j,0.35587740000028134,None,0,image1,1,image1,image2,"['low', 'high', 'low', 'high', 'high', 'high']",0.7,0.3,61,001,2024-11-17_11h25.51.936,实验程序1.0,2024.2.4,60.00783702337403,2024-11-17 11h26.04.170402 +0800,
15,0,15,j,0.7623708999999508,None,,,,,15,0,15,0,103.41867660000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.41152850000071,103.41867660000025,105.27883360000033,104.49549950000073,105.27883360000033,108.05721059999996,j,0.7623708999999508,None,0,image1,9,image2,image1,[],0.3,0.7,61,001,2024-11-17_11h25.51.936,实验程序1.0,2024.2.4,60.00783702337403,2024-11-17 11h26.04.170402 +0800,
16,0,16,f,0.8530687000002217,None,,,,,16,0,16,0,108.15512930000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.14775540000028,108.15512930000023,110.09552110000004,109.21225200000026,110.09552110000004,112.2190728000005,f,0.8530687000002217,None,0,image2,8,image2,image1,['high'],0.3,0.7,61,001,2024-11-17_11h25.51.936,实验程序1.0,2024.2.4,60.00783702337403,2024-11-17 11h26.04.170402 +0800,
17,0,17,j,0.6263633000007758,None,,,,,17,0,17,0,112.27086380000037,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.26389430000017,112.27086380000037,113.54560570000012,112.89550440000039,113.54560570000012,116.24173600000086,j,0.6263633000007758,None,0,image1,7,image2,image1,"['high', 'low']",0.3,0.7,61,001,2024-11-17_11h25.51.936,实验程序1.0,2024.2.4,60.00783702337403,2024-11-17 11h26.04.170402 +0800,
18,0,18,j,0.7399433999999019,None,,,,,18,0,18,0,116.2864296000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.27935770000022,116.2864296000007,118.99521020000066,118.22882150000078,118.99521020000066,121.89307710000048,j,0.7399433999999019,None,10,image1,6,image2,image1,"['high', 'low', 'low']",0.3,0.7,61,001,2024-11-17_11h25.51.936,实验程序1.0,2024.2.4,60.00783702337403,2024-11-17 11h26.04.170402 +0800,
