thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,prac_image1.stopped,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image1.stopped,image2.stopped,key_resp.started,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.005480099469423294,0.016583599150180817,0.016583599150180817,3.712577199563384,space,3.6698848996311426,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,2024-11-15_10h46.10.798,实验程序1.0,2024.2.4,60.94224056201121,2024-11-15 10h46.23.244676 +0800,
,,,,,,,,,,,,,,,,,,,,,,,3.7267895005643368,3.7267895005643368,space,3.23868940025568,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,2024-11-15_10h46.10.798,实验程序1.0,2024.2.4,60.94224056201121,2024-11-15 10h46.23.244676 +0800,
9,0,9,,,,9,0,9,0,,,,,32.04658200033009,,,,,,,,,,,,,,32.04658200033009,33.30002390034497,32.584067799150944,33.30002390034497,f,0.6870275009423494,None,34.77136969938874,34.78012070059776,34.78012070059776,36.46774869970977,space,1.6735174003988504,None,,,,,,,,,,,,,,,,,,17,001,2024-11-15_10h46.10.798,实验程序1.0,2024.2.4,60.94224056201121,2024-11-15 10h46.23.244676 +0800,
0,0,0,j,0.9664382990449667,None,,,,,0,0,0,0,36.52585930004716,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.51296480000019,36.52585930004716,39.166716599836946,39.166716599836946,38.183325100690126,41.77699230052531,j,0.9664382990449667,None,0,image2,2,image1,image2,['low'],0.7,0.3,17,001,2024-11-15_10h46.10.798,实验程序1.0,2024.2.4,60.94224056201121,2024-11-15 10h46.23.244676 +0800,
0,0,0,j,0.5537994001060724,None,,,,,0,0,0,0,41.828756200149655,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8198068998754,41.828756200149655,44.099970400333405,44.099970400333405,43.51663720048964,46.77136290073395,j,0.5537994001060724,None,0,image2,1,image1,image2,"['low', 'low']",0.7,0.3,17,001,2024-11-15_10h46.10.798,实验程序1.0,2024.2.4,60.94224056201121,2024-11-15 10h46.23.244676 +0800,
1,0,1,f,0.7594971992075443,None,,,,,1,0,1,0,46.82371909916401,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.81430350057781,46.82371909916401,48.93337560072541,48.93337560072541,48.150892900303006,51.589742900803685,f,0.7594971992075443,None,0,image1,0,image1,image2,"['low', 'low', 'high']",0.7,0.3,17,001,2024-11-15_10h46.10.798,实验程序1.0,2024.2.4,60.94224056201121,2024-11-15 10h46.23.244676 +0800,
2,0,2,f,0.524295499548316,None,,,,,2,0,2,0,51.64159969985485,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.632761400192976,51.64159969985485,54.01667479984462,54.01667479984462,53.4665712993592,56.8987157009542,f,0.524295499548316,None,10,image1,-1,image1,image2,"['low', 'low', 'high', 'high']",0.7,0.3,17,001,2024-11-15_10h46.10.798,实验程序1.0,2024.2.4,60.94224056201121,2024-11-15 10h46.23.244676 +0800,
3,0,3,f,0.9346146006137133,None,,,,,3,0,3,0,57.00754979997873,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.99794000014663,57.00754979997873,58.96663260087371,58.96663260087371,58.01680720038712,61.377661699429154,f,0.9346146006137133,None,0,image2,-2,image1,image2,"['low', 'low', 'high', 'high', 'low']",0.7,0.3,17,001,2024-11-15_10h46.10.798,实验程序1.0,2024.2.4,60.94224056201121,2024-11-15 10h46.23.244676 +0800,
4,0,4,f,1.1273720003664494,None,,,,,4,0,4,0,61.431414399296045,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.42166770063341,61.431414399296045,64.08329609967768,64.08329609967768,62.93397510051727,66.98696980066597,f,1.1273720003664494,None,10,image1,-3,image1,image2,"['low', 'low', 'high', 'high', 'low', 'high']",0.7,0.3,17,001,2024-11-15_10h46.10.798,实验程序1.0,2024.2.4,60.94224056201121,2024-11-15 10h46.23.244676 +0800,
5,0,5,None,,,,,,,5,0,5,0,67.038508400321,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.02930860035121,67.038508400321,68.98334719985723,68.98334719985723,67.73349340073764,69.98592999950051,None,,,,,,,,,,,17,001,2024-11-15_10h46.10.798,实验程序1.0,2024.2.4,60.94224056201121,2024-11-15 10h46.23.244676 +0800,
