thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,prac_image1.stopped,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image2.stopped,key_resp.started,image1.stopped,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0032714000000169108,0.007918399999994108,0.007918399999994108,2.357764999999972,space,2.339790999999991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,001,2025-03-12_10h29.13.044,实验程序1.0,2024.2.4,60.06673414161991,2025-03-12 10h29.23.686220 +0800,
,,,,,,,,,,,,,,,,,,,,,,,2.3673359999999093,2.3673359999999093,space,3.0934009999999716,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,001,2025-03-12_10h29.13.044,实验程序1.0,2024.2.4,60.06673414161991,2025-03-12 10h29.23.686220 +0800,
9,0,9,,,,9,0,9,0,,,,,28.87483349999991,,,,,,,,,,,,,,28.87483349999991,29.783599799999934,29.417006599999922,f,0.3463163999999779,None,25.432940700000017,31.25186999999994,31.25889769999992,31.25889769999992,32.167098399999986,space,0.8971839000000728,None,,,,,,,,,,,,,,,,,,56,001,2025-03-12_10h29.13.044,实验程序1.0,2024.2.4,60.06673414161991,2025-03-12 10h29.23.686220 +0800,
0,0,0,f,0.3676864999999907,None,,,,,0,0,0,0,32.212461799999915,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.2042993,32.212461799999915,33.68362849999994,33.28324889999999,33.68362849999994,35.51167190000001,f,0.3676864999999907,None,10,image2,4,image2,image1,['high'],0.3,0.7,56,001,2025-03-12_10h29.13.044,实验程序1.0,2024.2.4,60.06673414161991,2025-03-12 10h29.23.686220 +0800,
0,0,0,f,0.4019457000000557,None,,,,,0,0,0,0,35.56369029999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.55642839999996,35.56369029999996,37.4502162,37.01684739999996,37.4502162,39.51182499999993,f,0.4019457000000557,None,10,image2,3,image2,image1,"['high', 'high']",0.3,0.7,56,001,2025-03-12_10h29.13.044,实验程序1.0,2024.2.4,60.06673414161991,2025-03-12 10h29.23.686220 +0800,
1,0,1,j,0.4877349000000777,None,,,,,1,0,1,0,39.56331549999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.55589069999996,39.56331549999993,41.40029189999996,40.883666999999946,41.40029189999996,43.65077359999998,j,0.4877349000000777,None,10,image2,2,image2,image1,"['high', 'high', 'high']",0.3,0.7,56,001,2025-03-12_10h29.13.044,实验程序1.0,2024.2.4,60.06673414161991,2025-03-12 10h29.23.686220 +0800,
2,0,2,f,0.4325382999999192,None,,,,,2,0,2,0,43.69502829999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.68780089999996,43.69502829999999,45.91698829999996,45.466887399999905,45.91698829999996,48.45222449999994,f,0.4325382999999192,None,0,image2,1,image2,image1,"['high', 'high', 'high', 'high']",0.3,0.7,56,001,2025-03-12_10h29.13.044,实验程序1.0,2024.2.4,60.06673414161991,2025-03-12 10h29.23.686220 +0800,
3,0,3,f,0.3788968000000068,None,,,,,3,0,3,0,48.54334139999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.53615530000002,48.54334139999992,50.6170942,50.216957699999966,50.6170942,53.08786239999995,f,0.3788968000000068,None,10,image2,10,image1,image2,[],0.7,0.3,56,001,2025-03-12_10h29.13.044,实验程序1.0,2024.2.4,60.06673414161991,2025-03-12 10h29.23.686220 +0800,
4,0,4,j,0.49434450000001107,None,,,,,4,0,4,0,53.13676739999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.12970209999992,53.13676739999994,55.01695199999995,54.500343399999906,55.01695199999995,57.85947449999992,j,0.49434450000001107,None,0,image2,9,image1,image2,['low'],0.7,0.3,56,001,2025-03-12_10h29.13.044,实验程序1.0,2024.2.4,60.06673414161991,2025-03-12 10h29.23.686220 +0800,
5,0,5,f,0.32961249999993925,None,,,,,5,0,5,0,57.91064319999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.90340529999992,57.91064319999998,59.20033689999991,58.85026039999991,59.20033689999991,60.93334459999994,f,0.32961249999993925,None,0,image2,8,image1,image2,"['low', 'low']",0.7,0.3,56,001,2025-03-12_10h29.13.044,实验程序1.0,2024.2.4,60.06673414161991,2025-03-12 10h29.23.686220 +0800,
