thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,prac_image1.stopped,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image2.stopped,key_resp.started,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,image1.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0031208000000333413,0.007824199999959092,0.007824199999959092,2.087537599999905,space,2.0626281999998355,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,001,2024-11-15_10h13.09.014,实验程序1.0,2024.2.4,60.009817606198354,2024-11-15 10h13.17.761788 +0800,
,,,,,,,,,,,,,,,,,,,,,,,2.0983641000002535,2.0983641000002535,space,2.204144499999984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,001,2024-11-15_10h13.09.014,实验程序1.0,2024.2.4,60.009817606198354,2024-11-15 10h13.17.761788 +0800,
9,0,9,,,,9,0,9,0,,,,,27.309863100000257,,,,,,,,,,,,,,27.309863100000257,28.7819956000003,27.84913060000008,28.7819956000003,f,0.9013602999998511,None,30.247505199999978,30.255115899999964,30.255115899999964,43.049556100000245,space,12.782754599999862,None,,,,,,,,,,,,,,,,,,26,001,2024-11-15_10h13.09.014,实验程序1.0,2024.2.4,60.009817606198354,2024-11-15 10h13.17.761788 +0800,
0,0,0,f,0.381866600000194,None,,,,,0,0,0,0,43.097599400000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.088020700000015,43.097599400000036,44.24918969999999,43.84888060000003,46.221756899999946,f,0.381866600000194,None,10,image1,3,image1,image2,['high'],0.7,0.3,,26,001,2024-11-15_10h13.09.014,实验程序1.0,2024.2.4,60.009817606198354,2024-11-15 10h13.17.761788 +0800,
0,0,0,j,0.6487827999999354,None,,,,,0,0,0,0,46.27123010000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.26407930000005,46.27123010000014,48.64913939999997,47.98244990000012,50.18464390000008,j,0.6487827999999354,None,10,image1,2,image1,image2,"['high', 'high']",0.7,0.3,48.64913939999997,26,001,2024-11-15_10h13.09.014,实验程序1.0,2024.2.4,60.009817606198354,2024-11-15 10h13.17.761788 +0800,
1,0,1,j,0.4558612999999241,None,,,,,1,0,1,0,50.23615860000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.22920930000009,50.23615860000018,51.2660334000002,50.78255050000007,53.04281549999996,j,0.4558612999999241,None,10,image1,1,image1,image2,"['high', 'high', 'high']",0.7,0.3,,26,001,2024-11-15_10h13.09.014,实验程序1.0,2024.2.4,60.009817606198354,2024-11-15 10h13.17.761788 +0800,
2,0,2,j,0.3183593999997356,None,,,,,2,0,2,0,53.0901987000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0829904000002,53.0901987000002,54.74945380000008,54.399200900000324,56.421706500000255,j,0.3183593999997356,None,10,image1,0,image1,image2,"['high', 'high', 'high', 'high']",0.7,0.3,54.74945380000008,26,001,2024-11-15_10h13.09.014,实验程序1.0,2024.2.4,60.009817606198354,2024-11-15 10h13.17.761788 +0800,
3,0,3,f,0.3307995000000119,None,,,,,3,0,3,0,56.51510690000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.50796870000022,56.51510690000032,58.03255029999991,57.68248300000005,60.153256000000056,f,0.3307995000000119,None,10,image1,11,image2,image1,[],0.3,0.7,58.03255029999991,26,001,2024-11-15_10h13.09.014,实验程序1.0,2024.2.4,60.009817606198354,2024-11-15 10h13.17.761788 +0800,
4,0,4,j,0.9027052999999796,None,,,,,4,0,4,0,60.20349299999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.19622220000019,60.20349299999998,61.91588260000026,60.98251680000021,64.52227500000026,j,0.9027052999999796,None,0,image1,10,image2,image1,['low'],0.3,0.7,61.91588260000026,26,001,2024-11-15_10h13.09.014,实验程序1.0,2024.2.4,60.009817606198354,2024-11-15 10h13.17.761788 +0800,
5,0,5,f,0.5439180000003034,None,,,,,5,0,5,0,64.56985940000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.56282110000029,64.56985940000004,66.54921130000002,65.98259850000022,68.40777530000014,f,0.5439180000003034,None,0,image1,9,image2,image1,"['low', 'low']",0.3,0.7,66.54921130000002,26,001,2024-11-15_10h13.09.014,实验程序1.0,2024.2.4,60.009817606198354,2024-11-15 10h13.17.761788 +0800,
