thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,prac_image1.stopped,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image1.stopped,image2.stopped,key_resp.started,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0033533999999235675,0.010379300000295189,0.010379300000295189,16.502869500000088,space,16.475107799999932,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,001,2025-03-03_11h08.46.238,实验程序1.0,2024.2.4,60.02570300597182,2025-03-03 11h08.56.634818 +0800,
,,,,,,,,,,,,,,,,,,,,,,,16.513195200000155,16.513195200000155,space,5.108278599999721,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,001,2025-03-03_11h08.46.238,实验程序1.0,2024.2.4,60.02570300597182,2025-03-03 11h08.56.634818 +0800,
9,0,9,,,,9,0,9,0,,,,,46.85475200000019,,,,,,,,,,,,,,46.85475200000019,47.74716070000022,47.39726800000017,43.0804234000002,j,0.3287908000002062,None,49.211977599999955,49.21932330000027,49.21932330000027,50.831153500000255,space,1.6097085000001243,None,,,,,,,,,,,,,,,,,,49,001,2025-03-03_11h08.46.238,实验程序1.0,2024.2.4,60.02570300597182,2025-03-03 11h08.56.634818 +0800,
0,0,0,f,0.44643989999985934,None,,,,,0,0,0,0,50.88288869999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.87438569999995,50.88288869999997,53.1305540000003,53.1305540000003,52.663570900000195,55.96986000000015,f,0.44643989999985934,None,10,image1,8,image1,image2,['high'],0.7,0.3,49,001,2025-03-03_11h08.46.238,实验程序1.0,2024.2.4,60.02570300597182,2025-03-03 11h08.56.634818 +0800,
0,0,0,f,0.3794742000000042,None,,,,,0,0,0,0,56.02041220000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.01321970000026,56.02041220000001,,57.14723700000013,56.74713350000002,60.08020890000034,f,0.3794742000000042,None,10,image2,7,image1,image2,"['high', 'low']",0.7,0.3,49,001,2025-03-03_11h08.46.238,实验程序1.0,2024.2.4,60.02570300597182,2025-03-03 11h08.56.634818 +0800,
1,0,1,f,0.7851997000002484,None,,,,,1,0,1,0,60.13279730000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.12573390000034,60.13279730000022,62.18050720000019,62.18050720000019,61.363760300000195,65.0140191999999,f,0.7851997000002484,None,0,image2,6,image1,image2,"['high', 'low', 'low']",0.7,0.3,49,001,2025-03-03_11h08.46.238,实验程序1.0,2024.2.4,60.02570300597182,2025-03-03 11h08.56.634818 +0800,
2,0,2,j,0.3728190000001632,None,,,,,2,0,2,0,65.06475520000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.05766790000007,65.06475520000004,,66.0972025000001,65.69715690000021,68.20397830000002,j,0.3728190000001632,None,0,image1,5,image1,image2,"['high', 'low', 'low', 'high']",0.7,0.3,49,001,2025-03-03_11h08.46.238,实验程序1.0,2024.2.4,60.02570300597182,2025-03-03 11h08.56.634818 +0800,
3,0,3,j,0.2684060000001409,None,,,,,3,0,3,0,68.30089380000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.29373530000021,68.30089380000027,69.58053689999997,69.58053689999997,69.28055050000012,72.18854940000028,j,0.2684060000001409,None,0,image2,4,image1,image2,"['high', 'low', 'low', 'high', 'low']",0.7,0.3,49,001,2025-03-03_11h08.46.238,实验程序1.0,2024.2.4,60.02570300597182,2025-03-03 11h08.56.634818 +0800,
4,0,4,f,0.26488819999985935,None,,,,,4,0,4,0,72.2398548000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.23268700000017,72.2398548000001,,73.24715920000017,72.96408990000009,74.84433040000022,f,0.26488819999985935,None,0,image2,3,image1,image2,"['high', 'low', 'low', 'high', 'low', 'low']",0.7,0.3,49,001,2025-03-03_11h08.46.238,实验程序1.0,2024.2.4,60.02570300597182,2025-03-03 11h08.56.634818 +0800,
5,0,5,f,0.2861874000000171,None,,,,,5,0,5,0,74.89362980000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.88627450000013,74.89362980000033,76.96381210000027,76.96381210000027,76.64706479999995,79.11395369999991,f,0.2861874000000171,None,10,image1,2,image1,image2,"['low', 'low', 'high', 'low', 'low', 'high']",0.7,0.3,49,001,2025-03-03_11h08.46.238,实验程序1.0,2024.2.4,60.02570300597182,2025-03-03 11h08.56.634818 +0800,
6,0,6,f,0.9347913000001427,None,,,,,6,0,6,0,79.16624640000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.1589214999999,79.16624640000009,81.0138167,81.0138167,80.04711020000013,83.78208250000034,f,0.9347913000001427,None,0,image2,1,image1,image2,"['low', 'high', 'low', 'low', 'high', 'low']",0.7,0.3,49,001,2025-03-03_11h08.46.238,实验程序1.0,2024.2.4,60.02570300597182,2025-03-03 11h08.56.634818 +0800,
