thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,prac_image1.stopped,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image1.stopped,image2.stopped,key_resp.started,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.004623100161552429,0.019800299778580666,0.019800299778580666,1.4227448999881744,space,1.3851335998624563,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2024-11-14_19h52.59.991,实验程序1.0,2024.2.4,59.96800111019976,2024-11-14 19h53.09.735746 +0800,
,,,,,,,,,,,,,,,,,,,,,,,1.4347367007285357,1.4347367007285357,space,2.255581399425864,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2024-11-14_19h52.59.991,实验程序1.0,2024.2.4,59.96800111019976,2024-11-14 19h53.09.735746 +0800,
9,0,9,,,,9,0,9,0,,,,,27.298932399600744,,,,,,,,,,,,,,27.298932399600744,28.286244299262762,27.836498400196433,25.819915000349283,f,0.42293629981577396,None,29.75726200081408,29.765992099419236,29.765992099419236,31.08944020047784,space,1.3186172004789114,None,,,,,,,,,,,,,,,,,,10,001,2024-11-14_19h52.59.991,实验程序1.0,2024.2.4,59.96800111019976,2024-11-14 19h53.09.735746 +0800,
0,0,0,f,0.5036753006279469,None,,,,,0,0,0,0,31.14582240022719,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.133556900545955,31.14582240022719,33.5362569000572,33.5362569000572,33.002911400049925,35.51780110038817,f,0.5036753006279469,None,0,image2,9,image1,image2,['low'],0.7,0.3,10,001,2024-11-14_19h52.59.991,实验程序1.0,2024.2.4,59.96800111019976,2024-11-14 19h53.09.735746 +0800,
0,0,0,j,0.3873196002095938,None,,,,,0,0,0,0,35.56849079951644,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.55974319949746,35.56849079951644,37.12011919915676,37.12011919915676,36.70296150073409,39.609319200739264,j,0.3873196002095938,None,0,image1,8,image1,image2,"['low', 'high']",0.7,0.3,10,001,2024-11-14_19h52.59.991,实验程序1.0,2024.2.4,59.96800111019976,2024-11-14 19h53.09.735746 +0800,
1,0,1,j,0.45528060011565685,None,,,,,1,0,1,0,39.66059469990432,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.65165260061622,39.66059469990432,41.469834599643946,41.469834599643946,40.98663429915905,43.41613190062344,j,0.45528060011565685,None,10,image1,7,image1,image2,"['low', 'high', 'high']",0.7,0.3,10,001,2024-11-14_19h52.59.991,实验程序1.0,2024.2.4,59.96800111019976,2024-11-14 19h53.09.735746 +0800,
2,0,2,f,0.45187029987573624,None,,,,,2,0,2,0,43.46789360046387,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.45908189937472,43.46789360046387,45.03754689916968,45.03754689916968,44.56960909999907,47.12786540016532,f,0.45187029987573624,None,0,image1,6,image1,image2,"['low', 'high', 'high', 'high']",0.7,0.3,10,001,2024-11-14_19h52.59.991,实验程序1.0,2024.2.4,59.96800111019976,2024-11-14 19h53.09.735746 +0800,
3,0,3,f,0.0724113006144762,None,,,,,3,0,3,0,47.23787830024958,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22686979919672,47.23787830024958,49.286927500739694,49.286927500739694,49.18630830012262,50.91662289947271,f,0.0724113006144762,None,0,image2,5,image1,image2,"['low', 'high', 'high', 'high', 'low']",0.7,0.3,10,001,2024-11-14_19h52.59.991,实验程序1.0,2024.2.4,59.96800111019976,2024-11-14 19h53.09.735746 +0800,
4,0,4,f,0.22050360031425953,None,,,,,4,0,4,0,50.96841960027814,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.95967219956219,50.96841960027814,52.90317130088806,52.90317130088806,52.6532007008791,54.48445660062134,f,0.22050360031425953,None,10,image1,4,image1,image2,"['low', 'high', 'high', 'high', 'low', 'high']",0.7,0.3,10,001,2024-11-14_19h52.59.991,实验程序1.0,2024.2.4,59.96800111019976,2024-11-14 19h53.09.735746 +0800,
5,0,5,j,0.36956140026450157,None,,,,,5,0,5,0,54.53559320047498,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.526696199551225,54.53559320047498,,55.73629220016301,55.33666919916868,57.44960089959204,j,0.36956140026450157,None,10,image1,3,image1,image2,"['high', 'high', 'high', 'low', 'high', 'high']",0.7,0.3,10,001,2024-11-14_19h52.59.991,实验程序1.0,2024.2.4,59.96800111019976,2024-11-14 19h53.09.735746 +0800,
6,0,6,f,0.29606520012021065,None,,,,,6,0,6,0,57.50196179933846,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.492868699133396,57.50196179933846,59.08640209957957,59.08640209957957,58.76995869912207,61.14779780060053,f,0.29606520012021065,None,10,image1,2,image1,image2,"['high', 'high', 'low', 'high', 'high', 'high']",0.7,0.3,10,001,2024-11-14_19h52.59.991,实验程序1.0,2024.2.4,59.96800111019976,2024-11-14 19h53.09.735746 +0800,
7,0,7,f,0.32605909928679466,None,,,,,7,0,7,0,61.25688889995217,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.24777960032225,61.25688889995217,63.18728700093925,63.18728700093925,62.83668779954314,64.94064819999039,f,0.32605909928679466,None,10,image1,1,image1,image2,"['high', 'low', 'high', 'high', 'high', 'high']",0.7,0.3,10,001,2024-11-14_19h52.59.991,实验程序1.0,2024.2.4,59.96800111019976,2024-11-14 19h53.09.735746 +0800,
8,0,8,f,0.35352930054068565,None,,,,,8,0,8,0,64.99380270019174,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.98488749936223,64.99380270019174,66.90397869981825,66.90397869981825,66.52024159952998,69.10380770079792,f,0.35352930054068565,None,0,image1,2,image2,image1,['low'],0.3,0.7,10,001,2024-11-14_19h52.59.991,实验程序1.0,2024.2.4,59.96800111019976,2024-11-14 19h53.09.735746 +0800,
9,0,9,j,0.4349005986005068,None,,,,,9,0,9,0,69.15642829984426,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.14670279994607,69.15642829984426,70.4032438993454,70.4032438993454,69.93628619983792,73.13047870062292,j,0.4349005986005068,None,10,image2,1,image2,image1,"['low', 'high']",0.3,0.7,10,001,2024-11-14_19h52.59.991,实验程序1.0,2024.2.4,59.96800111019976,2024-11-14 19h53.09.735746 +0800,
