thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,prac_image1.stopped,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image2.stopped,key_resp.started,image1.stopped,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,0.003278,0.0081803,0.0081803,10.7441823,space,10.7169934,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,1,2025-03-04_10h21.19.012,实验程序1.0,2024.2.4,59.95574067,2025-03-04 10h21.31.046584 +0800
,,,,,,,,,,,,,,,,,,,,,,,10.7570584,10.7570584,space,2.4326271,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,1,2025-03-04_10h21.19.012,实验程序1.0,2024.2.4,59.95574067,2025-03-04 10h21.31.046584 +0800
9,0,9,,,,9,0,9,0,,,,,36.6979228,,,,,,,,,,,,,,36.6979228,37.9743827,37.2411203,37.9743827,j,0.7153471,None,39.4415271,39.4492864,39.4492864,42.0748297,space,2.6107435,None,,,,,,,,,,,,,,,,,,104,1,2025-03-04_10h21.19.012,实验程序1.0,2024.2.4,59.95574067,2025-03-04 10h21.31.046584 +0800
0,0,0,f,0.4078746,None,,,,,0,0,0,0,42.1208862,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.1123386,42.1208862,43.5910781,43.1573494,43.5910781,46.4752498,f,0.4078746,None,0,image1,4,image1,image2,['high'],0.7,0.3,104,1,2025-03-04_10h21.19.012,实验程序1.0,2024.2.4,59.95574067,2025-03-04 10h21.31.046584 +0800
0,0,0,f,0.5272193,None,,,,,0,0,0,0,46.5242516,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.5171057,46.5242516,48.3243903,47.7744727,48.3243903,50.9879221,f,0.5272193,None,0,image1,3,image1,image2,"['high', 'high']",0.7,0.3,104,1,2025-03-04_10h21.19.012,实验程序1.0,2024.2.4,59.95574067,2025-03-04 10h21.31.046584 +0800
1,0,1,f,0.9356466,None,,,,,1,0,1,0,51.0394661,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0320939,51.0394661,52.6910887,51.724506,52.6910887,54.7831444,f,0.9356466,None,0,image2,2,image1,image2,"['high', 'high', 'low']",0.7,0.3,104,1,2025-03-04_10h21.19.012,实验程序1.0,2024.2.4,59.95574067,2025-03-04 10h21.31.046584 +0800
2,0,2,j,0.7622176,None,,,,,2,0,2,0,54.8338055,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.8267237,54.8338055,57.4577443,56.6744991,57.4577443,59.1373372,j,0.7622176,None,10,image1,1,image1,image2,"['high', 'high', 'low', 'high']",0.7,0.3,104,1,2025-03-04_10h21.19.012,实验程序1.0,2024.2.4,59.95574067,2025-03-04 10h21.31.046584 +0800
3,0,3,j,0.3829004,None,,,,,3,0,3,0,59.2322235,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.2251763,59.2322235,61.3578469,60.9578314,61.3578469,63.1114669,j,0.3829004,None,0,image2,0,image1,image2,"['high', 'high', 'low', 'high', 'low']",0.7,0.3,104,1,2025-03-04_10h21.19.012,实验程序1.0,2024.2.4,59.95574067,2025-03-04 10h21.31.046584 +0800
4,0,4,j,0.4119632,None,,,,,4,0,4,0,63.1624045,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.1553688,63.1624045,64.4744941,64.041069,64.4744941,66.2619888,j,0.4119632,None,0,image1,-1,image1,image2,"['high', 'high', 'low', 'high', 'low', 'high']",0.7,0.3,104,1,2025-03-04_10h21.19.012,实验程序1.0,2024.2.4,59.95574067,2025-03-04 10h21.31.046584 +0800
5,0,5,f,0.4819924,None,,,,,5,0,5,0,66.3139257,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.3069158,66.3139257,68.7910204,68.2910917,68.7910204,70.569825,f,0.4819924,None,0,image2,-2,image1,image2,"['high', 'low', 'high', 'low', 'high', 'low']",0.7,0.3,104,1,2025-03-04_10h21.19.012,实验程序1.0,2024.2.4,59.95574067,2025-03-04 10h21.31.046584 +0800
6,0,6,j,0.4738283,None,,,,,6,0,6,0,70.6234113,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.6160185,70.6234113,72.7910838,72.291186,72.7910838,74.5118367,j,0.4738283,None,10,image1,-3,image1,image2,"['low', 'high', 'low', 'high', 'low', 'high']",0.7,0.3,104,1,2025-03-04_10h21.19.012,实验程序1.0,2024.2.4,59.95574067,2025-03-04 10h21.31.046584 +0800
7,0,7,f,0.4676232,None,,,,,7,0,7,0,74.6060674,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.5989489,74.6060674,75.7244621,75.22456,,77.1996692,f,0.4676232,None,10,image1,-4,image1,image2,"['high', 'low', 'high', 'low', 'high', 'high']",0.7,0.3,104,1,2025-03-04_10h21.19.012,实验程序1.0,2024.2.4,59.95574067,2025-03-04 10h21.31.046584 +0800
8,0,8,f,0.4307948,None,,,,,8,0,8,0,77.2510246,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.2440409,77.2510246,79.2078773,78.757794,79.2078773,81.5406598,f,0.4307948,None,0,image1,-5,image1,image2,"['low', 'high', 'low', 'high', 'high', 'high']",0.7,0.3,104,1,2025-03-04_10h21.19.012,实验程序1.0,2024.2.4,59.95574067,2025-03-04 10h21.31.046584 +0800
9,0,9,j,0.376612,None,,,,,9,0,9,0,81.590943,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.5836206,81.590943,82.9245367,82.5245532,82.9245367,85.7483723,j,0.376612,None,0,image2,-6,image1,image2,"['high', 'low', 'high', 'high', 'high', 'low']",0.7,0.3,104,1,2025-03-04_10h21.19.012,实验程序1.0,2024.2.4,59.95574067,2025-03-04 10h21.31.046584 +0800
10,0,10,j,0.6484224,None,,,,,10,0,10,0,85.806917,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.799593,85.806917,87.9745475,87.3077885,87.9745475,90.0964633,j,0.6484224,None,0,image1,-7,image1,image2,"['low', 'high', 'high', 'high', 'low', 'high']",0.7,0.3,104,1,2025-03-04_10h21.19.012,实验程序1.0,2024.2.4,59.95574067,2025-03-04 10h21.31.046584 +0800
11,0,11,f,0.4232296,None,,,,,11,0,11,0,90.143977,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.1368456,90.143977,91.2078332,90.7579026,,94.1251646,f,0.4232296,None,0,image2,-8,image1,image2,"['high', 'high', 'high', 'low', 'high', 'low']",0.7,0.3,104,1,2025-03-04_10h21.19.012,实验程序1.0,2024.2.4,59.95574067,2025-03-04 10h21.31.046584 +0800
12,0,12,f,0.2358416,None,,,,,12,0,12,0,94.223366,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.2159419,94.223366,95.4911521,95.2245815,95.4911521,97.8410229,f,0.2358416,None,10,image2,-9,image1,image2,"['high', 'high', 'low', 'high', 'low', 'low']",0.7,0.3,104,1,2025-03-04_10h21.19.012,实验程序1.0,2024.2.4,59.95574067,2025-03-04 10h21.31.046584 +0800
13,0,13,f,0.4393752,None,,,,,13,0,13,0,97.8927182,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.8853686,97.8927182,99.0246176,98.55791,,101.1947509,f,0.4393752,None,10,image1,-10,image1,image2,"['high', 'low', 'high', 'low', 'low', 'high']",0.7,0.3,104,1,2025-03-04_10h21.19.012,实验程序1.0,2024.2.4,59.95574067,2025-03-04 10h21.31.046584 +0800
14,0,14,f,0.0035273,None,,,,,14,0,14,0,101.2461718,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.2389961,101.2461718,102.6579568,102.6245835,102.6579568,104.915583,f,0.0035273,None,0,image2,-11,image1,image2,"['low', 'high', 'low', 'low', 'high', 'low']",0.7,0.3,104,1,2025-03-04_10h21.19.012,实验程序1.0,2024.2.4,59.95574067,2025-03-04 10h21.31.046584 +0800
15,0,15,j,0.4290871,None,,,,,15,0,15,0,104.9684642,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.961441,104.9684642,106.8745901,106.4246037,106.8745901,108.6416214,j,0.4290871,None,0,image2,-12,image1,image2,"['high', 'low', 'low', 'high', 'low', 'low']",0.7,0.3,104,1,2025-03-04_10h21.19.012,实验程序1.0,2024.2.4,59.95574067,2025-03-04 10h21.31.046584 +0800
16,0,16,j,0.3929834,None,,,,,16,0,16,0,108.7469422,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.7398194,108.7469422,110.1412999,109.7245894,110.1412999,112.511467,j,0.3929834,None,10,image1,-13,image1,image2,"['low', 'low', 'high', 'low', 'low', 'high']",0.7,0.3,104,1,2025-03-04_10h21.19.012,实验程序1.0,2024.2.4,59.95574067,2025-03-04 10h21.31.046584 +0800
17,0,17,j,0.3738666,None,,,,,17,0,17,0,112.5616393,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.5545061,112.5616393,113.5912645,113.1911696,,115.9800364,j,0.3738666,None,10,image1,-14,image1,image2,"['low', 'high', 'low', 'low', 'high', 'high']",0.7,0.3,104,1,2025-03-04_10h21.19.012,实验程序1.0,2024.2.4,59.95574067,2025-03-04 10h21.31.046584 +0800
18,0,18,f,0.4720873,None,,,,,18,0,18,0,116.0333322,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.0261027,116.0333322,118.041254,117.5413373,118.041254,119.5566228,f,0.4720873,None,10,image1,-15,image1,image2,"['high', 'low', 'low', 'high', 'high', 'high']",0.7,0.3,104,1,2025-03-04_10h21.19.012,实验程序1.0,2024.2.4,59.95574067,2025-03-04 10h21.31.046584 +0800
19,0,19,f,0.4715619,None,,,,,19,0,19,0,119.6019373,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.5947039,119.6019373,120.6409418,120.1413895,,123.3708723,f,0.4715619,None,10,image1,-16,image1,image2,"['low', 'low', 'high', 'high', 'high', 'high']",0.7,0.3,104,1,2025-03-04_10h21.19.012,实验程序1.0,2024.2.4,59.95574067,2025-03-04 10h21.31.046584 +0800
20,0,20,f,0.4350432,None,,,,,20,0,20,0,123.4231587,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.4158275,123.4231587,125.5246716,125.0579963,125.5246716,127.6861127,f,0.4350432,None,10,image1,3,image2,image1,[],0.3,0.7,104,1,2025-03-04_10h21.19.012,实验程序1.0,2024.2.4,59.95574067,2025-03-04 10h21.31.046584 +0800
21,0,21,j,0.4369013,None,,,,,21,0,21,0,127.7845761,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.7773644,127.7845761,129.6747305,129.2079595,129.6747305,131.8206095,j,0.4369013,None,10,image1,2,image2,image1,['low'],0.3,0.7,104,1,2025-03-04_10h21.19.012,实验程序1.0,2024.2.4,59.95574067,2025-03-04 10h21.31.046584 +0800
22,0,22,f,0.3822564,None,,,,,22,0,22,0,131.8719832,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.8646151,131.8719832,134.1746859,133.7746661,134.1746859,136.74447,f,0.3822564,None,0,image1,1,image2,image1,"['low', 'low']",0.3,0.7,104,1,2025-03-04_10h21.19.012,实验程序1.0,2024.2.4,59.95574067,2025-03-04 10h21.31.046584 +0800
23,0,23,f,0.3460731,None,,,,,23,0,23,0,136.7893846,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.7821177,136.7893846,137.824755,137.4580252,,139.6156208,f,0.3460731,None,0,image1,0,image2,image1,"['low', 'low', 'low']",0.3,0.7,104,1,2025-03-04_10h21.19.012,实验程序1.0,2024.2.4,59.95574067,2025-03-04 10h21.31.046584 +0800
24,0,24,f,0.3163216,None,,,,,24,0,24,0,139.6667455,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.6595879,139.6667455,141.9745392,141.6412128,141.9745392,144.4373778,f,0.3163216,None,10,image1,-1,image2,image1,"['low', 'low', 'low', 'low']",0.3,0.7,104,1,2025-03-04_10h21.19.012,实验程序1.0,2024.2.4,59.95574067,2025-03-04 10h21.31.046584 +0800
25,0,25,j,0.3887423,None,,,,,25,0,25,0,144.5312116,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.5240151,144.5312116,146.0413382,145.6248993,146.0413382,148.6190279,j,0.3887423,None,10,image1,-2,image2,image1,"['low', 'low', 'low', 'low', 'low']",0.3,0.7,104,1,2025-03-04_10h21.19.012,实验程序1.0,2024.2.4,59.95574067,2025-03-04 10h21.31.046584 +0800
26,0,26,j,0.4099737,None,,,,,26,0,26,0,148.6704076,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.6630335,148.6704076,150.9246996,150.4913966,150.9246996,153.2116425,j,0.4099737,None,0,image1,-3,image2,image1,"['low', 'low', 'low', 'low', 'low', 'low']",0.3,0.7,104,1,2025-03-04_10h21.19.012,实验程序1.0,2024.2.4,59.95574067,2025-03-04 10h21.31.046584 +0800
27,0,27,f,0.9592378,None,,,,,27,0,27,0,153.2640835,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.2569205,153.2640835,155.5413101,154.5579817,155.5413101,157.7597309,f,0.9592378,None,0,image1,-4,image2,image1,"['low', 'low', 'low', 'low', 'low', 'low']",0.3,0.7,104,1,2025-03-04_10h21.19.012,实验程序1.0,2024.2.4,59.95574067,2025-03-04 10h21.31.046584 +0800
28,0,28,j,0.5736008,None,,,,,28,0,28,0,157.8113082,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.8042462,157.8113082,159.1914265,158.5913804,159.1914265,161.0154578,j,0.5736008,None,10,image1,-5,image2,image1,"['low', 'low', 'low', 'low', 'low', 'low']",0.3,0.7,104,1,2025-03-04_10h21.19.012,实验程序1.0,2024.2.4,59.95574067,2025-03-04 10h21.31.046584 +0800
29,0,29,f,0.3776221,None,,,,,29,0,29,0,161.0667558,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.0595482,161.0667558,163.4914655,163.0913986,163.4914655,166.3916215,f,0.3776221,None,10,image1,-6,image2,image1,"['low', 'low', 'low', 'low', 'low', 'low']",0.3,0.7,104,1,2025-03-04_10h21.19.012,实验程序1.0,2024.2.4,59.95574067,2025-03-04 10h21.31.046584 +0800
