thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,prac_image1.stopped,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image2.stopped,key_resp.started,image1.stopped,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.004741199314594269,0.013537298887968063,0.013537298887968063,5.318986000493169,space,5.282934000715613,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,054,001,2024-11-14_13h32.40.009,实验程序1.0,2024.2.4,60.0723628661295,2024-11-14 13h33.15.954241 +0800,
,,,,,,,,,,,,,,,,,,,,,,,5.332347098737955,5.332347098737955,space,3.204991800710559,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,054,001,2024-11-14_13h32.40.009,实验程序1.0,2024.2.4,60.0723628661295,2024-11-14 13h33.15.954241 +0800,
9,0,9,,,,9,0,9,0,,,,,30.18355580046773,,,,,,,,,,,,,,30.18355580046773,31.061292899772525,30.661618499085307,10.327978499233723,j,0.37107859924435616,None,32.53456739895046,32.54379520006478,32.54379520006478,34.16323399916291,space,1.6163666006177664,None,,,,,,,,,,,,,,,,,,054,001,2024-11-14_13h32.40.009,实验程序1.0,2024.2.4,60.0723628661295,2024-11-14 13h33.15.954241 +0800,
0,0,0,j,0.35727469995617867,None,,,,,0,0,0,0,34.22097599878907,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.20590999908745,34.22097599878907,35.5781768001616,35.19505329988897,35.5781768001616,37.638011898845434,j,0.35727469995617867,None,0,image2,2,image2,image1,['high'],0.3,0.7,054,001,2024-11-14_13h32.40.009,实验程序1.0,2024.2.4,60.0723628661295,2024-11-14 13h33.15.954241 +0800,
0,0,0,f,0.43487099930644035,None,,,,,0,0,0,0,37.68901810050011,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.680053198710084,37.68901810050011,39.729433599859476,39.27795369923115,39.729433599859476,41.60355109907687,f,0.43487099930644035,None,0,image1,1,image2,image1,"['high', 'low']",0.3,0.7,054,001,2024-11-14_13h32.40.009,实验程序1.0,2024.2.4,60.0723628661295,2024-11-14 13h33.15.954241 +0800,
1,0,1,f,0.7355990000069141,None,,,,,1,0,1,0,41.65416030026972,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.6440235003829,41.65416030026972,43.31134449876845,42.54497569985688,43.31134449876845,44.883654499426484,f,0.7355990000069141,None,10,image2,0,image2,image1,"['high', 'low', 'high']",0.3,0.7,054,001,2024-11-14_13h32.40.009,实验程序1.0,2024.2.4,60.0723628661295,2024-11-14 13h33.15.954241 +0800,
2,0,2,f,0.34126440063118935,None,,,,,2,0,2,0,44.93349600024521,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.92419859953225,44.93349600024521,46.97823879867792,46.611279498785734,46.97823879867792,49.78861800022423,f,0.34126440063118935,None,10,image2,-1,image2,image1,"['high', 'low', 'high', 'high']",0.3,0.7,054,001,2024-11-14_13h32.40.009,实验程序1.0,2024.2.4,60.0723628661295,2024-11-14 13h33.15.954241 +0800,
3,0,3,f,0.3525315001606941,None,,,,,3,0,3,0,49.89768229983747,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.88638189993799,49.89768229983747,51.34470809996128,50.96162270009518,51.34470809996128,53.587845999747515,f,0.3525315001606941,None,0,image2,-2,image2,image1,"['high', 'low', 'high', 'high', 'high']",0.3,0.7,054,001,2024-11-14_13h32.40.009,实验程序1.0,2024.2.4,60.0723628661295,2024-11-14 13h33.15.954241 +0800,
4,0,4,j,0.43148479983210564,None,,,,,4,0,4,0,53.63706550002098,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.62835859879851,53.63706550002098,55.044931499287486,54.59472769871354,55.044931499287486,56.959501599892974,j,0.43148479983210564,None,10,image2,4,image1,image2,[],0.7,0.3,054,001,2024-11-14_13h32.40.009,实验程序1.0,2024.2.4,60.0723628661295,2024-11-14 13h33.15.954241 +0800,
5,0,5,f,0.29999610036611557,None,,,,,5,0,5,0,57.01104320026934,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.00109999999404,57.01104320026934,58.361235899850726,58.04471129924059,58.361235899850726,60.507124399766326,f,0.29999610036611557,None,10,image2,3,image1,image2,['low'],0.7,0.3,054,001,2024-11-14_13h32.40.009,实验程序1.0,2024.2.4,60.0723628661295,2024-11-14 13h33.15.954241 +0800,
