thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,time.started,math_problem.started,key_resp.started,textbox0.started,textbox9.started,textbox8.started,textbox7.started,textbox6.started,textbox5.started,textbox4.started,textbox3.started,textbox2.started,textbox1.started,trial.stopped,trials.key_resp.keys,problem,answer,end.started,end.stopped,trials.key_resp.rt,trials.key_resp.duration,ending.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 48
,,,,,,,,,,,,0.0391105000162497,0.0623177000088617,31.750349100097083,space,31.673948000068776,,,,,,,,,,,,,,,,,,,,,,,,,17,1.0,2024-11-25_14h22.50.578,mist,2024.2.4,60.36070348390447,2024-11-25 14h22.56.023411 +0800,
0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,31.88978409999981,,,,,,,,39.00651170003694,39.08978409999981,39.08978409999981,39.08978409999981,39.08978409999981,39.08978409999981,39.08978409999981,39.08978409999981,39.08978409999981,39.08978409999981,39.08978409999981,39.08978409999981,39.08978409999981,39.08978409999981,46.076562500023286,,28 / 28 + 28 / 14 = ?,3.0,46.089727900037545,46.090584100037816,,,,17,1.0,2024-11-25_14h22.50.578,mist,2024.2.4,60.36070348390447,2024-11-25 14h22.56.023411 +0800,
1.0,0.0,1.0,left,5.7868188000284135,0.1027433000272139,1.0,0.0,1.0,0.0,39.011978000053205,,,,,,,,46.121903900103646,46.21197800005321,46.21197800005321,46.21197800005321,46.21197800005321,46.21197800005321,46.21197800005321,46.21197800005321,46.21197800005321,46.21197800005321,46.21197800005321,46.21197800005321,46.21197800005321,46.21197800005321,54.13711420008913,left,(6 + 27) - (26 - 2) = ?,9.0,54.1497546000639,54.150634500011805,5.7868188000284135,0.1027433000272139,,17,1.0,2024-11-25_14h22.50.578,mist,2024.2.4,60.36070348390447,2024-11-25 14h22.56.023411 +0800,
2.0,0.0,2.0,down,3.9645796000259,,2.0,0.0,2.0,0.0,47.066961700096726,,,,,,,,54.178812400018806,54.26696170009673,54.26696170009673,54.26696170009673,54.26696170009673,54.26696170009673,54.26696170009673,54.26696170009673,54.26696170009673,54.26696170009673,54.26696170009673,54.26696170009673,54.26696170009673,54.26696170009673,58.25663430003915,down,7 + 3 - 3 = ?,7.0,58.25692760006059,58.2571066000266,3.9645796000259,,,17,1.0,2024-11-25_14h22.50.578,mist,2024.2.4,60.36070348390447,2024-11-25 14h22.56.023411 +0800,
3.0,0.0,3.0,down,2.3652832999359816,,3.0,0.0,3.0,0.0,51.13767399999779,,,,,,,,58.265792900044474,58.33767399999779,58.33767399999779,58.33767399999779,58.33767399999779,58.33767399999779,58.33767399999779,58.33767399999779,58.33767399999779,58.33767399999779,58.33767399999779,58.33767399999779,58.33767399999779,58.33767399999779,60.72210240007844,down,9 + 1 - 9 = ?,1.0,60.72238880004734,60.72256579999812,2.3652832999359816,,,17,1.0,2024-11-25_14h22.50.578,mist,2024.2.4,60.36070348390447,2024-11-25 14h22.56.023411 +0800,
4.0,0.0,4.0,down,3.2279779999516904,,4.0,0.0,4.0,0.0,53.60751350002829,,,,,,,,60.732595399999994,60.80751350002829,60.80751350002829,60.80751350002829,60.80751350002829,60.80751350002829,60.80751350002829,60.80751350002829,60.80751350002829,60.80751350002829,60.80751350002829,60.80751350002829,60.80751350002829,60.80751350002829,64.05390920005739,down,(1 - 10) + (3 * 3) = ?,0.0,64.05420280008111,64.05437519999687,3.2279779999516904,,,17,1.0,2024-11-25_14h22.50.578,mist,2024.2.4,60.36070348390447,2024-11-25 14h22.56.023411 +0800,
5.0,0.0,5.0,down,4.713342200033367,,5.0,0.0,5.0,0.0,56.93536830006633,,,,,,,,64.0621196000604,64.13536830006633,64.13536830006633,64.13536830006633,64.13536830006633,64.13536830006633,64.13536830006633,64.13536830006633,64.13536830006633,64.13536830006633,64.13536830006633,64.13536830006633,64.13536830006633,64.13536830006633,70.88589570000768,down,3 * 27 - 19 * 4 = ?,5.0,70.89959570001811,70.90022880006582,4.713342200033367,,,17,1.0,2024-11-25_14h22.50.578,mist,2024.2.4,60.36070348390447,2024-11-25 14h22.56.023411 +0800,
6.0,0.0,6.0,right,3.847077800077386,,6.0,0.0,6.0,0.0,63.80358830001205,,,,,,,,70.93025290004444,71.00358830001205,71.00358830001205,71.00358830001205,71.00358830001205,71.00358830001205,71.00358830001205,71.00358830001205,71.00358830001205,71.00358830001205,71.00358830001205,71.00358830001205,71.00358830001205,71.00358830001205,76.95008940009866,right,22 / 2 + 9 / 3 - 5 = ?,9.0,76.96963080000133,76.97064630005043,3.847077800077386,,,17,1.0,2024-11-25_14h22.50.578,mist,2024.2.4,60.36070348390447,2024-11-25 14h22.56.023411 +0800,
7.0,0.0,7.0,right,2.583328500040807,,7.0,0.0,7.0,0.0,69.88711810007226,,,,,,,,77.0089001000626,77.08711810007226,77.08711810007226,77.08711810007226,77.08711810007226,77.08711810007226,77.08711810007226,77.08711810007226,77.08711810007226,77.08711810007226,77.08711810007226,77.08711810007226,77.08711810007226,77.08711810007226,82.03154870010913,right,10 / 2 - 27 * 2 / 27 = ?,3.0,82.04973190003075,82.05076750000008,2.583328500040807,,,17,1.0,2024-11-25_14h22.50.578,mist,2024.2.4,60.36070348390447,2024-11-25 14h22.56.023411 +0800,
8.0,0.0,8.0,,,,8.0,0.0,8.0,0.0,74.95644770003855,,,,,,,,82.07351790000685,82.15644770003856,82.15644770003856,82.15644770003856,82.15644770003856,82.15644770003856,82.15644770003856,82.15644770003856,82.15644770003856,82.15644770003856,82.15644770003856,82.15644770003856,82.15644770003856,82.15644770003856,87.07854570010677,,21 / 12 + 6 / 3 / 8 = ?,2.0,87.09948440005537,87.10042870002799,,,,17,1.0,2024-11-25_14h22.50.578,mist,2024.2.4,60.36070348390447,2024-11-25 14h22.56.023411 +0800,
