thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,time.started,math_problem.started,key_resp.started,textbox0.started,textbox9.started,textbox8.started,textbox7.started,textbox6.started,textbox5.started,textbox4.started,textbox3.started,textbox2.started,textbox1.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,problem,answer,end.started,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 47
,,,,,,,,,,,,0.0370793000038247,0.0561123999941628,17.37712940000347,space,17.311398799996823,,,,,,,,,,,,,,,,,,,,,,,,15,1.0,2024-11-18_16h00.23.556,mist,2024.2.4,60.12502396790514,2024-11-18 16h00.28.946725 +0800,
0.0,0.0,0.0,right,4.630558000004385,0.1701819000008981,0.0,0.0,0.0,0.0,17.510130599985132,,,,,,,,28.928008899994893,29.010130599985132,29.010130599985132,29.010130599985132,29.010130599985132,29.010130599985132,29.010130599985132,29.010130599985132,29.010130599985132,29.010130599985132,29.010130599985132,29.010130599985132,29.010130599985132,29.010130599985132,35.96805820000009,right,4.630558000004385,0.1701819000008981,9 * 22 - 24 * 8 = ?,6.0,35.98617839999497,35.98672590000206,15,1.0,2024-11-18_16h00.23.556,mist,2024.2.4,60.12502396790514,2024-11-18 16h00.28.946725 +0800,
1.0,0.0,1.0,left,5.693206099997042,0.1198308999883011,1.0,0.0,1.0,0.0,24.59880659999908,,,,,,,,36.00868209998589,36.09880659999908,36.09880659999908,36.09880659999908,36.09880659999908,36.09880659999908,36.09880659999908,36.09880659999908,36.09880659999908,36.09880659999908,36.09880659999908,36.09880659999908,36.09880659999908,36.09880659999908,44.02447740000207,left,5.693206099997042,0.1198308999883011,(5 - 6) + (15 - 5) = ?,9.0,44.035736999998335,44.03637230000459,15,1.0,2024-11-18_16h00.23.556,mist,2024.2.4,60.12502396790514,2024-11-18 16h00.28.946725 +0800,
2.0,0.0,2.0,down,3.1357111999823246,,2.0,0.0,2.0,0.0,32.635229800012894,,,,,,,,44.05367930000648,44.135229800012894,44.135229800012894,44.135229800012894,44.135229800012894,44.135229800012894,44.135229800012894,44.135229800012894,44.135229800012894,44.135229800012894,44.135229800012894,44.135229800012894,44.135229800012894,44.135229800012894,47.288563100009924,down,3.1357111999823246,,12 - 2 - 2 = ?,8.0,47.28889580001123,47.28912539998419,15,1.0,2024-11-18_16h00.23.556,mist,2024.2.4,60.12502396790514,2024-11-18 16h00.28.946725 +0800,
3.0,0.0,3.0,down,2.7765259000007063,,3.0,0.0,3.0,0.0,35.87032879999606,,,,,,,,47.297392899985425,47.37032879999606,47.37032879999606,47.37032879999606,47.37032879999606,47.37032879999606,47.37032879999606,47.37032879999606,47.37032879999606,47.37032879999606,47.37032879999606,47.37032879999606,47.37032879999606,47.37032879999606,50.16898690001108,down,2.7765259000007063,,16 - 7 - 7 = ?,2.0,50.16928370000096,50.16949939998449,15,1.0,2024-11-18_16h00.23.556,mist,2024.2.4,60.12502396790514,2024-11-18 16h00.28.946725 +0800,
4.0,0.0,4.0,down,5.243354700010968,,4.0,0.0,4.0,0.0,38.750585900008446,,,,,,,,50.17885890000616,50.250585900008446,50.250585900008446,50.250585900008446,50.250585900008446,50.250585900008446,50.250585900008446,50.250585900008446,50.250585900008446,50.250585900008446,50.250585900008446,50.250585900008446,50.250585900008446,50.250585900008446,57.53529470000649,down,5.243354700010968,,(3 + 22) - (30 - 7) = ?,2.0,57.55628089999664,57.55732960000751,15,1.0,2024-11-18_16h00.23.556,mist,2024.2.4,60.12502396790514,2024-11-18 16h00.28.946725 +0800,
5.0,0.0,5.0,down,3.317476500000339,,5.0,0.0,5.0,0.0,46.16406099998858,,,,,,,,57.58007789999829,57.66406099998858,57.66406099998858,57.66406099998858,57.66406099998858,57.66406099998858,57.66406099998858,57.66406099998858,57.66406099998858,57.66406099998858,57.66406099998858,57.66406099998858,57.66406099998858,57.66406099998858,63.017014499986544,down,3.317476500000339,,(10 - 7) + (2 - 5) = ?,0.0,63.03574110000045,63.03657840000233,15,1.0,2024-11-18_16h00.23.556,mist,2024.2.4,60.12502396790514,2024-11-18 16h00.28.946725 +0800,
6.0,0.0,6.0,left,5.6603450999828056,0.1017432000080589,6.0,0.0,6.0,0.0,51.6413990999863,,,,,,,,63.05817770000431,63.1413990999863,63.1413990999863,63.1413990999863,63.1413990999863,63.1413990999863,63.1413990999863,63.1413990999863,63.1413990999863,63.1413990999863,63.1413990999863,63.1413990999863,63.1413990999863,63.1413990999863,71.07738289999543,left,5.6603450999828056,0.1017432000080589,(5 - 19) + (27 - 6) = ?,7.0,71.09605359999114,71.09695440001087,15,1.0,2024-11-18_16h00.23.556,mist,2024.2.4,60.12502396790514,2024-11-18 16h00.28.946725 +0800,
7.0,0.0,7.0,down,3.4398840999929234,,7.0,0.0,7.0,0.0,59.70728080000845,,,,,,,,71.12122500000987,71.20728080000845,71.20728080000845,71.20728080000845,71.20728080000845,71.20728080000845,71.20728080000845,71.20728080000845,71.20728080000845,71.20728080000845,71.20728080000845,71.20728080000845,71.20728080000845,71.20728080000845,74.65842490000068,down,3.4398840999929234,,(2 + 8) - (15 - 6) = ?,1.0,74.65872690000106,74.65890430001309,15,1.0,2024-11-18_16h00.23.556,mist,2024.2.4,60.12502396790514,2024-11-18 16h00.28.946725 +0800,
8.0,0.0,8.0,down,3.948452400014503,,8.0,0.0,8.0,0.0,63.238897800009,,,,,,,,74.66594279999845,74.738897800009,74.738897800009,74.738897800009,74.738897800009,74.738897800009,74.738897800009,74.738897800009,74.738897800009,74.738897800009,74.738897800009,74.738897800009,74.738897800009,74.738897800009,78.70573509999667,down,3.948452400014503,,(8 + 5) - (11 * 1) = ?,2.0,78.7061005999858,78.70627779999631,15,1.0,2024-11-18_16h00.23.556,mist,2024.2.4,60.12502396790514,2024-11-18 16h00.28.946725 +0800,
