thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,time.started,math_problem.started,key_resp.started,textbox0.started,textbox9.started,textbox8.started,textbox7.started,textbox6.started,textbox5.started,textbox4.started,textbox3.started,textbox2.started,textbox1.started,trial.stopped,trials.key_resp.keys,problem,answer,end.started,end.stopped,trials.key_resp.rt,trials.key_resp.duration,ending.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 48
,,,,,,,,,,,,0.0354625000618398,0.0547205000184476,15.95097300002817,space,15.884412300074471,,,,,,,,,,,,,,,,,,,,,,,,,9,1.0,2024-11-24_17h57.05.851,mist,2024.2.4,60.06027651898936,2024-11-24 17h57.10.165969 +0800,
0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,16.083690200001,,,,,,,,18.199998000101186,18.283690200001,18.283690200001,18.283690200001,18.283690200001,18.283690200001,18.283690200001,18.283690200001,18.283690200001,18.283690200001,18.283690200001,18.283690200001,18.283690200001,18.283690200001,25.26313370005228,,7 * 14 - 24 * 4 = ?,2.0,25.275973400031216,25.27681520003825,,,,9,1.0,2024-11-24_17h57.05.851,mist,2024.2.4,60.06027651898936,2024-11-24 17h57.10.165969 +0800,
1.0,0.0,1.0,down,5.771012800047174,,1.0,0.0,1.0,0.0,23.197368300054222,,,,,,,,25.308073400100692,25.39736830005422,25.39736830005422,25.39736830005422,25.39736830005422,25.39736830005422,25.39736830005422,25.39736830005422,25.39736830005422,25.39736830005422,25.39736830005422,25.39736830005422,25.39736830005422,25.39736830005422,31.18092330002692,down,(10 - 18) + (5 + 4) = ?,1.0,31.18121660004836,31.18153700004332,5.771012800047174,,,9,1.0,2024-11-24_17h57.05.851,mist,2024.2.4,60.06027651898936,2024-11-24 17h57.10.165969 +0800,
2.0,0.0,2.0,,,,2.0,0.0,2.0,0.0,29.064376900088973,,,,,,,,31.191192000103182,31.264376900088973,31.264376900088973,31.264376900088973,31.264376900088973,31.264376900088973,31.264376900088973,31.264376900088973,31.264376900088973,31.264376900088973,31.264376900088973,31.264376900088973,31.264376900088973,31.264376900088973,38.213139300048354,,30 / 12 - 12 / 24 = ?,2.0,38.225858900044116,38.22692140010186,,,,9,1.0,2024-11-24_17h57.05.851,mist,2024.2.4,60.06027651898936,2024-11-24 17h57.10.165969 +0800,
3.0,0.0,3.0,down,3.9640912999166176,,3.0,0.0,3.0,0.0,36.13368240010459,,,,,,,,38.250760700018155,38.33368240010459,38.33368240010459,38.33368240010459,38.33368240010459,38.33368240010459,38.33368240010459,38.33368240010459,38.33368240010459,38.33368240010459,38.33368240010459,38.33368240010459,38.33368240010459,38.33368240010459,42.30865120007657,down,4 * 2 + 11 / 11 = ?,9.0,42.308969900058585,42.309163000015545,3.9640912999166176,,,9,1.0,2024-11-24_17h57.05.851,mist,2024.2.4,60.06027651898936,2024-11-24 17h57.10.165969 +0800,
4.0,0.0,4.0,,,,4.0,0.0,4.0,0.0,40.19345450005494,,,,,,,,42.319600100093524,42.39345450005494,42.39345450005494,42.39345450005494,42.39345450005494,42.39345450005494,42.39345450005494,42.39345450005494,42.39345450005494,42.39345450005494,42.39345450005494,42.39345450005494,42.39345450005494,42.39345450005494,48.341510100103925,,30 / 30 - 4 / 2 + 6 = ?,5.0,48.35553590003401,48.35648860007059,,,,9,1.0,2024-11-24_17h57.05.851,mist,2024.2.4,60.06027651898936,2024-11-24 17h57.10.165969 +0800,
5.0,0.0,5.0,,,,5.0,0.0,5.0,0.0,46.267780900001526,,,,,,,,48.38274060008116,48.46778090000153,48.46778090000153,48.46778090000153,48.46778090000153,48.46778090000153,48.46778090000153,48.46778090000153,48.46778090000153,48.46778090000153,48.46778090000153,48.46778090000153,48.46778090000153,48.46778090000153,54.404414600040774,,8 / 8 - 14 / 7 + 8 = ?,7.0,54.425540400017056,54.426458600023764,,,,9,1.0,2024-11-24_17h57.05.851,mist,2024.2.4,60.06027651898936,2024-11-24 17h57.10.165969 +0800,
6.0,0.0,6.0,,,,6.0,0.0,6.0,0.0,52.34766180010047,,,,,,,,54.45369630008936,54.54766180010047,54.54766180010047,54.54766180010047,54.54766180010047,54.54766180010047,54.54766180010047,54.54766180010047,54.54766180010047,54.54766180010047,54.54766180010047,54.54766180010047,54.54766180010047,54.54766180010047,60.46956899999641,,18 / 2 - 24 / 6 - 3 = ?,2.0,60.486137300077836,60.48696080006194,,,,9,1.0,2024-11-24_17h57.05.851,mist,2024.2.4,60.06027651898936,2024-11-24 17h57.10.165969 +0800,
7.0,0.0,7.0,,,,7.0,0.0,7.0,0.0,58.396543800015934,,,,,,,,60.51618640001398,60.59654380001594,60.59654380001594,60.59654380001594,60.59654380001594,60.59654380001594,60.59654380001594,60.59654380001594,60.59654380001594,60.59654380001594,60.59654380001594,60.59654380001594,60.59654380001594,60.59654380001594,67.51856150005479,,11 / 5 - 2 / 10 = ?,2.0,67.53555380010512,67.53635790005792,,,,9,1.0,2024-11-24_17h57.05.851,mist,2024.2.4,60.06027651898936,2024-11-24 17h57.10.165969 +0800,
8.0,0.0,8.0,down,4.019176900037564,,8.0,0.0,8.0,0.0,65.44111720006913,,,,,,,,67.55640370007605,67.64111720006913,67.64111720006913,67.64111720006913,67.64111720006913,67.64111720006913,67.64111720006913,67.64111720006913,67.64111720006913,67.64111720006913,67.64111720006913,67.64111720006913,67.64111720006913,67.64111720006913,71.67814240003936,down,(4 + 9) - (2 * 5) = ?,3.0,71.67846420004498,71.67863670007792,4.019176900037564,,,9,1.0,2024-11-24_17h57.05.851,mist,2024.2.4,60.06027651898936,2024-11-24 17h57.10.165969 +0800,
9.0,0.0,9.0,down,6.075461300089955,,9.0,0.0,9.0,0.0,69.56320770003367,,,,,,,,71.68567340010777,71.76320770003367,71.76320770003367,71.76320770003367,71.76320770003367,71.76320770003367,71.76320770003367,71.76320770003367,71.76320770003367,71.76320770003367,71.76320770003367,71.76320770003367,71.76320770003367,71.76320770003367,79.87628830007743,down,2 - 6 + 10 = ?,6.0,79.8956155000953,79.89644830003381,6.075461300089955,,,9,1.0,2024-11-24_17h57.05.851,mist,2024.2.4,60.06027651898936,2024-11-24 17h57.10.165969 +0800,
10.0,0.0,10.0,down,7.3339900999562815,,10.0,0.0,10.0,0.0,77.80335709999781,,,,,,,,79.91834080002737,80.00335709999781,80.00335709999781,80.00335709999781,80.00335709999781,80.00335709999781,80.00335709999781,80.00335709999781,80.00335709999781,80.00335709999781,80.00335709999781,80.00335709999781,80.00335709999781,80.00335709999781,87.3545942000812,down,24 - 18 = ?,6.0,87.3549026001012,87.35509060001932,7.3339900999562815,,,9,1.0,2024-11-24_17h57.05.851,mist,2024.2.4,60.06027651898936,2024-11-24 17h57.10.165969 +0800,
11.0,0.0,11.0,down,2.7961805999511853,,11.0,0.0,11.0,0.0,85.23342720000073,,,,,,,,87.36166420001537,87.43342720000074,87.43342720000074,87.43342720000074,87.43342720000074,87.43342720000074,87.43342720000074,87.43342720000074,87.43342720000074,87.43342720000074,87.43342720000074,87.43342720000074,87.43342720000074,87.43342720000074,90.25249860009644,down,19 - 15 = ?,4.0,90.25284310004209,90.25302320001647,2.7961805999511853,,,9,1.0,2024-11-24_17h57.05.851,mist,2024.2.4,60.06027651898936,2024-11-24 17h57.10.165969 +0800,
12.0,0.0,12.0,down,4.114512000000104,,12.0,0.0,12.0,0.0,88.13351070007775,,,,,,,,90.25972930009011,90.33351070007775,90.33351070007775,90.33351070007775,90.33351070007775,90.33351070007775,90.33351070007775,90.33351070007775,90.33351070007775,90.33351070007775,90.33351070007775,90.33351070007775,90.33351070007775,90.33351070007775,94.46726010011044,down,11 - 7 + 2 = ?,6.0,94.46755680004136,94.46773240009789,4.114512000000104,,,9,1.0,2024-11-24_17h57.05.851,mist,2024.2.4,60.06027651898936,2024-11-24 17h57.10.165969 +0800,
13.0,0.0,13.0,down,5.870408899965696,,13.0,0.0,13.0,0.0,92.34669180004856,,,,,,,,94.47466790005565,94.54669180004856,94.54669180004856,94.54669180004856,94.54669180004856,94.54669180004856,94.54669180004856,94.54669180004856,94.54669180004856,94.54669180004856,94.54669180004856,94.54669180004856,94.54669180004856,94.54669180004856,102.44837330006995,down,(10 + 6) - (21 - 9) = ?,4.0,102.46605950004889,102.46672130008228,5.870408899965696,,,9,1.0,2024-11-24_17h57.05.851,mist,2024.2.4,60.06027651898936,2024-11-24 17h57.10.165969 +0800,
14.0,0.0,14.0,,,,14.0,0.0,14.0,0.0,100.36713770008646,,,,,,,,102.48918760002124,102.56713770008646,102.56713770008646,102.56713770008646,102.56713770008646,102.56713770008646,102.56713770008646,102.56713770008646,102.56713770008646,102.56713770008646,102.56713770008646,102.56713770008646,102.56713770008646,102.56713770008646,109.49603420000058,,16 / 13 + 20 / 26 = ?,2.0,109.51587570009288,109.51667680002284,,,,9,1.0,2024-11-24_17h57.05.851,mist,2024.2.4,60.06027651898936,2024-11-24 17h57.10.165969 +0800,
15.0,0.0,15.0,right,3.87019289995078,,15.0,0.0,15.0,0.0,107.41861730010714,,,,,,,,109.54234140010084,109.61861730010715,109.61861730010715,109.61861730010715,109.61861730010715,109.61861730010715,109.61861730010715,109.61861730010715,109.61861730010715,109.61861730010715,109.61861730010715,109.61861730010715,109.61861730010715,109.61861730010715,115.56058580002282,right,30 / 3 - 28 / 28 - 6 = ?,3.0,115.57620480009356,115.57666100007482,3.87019289995078,,,9,1.0,2024-11-24_17h57.05.851,mist,2024.2.4,60.06027651898936,2024-11-24 17h57.10.165969 +0800,
16.0,0.0,16.0,down,3.433411900070496,,16.0,0.0,16.0,0.0,113.469552100054,,,,,,,,115.5891319000395,115.669552100054,115.669552100054,115.669552100054,115.669552100054,115.669552100054,115.669552100054,115.669552100054,115.669552100054,115.669552100054,115.669552100054,115.669552100054,115.669552100054,115.669552100054,119.11486280004029,down,25 / 25 + 14 / 7 + 6 = ?,9.0,119.11521510004532,119.11539160010871,3.433411900070496,,,9,1.0,2024-11-24_17h57.05.851,mist,2024.2.4,60.06027651898936,2024-11-24 17h57.10.165969 +0800,
17.0,0.0,17.0,down,3.682720499928109,,17.0,0.0,17.0,0.0,116.99732690001838,,,,,,,,119.12460110003595,119.19732690001838,119.19732690001838,119.19732690001838,119.19732690001838,119.19732690001838,119.19732690001838,119.19732690001838,119.19732690001838,119.19732690001838,119.19732690001838,119.19732690001838,119.19732690001838,119.19732690001838,122.90392820006237,down,26 / 26 - 24 / 12 + 4 = ?,3.0,122.90421860006172,122.90440270006657,3.682720499928109,,,9,1.0,2024-11-24_17h57.05.851,mist,2024.2.4,60.06027651898936,2024-11-24 17h57.10.165969 +0800,
18.0,0.0,18.0,,,,18.0,0.0,18.0,0.0,120.78444370010402,,,,,,,,122.91179460000713,122.98444370010402,122.98444370010402,122.98444370010402,122.98444370010402,122.98444370010402,122.98444370010402,122.98444370010402,122.98444370010402,122.98444370010402,122.98444370010402,122.98444370010402,122.98444370010402,122.98444370010402,128.9371343000559,,5 / 3 - 23 / 3 + 11 = ?,5.0,128.9561577000888,128.95715469999703,,,,9,1.0,2024-11-24_17h57.05.851,mist,2024.2.4,60.06027651898936,2024-11-24 17h57.10.165969 +0800,
19.0,0.0,19.0,,,,19.0,0.0,19.0,0.0,126.87592380004936,,,,,,,,128.991477000108,129.07592380004937,129.07592380004937,129.07592380004937,129.07592380004937,129.07592380004937,129.07592380004937,129.07592380004937,129.07592380004937,129.07592380004937,129.07592380004937,129.07592380004937,129.07592380004937,129.07592380004937,135.0017592000542,,12 / 20 - 26 / 10 + 6 = ?,4.0,135.01643370003438,135.0174556000158,,,,9,1.0,2024-11-24_17h57.05.851,mist,2024.2.4,60.06027651898936,2024-11-24 17h57.10.165969 +0800,
20.0,0.0,20.0,,,,20.0,0.0,20.0,0.0,132.93267340003513,,,,,,,,135.04712900000158,135.13267340003512,135.13267340003512,135.13267340003512,135.13267340003512,135.13267340003512,135.13267340003512,135.13267340003512,135.13267340003512,135.13267340003512,135.13267340003512,135.13267340003512,135.13267340003512,135.13267340003512,141.0487264000578,,15 / 3 + 15 / 3 - 9 = ?,1.0,141.06628130008468,141.067287900066,,,,9,1.0,2024-11-24_17h57.05.851,mist,2024.2.4,60.06027651898936,2024-11-24 17h57.10.165969 +0800,
21.0,0.0,21.0,,,,21.0,0.0,21.0,0.0,138.9904960000422,,,,,,,,141.1032511000987,141.1904960000422,141.1904960000422,141.1904960000422,141.1904960000422,141.1904960000422,141.1904960000422,141.1904960000422,141.1904960000422,141.1904960000422,141.1904960000422,141.1904960000422,141.1904960000422,141.1904960000422,147.11101790009997,,6 / 8 - 15 / 4 + 10 = ?,7.0,147.12618090007453,147.12713190009814,,,,9,1.0,2024-11-24_17h57.05.851,mist,2024.2.4,60.06027651898936,2024-11-24 17h57.10.165969 +0800,
22.0,0.0,22.0,,,,22.0,0.0,22.0,0.0,145.03196970000863,,,,,,,,147.1464910000097,147.23196970000862,147.23196970000862,147.23196970000862,147.23196970000862,147.23196970000862,147.23196970000862,147.23196970000862,147.23196970000862,147.23196970000862,147.23196970000862,147.23196970000862,147.23196970000862,147.23196970000862,154.15831200003157,,15 / 10 + 4 / 8 = ?,2.0,154.17637600009328,154.17731890005524,,,,9,1.0,2024-11-24_17h57.05.851,mist,2024.2.4,60.06027651898936,2024-11-24 17h57.10.165969 +0800,
