thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,time.started,math_problem.started,key_resp.started,textbox0.started,textbox9.started,textbox8.started,textbox7.started,textbox6.started,textbox5.started,textbox4.started,textbox3.started,textbox2.started,textbox1.started,trial.stopped,trials.key_resp.keys,problem,answer,end.started,end.stopped,trials.key_resp.rt,trials.key_resp.duration,ending.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 48
,,,,,,,,,,,,0.0355256982147693,0.0576363988220691,5.517261799424887,space,5.440519599243999,,,,,,,,,,,,,,,,,,,,,,,,,90,1.0,2025-03-22_15h27.11.727,mist,2024.2.4,60.13912572262996,2025-03-22 15h28.01.378375 +0800,
0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,5.6504970993846655,,,,,,,,16.168478198722006,16.250497099384667,16.250497099384667,16.250497099384667,16.250497099384667,16.250497099384667,16.250497099384667,16.250497099384667,16.250497099384667,16.250497099384667,16.250497099384667,16.250497099384667,16.250497099384667,16.250497099384667,23.19521109983325,,8 / 24 + 15 / 9 = ?,2.0,23.215613298490645,23.21641199886799,,,,90,1.0,2025-03-22_15h27.11.727,mist,2024.2.4,60.13912572262996,2025-03-22 15h28.01.378375 +0800,
1.0,0.0,1.0,down,5.300770400092006,,1.0,0.0,1.0,0.0,12.72803589887917,,,,,,,,23.248199498653413,23.328035898879172,23.328035898879172,23.328035898879172,23.328035898879172,23.328035898879172,23.328035898879172,23.328035898879172,23.328035898879172,23.328035898879172,23.328035898879172,23.328035898879172,23.328035898879172,23.328035898879172,28.647327099367978,down,(2 - 6) + (15 - 10) = ?,1.0,28.647624899074437,28.647845399007203,5.300770400092006,,,90,1.0,2025-03-22_15h27.11.727,mist,2024.2.4,60.13912572262996,2025-03-22 15h28.01.378375 +0800,
2.0,0.0,2.0,right,4.603343000635505,0.1755378991365432,2.0,0.0,2.0,0.0,18.133864298462868,,,,,,,,28.658429699391128,28.73386429846287,28.73386429846287,28.73386429846287,28.73386429846287,28.73386429846287,28.73386429846287,28.73386429846287,28.73386429846287,28.73386429846287,28.73386429846287,28.73386429846287,28.73386429846287,28.73386429846287,35.678353699296714,right,30 / 15 - 18 / 18 = ?,1.0,35.69546149894595,35.6959363989532,4.603343000635505,0.1755378991365432,,90,1.0,2025-03-22_15h27.11.727,mist,2024.2.4,60.13912572262996,2025-03-22 15h28.01.378375 +0800,
3.0,0.0,3.0,,,,3.0,0.0,3.0,0.0,25.174179499968886,,,,,,,,35.70778579860926,35.77417949996889,35.77417949996889,35.77417949996889,37.89261059872806,37.89261059872806,37.89261059872806,37.89261059872806,37.89261059872806,37.89261059872806,37.89261059872806,37.89261059872806,37.89261059872806,37.89261059872806,37.778322998806836,,30 / 18 - 10 / 15 = ?,1.0,37.79528579898179,37.795937998592855,,,,90,1.0,2025-03-22_15h27.11.727,mist,2024.2.4,60.13912572262996,2025-03-22 15h28.01.378375 +0800,
4.0,0.0,4.0,,,,4.0,0.0,4.0,0.0,27.29261059872806,,,,,,,,37.80962899923325,37.89261059872806,37.89261059872806,37.89261059872806,37.89261059872806,37.89261059872806,37.89261059872806,37.89261059872806,37.89261059872806,37.89261059872806,37.89261059872806,37.89261059872806,37.89261059872806,37.89261059872806,44.824429298192264,,16 / 24 + 16 / 3 = ?,6.0,44.84507539905608,44.84559099972248,,,,90,1.0,2025-03-22_15h27.11.727,mist,2024.2.4,60.13912572262996,2025-03-22 15h28.01.378375 +0800,
5.0,0.0,5.0,left,5.908878400921822,,5.0,0.0,5.0,0.0,34.329210698604584,,,,,,,,44.856898999214174,44.929210698604585,44.929210698604585,44.929210698604585,44.929210698604585,44.929210698604585,44.929210698604585,44.929210698604585,44.929210698604585,44.929210698604585,44.929210698604585,44.929210698604585,44.929210698604585,44.929210698604585,52.87294969931245,left,(5 + 13) - (15 - 2) = ?,5.0,52.88578029945493,52.886722799763085,5.908878400921822,,,90,1.0,2025-03-22_15h27.11.727,mist,2024.2.4,60.13912572262996,2025-03-22 15h28.01.378375 +0800,
6.0,0.0,6.0,down,3.4792094994336367,,6.0,0.0,6.0,0.0,42.392503099516034,,,,,,,,52.906416999548675,52.992503099516036,52.992503099516036,52.992503099516036,52.992503099516036,52.992503099516036,52.992503099516036,52.992503099516036,52.992503099516036,52.992503099516036,52.992503099516036,52.992503099516036,52.992503099516036,52.992503099516036,56.484606698527934,down,2 + 3 + 2 = ?,7.0,56.48496429845691,56.48514639995992,3.4792094994336367,,,90,1.0,2025-03-22_15h27.11.727,mist,2024.2.4,60.13912572262996,2025-03-22 15h28.01.378375 +0800,
7.0,0.0,7.0,down,2.993119399994612,,7.0,0.0,7.0,0.0,45.96503699943423,,,,,,,,56.491582898795606,56.565036999434234,56.565036999434234,56.565036999434234,56.565036999434234,56.565036999434234,56.565036999434234,56.565036999434234,56.565036999434234,56.565036999434234,56.565036999434234,56.565036999434234,56.565036999434234,56.565036999434234,59.5666552990675,down,24 - 23 = ?,1.0,59.566948399320246,59.56714519895613,2.993119399994612,,,90,1.0,2025-03-22_15h27.11.727,mist,2024.2.4,60.13912572262996,2025-03-22 15h28.01.378375 +0800,
8.0,0.0,8.0,down,3.120941599830985,,8.0,0.0,8.0,0.0,49.047606298699975,,,,,,,,59.57379309870303,59.647606298699976,59.647606298699976,59.647606298699976,59.647606298699976,59.647606298699976,59.647606298699976,59.647606298699976,59.647606298699976,59.647606298699976,59.647606298699976,59.647606298699976,59.647606298699976,59.647606298699976,62.78169699981809,down,30 - 25 = ?,5.0,62.78199359998107,62.78217579834163,3.120941599830985,,,90,1.0,2025-03-22_15h27.11.727,mist,2024.2.4,60.13912572262996,2025-03-22 15h28.01.378375 +0800,
