thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,time.started,math_problem.started,key_resp.started,textbox0.started,textbox9.started,textbox8.started,textbox7.started,textbox6.started,textbox5.started,textbox4.started,textbox3.started,textbox2.started,textbox1.started,trial.stopped,trials.key_resp.keys,problem,answer,end.started,end.stopped,trials.key_resp.rt,trials.key_resp.duration,ending.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 48
,,,,,,,,,,,,0.0338016003370285,0.0534859001636505,4.939293099567294,space,4.881095500662923,,,,,,,,,,,,,,,,,,,,,,,,,107,1.0,2025-03-06_16h20.38.853,mist,2024.2.4,60.196940661381696,2025-03-06 16h20.43.809337 +0800,
0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,5.070998700335622,,,,,,,,11.18862520046532,11.270998700335621,11.270998700335621,11.270998700335621,11.270998700335621,11.270998700335621,11.270998700335621,11.270998700335621,11.270998700335621,11.270998700335621,11.270998700335621,11.270998700335621,11.270998700335621,11.270998700335621,18.220414799451827,,4 * 16 - 14 * 4 = ?,8.0,18.236032799631356,18.236746399477124,,,,107,1.0,2025-03-06_16h20.38.853,mist,2024.2.4,60.196940661381696,2025-03-06 16h20.43.809337 +0800,
1.0,0.0,1.0,,,,1.0,0.0,1.0,0.0,12.14319819957018,,,,,,,,18.266794499754905,18.343198199570182,18.343198199570182,18.343198199570182,18.343198199570182,18.343198199570182,18.343198199570182,18.343198199570182,18.343198199570182,18.343198199570182,18.343198199570182,18.343198199570182,18.343198199570182,18.343198199570182,26.28523580059409,,(2 - 30) + (27 + 7) = ?,6.0,26.305875300243496,26.306923900544643,,,,107,1.0,2025-03-06_16h20.38.853,mist,2024.2.4,60.196940661381696,2025-03-06 16h20.43.809337 +0800,
2.0,0.0,2.0,down,5.528594000265002,,2.0,0.0,2.0,0.0,20.22282980009913,,,,,,,,26.3358512993902,26.42282980009913,26.42282980009913,26.42282980009913,26.42282980009913,26.42282980009913,26.42282980009913,26.42282980009913,26.42282980009913,26.42282980009913,26.42282980009913,26.42282980009913,26.42282980009913,26.42282980009913,31.96500840112567,down,16 - 3 - 7 = ?,6.0,31.965360100194808,31.96554740034044,5.528594000265002,,,107,1.0,2025-03-06_16h20.38.853,mist,2024.2.4,60.196940661381696,2025-03-06 16h20.43.809337 +0800,
3.0,0.0,3.0,down,4.629362501204014,,3.0,0.0,3.0,0.0,25.84773820079863,,,,,,,,31.97443030104041,32.047738200798634,32.047738200798634,32.047738200798634,32.047738200798634,32.047738200798634,32.047738200798634,32.047738200798634,32.047738200798634,32.047738200798634,32.047738200798634,32.047738200798634,32.047738200798634,32.047738200798634,36.69504929967225,down,23 - 9 - 8 = ?,6.0,36.695356300845745,36.69554700031877,4.629362501204014,,,107,1.0,2025-03-06_16h20.38.853,mist,2024.2.4,60.196940661381696,2025-03-06 16h20.43.809337 +0800,
4.0,0.0,4.0,down,3.7732824999839063,,4.0,0.0,4.0,0.0,30.578168099746108,,,,,,,,36.70364919938147,36.77816809974611,36.77816809974611,36.77816809974611,36.77816809974611,36.77816809974611,36.77816809974611,36.77816809974611,36.77816809974611,36.77816809974611,36.77816809974611,36.77816809974611,36.77816809974611,36.77816809974611,42.58064209930599,down,(5 * 29) - (16 * 9) = ?,1.0,42.59595160074532,42.59696560055018,3.7732824999839063,,,107,1.0,2025-03-06_16h20.38.853,mist,2024.2.4,60.196940661381696,2025-03-06 16h20.43.809337 +0800,
5.0,0.0,5.0,down,5.739605199545622,,5.0,0.0,5.0,0.0,36.5128783993423,,,,,,,,42.625848400220285,42.7128783993423,42.7128783993423,42.7128783993423,42.7128783993423,42.7128783993423,42.7128783993423,42.7128783993423,42.7128783993423,42.7128783993423,42.7128783993423,42.7128783993423,42.7128783993423,42.7128783993423,48.47294079959393,down,(10 - 21) + (7 + 7) = ?,3.0,48.47322299964726,48.473395199328664,5.739605199545622,,,107,1.0,2025-03-06_16h20.38.853,mist,2024.2.4,60.196940661381696,2025-03-06 16h20.43.809337 +0800,
6.0,0.0,6.0,,,,6.0,0.0,6.0,0.0,42.35554940067232,,,,,,,,48.482072700560096,48.55554940067232,48.55554940067232,48.55554940067232,48.55554940067232,48.55554940067232,48.55554940067232,48.55554940067232,48.55554940067232,48.55554940067232,48.55554940067232,48.55554940067232,48.55554940067232,48.55554940067232,55.4963041998446,,3 / 14 - 6 / 28 = ?,0.0,55.515441900864246,55.516039100289355,,,,107,1.0,2025-03-06_16h20.38.853,mist,2024.2.4,60.196940661381696,2025-03-06 16h20.43.809337 +0800,
7.0,0.0,7.0,,,,7.0,0.0,7.0,0.0,49.40152529999614,,,,,,,,55.5296969011426,55.60152529999614,55.60152529999614,55.60152529999614,57.725468600913885,57.725468600913885,57.725468600913885,57.725468600913885,57.725468600913885,57.725468600913885,57.725468600913885,57.725468600913885,57.725468600913885,57.725468600913885,57.60440979972482,,22 / 4 + 27 / 18 - 6 = ?,1.0,57.616056200861934,57.61685900092125,,,,107,1.0,2025-03-06_16h20.38.853,mist,2024.2.4,60.196940661381696,2025-03-06 16h20.43.809337 +0800,
8.0,0.0,8.0,down,3.194862700998783,,8.0,0.0,8.0,0.0,51.52546860091388,,,,,,,,57.646623601019385,57.725468600913885,57.725468600913885,57.725468600913885,57.725468600913885,57.725468600913885,57.725468600913885,57.725468600913885,57.725468600913885,57.725468600913885,57.725468600913885,57.725468600913885,57.725468600913885,57.725468600913885,62.95175590068102,down,19 / 2 + 27 / 18 - 5 = ?,6.0,62.96570880040527,62.966483400017026,3.194862700998783,,,107,1.0,2025-03-06_16h20.38.853,mist,2024.2.4,60.196940661381696,2025-03-06 16h20.43.809337 +0800,
