thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,time.started,math_problem.started,key_resp.started,textbox0.started,textbox9.started,textbox8.started,textbox7.started,textbox6.started,textbox5.started,textbox4.started,textbox3.started,textbox2.started,textbox1.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,problem,answer,end.started,end.stopped,ending.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 48
,,,,,,,,,,,,0.0378122997935861,0.062067599967122,11.521671599941328,space,11.453956400044262,,,,,,,,,,,,,,,,,,,,,,,,,71,1.0,2024-12-02_15h23.45.149,mist,2024.2.4,60.21966937018586,2024-12-02 15h27.27.862998 +0800,
0.0,0.0,0.0,right,4.708136599976569,0.167523399926722,0.0,0.0,0.0,0.0,11.65912859980017,,,,,,,,19.6768949999474,19.75912859980017,19.75912859980017,19.75912859980017,19.75912859980017,19.75912859980017,19.75912859980017,19.75912859980017,19.75912859980017,19.75912859980017,19.75912859980017,19.75912859980017,19.75912859980017,19.75912859980017,26.709396499814467,right,4.708136599976569,0.167523399926722,16 * 11 - 17 * 10 = ?,6.0,26.720614100014792,26.72102199997753,,71,1.0,2024-12-02_15h23.45.149,mist,2024.2.4,60.21966937018586,2024-12-02 15h27.27.862998 +0800,
1.0,0.0,1.0,,,,1.0,0.0,1.0,0.0,18.71609849995002,,,,,,,,26.739351199846716,26.816098499950023,26.816098499950023,26.816098499950023,28.93825009991415,28.93825009991415,28.93825009991415,28.93825009991415,28.93825009991415,28.93825009991415,28.93825009991415,28.93825009991415,28.93825009991415,28.93825009991415,28.81946019981988,,,,(5 + 25) - (24 + 4) = ?,2.0,28.8402368998155,28.840877799922602,,71,1.0,2024-12-02_15h23.45.149,mist,2024.2.4,60.21966937018586,2024-12-02 15h27.27.862998 +0800,
2.0,0.0,2.0,down,2.6434768999461085,,2.0,0.0,2.0,0.0,20.83825009991415,,,,,,,,28.858211199892686,28.93825009991415,28.93825009991415,28.93825009991415,28.93825009991415,28.93825009991415,28.93825009991415,28.93825009991415,28.93825009991415,28.93825009991415,28.93825009991415,28.93825009991415,28.93825009991415,28.93825009991415,31.59753409996629,down,2.6434768999461085,,14 - 2 - 10 = ?,2.0,31.59788529984653,31.598064199928196,,71,1.0,2024-12-02_15h23.45.149,mist,2024.2.4,60.21966937018586,2024-12-02 15h27.27.862998 +0800,
3.0,0.0,3.0,down,2.6142649000976235,,3.0,0.0,3.0,0.0,23.578242199961096,,,,,,,,31.60493109994568,31.678242199961097,31.678242199961097,31.678242199961097,31.678242199961097,31.678242199961097,31.678242199961097,31.678242199961097,31.678242199961097,31.678242199961097,31.678242199961097,31.678242199961097,31.678242199961097,31.678242199961097,34.312715999921785,down,2.6142649000976235,,2 - 7 + 5 = ?,0.0,34.3130116999615,34.31319569996558,,71,1.0,2024-12-02_15h23.45.149,mist,2024.2.4,60.21966937018586,2024-12-02 15h27.27.862998 +0800,
4.0,0.0,4.0,down,5.853912899969146,,4.0,0.0,4.0,0.0,26.296634199796245,,,,,,,,34.32220760001801,34.396634199796246,34.396634199796246,34.396634199796246,34.396634199796246,34.396634199796246,34.396634199796246,34.396634199796246,34.396634199796246,34.396634199796246,34.396634199796246,34.396634199796246,34.396634199796246,34.396634199796246,40.26032039979473,down,5.853912899969146,,(5 + 20) - (29 - 9) = ?,5.0,40.26065709991381,40.26083549987525,,71,1.0,2024-12-02_15h23.45.149,mist,2024.2.4,60.21966937018586,2024-12-02 15h27.27.862998 +0800,
5.0,0.0,5.0,down,2.978815899929032,,5.0,0.0,5.0,0.0,32.24404089991003,,,,,,,,40.26932119987905,40.344040899910034,40.344040899910034,40.344040899910034,40.344040899910034,40.344040899910034,40.344040899910034,40.344040899910034,40.344040899910034,40.344040899910034,40.344040899910034,40.344040899910034,40.344040899910034,40.344040899910034,43.341875499952586,down,2.978815899929032,,10 * 6 - 5 * 11 = ?,5.0,43.34218790000305,43.34237809982151,,71,1.0,2024-12-02_15h23.45.149,mist,2024.2.4,60.21966937018586,2024-12-02 15h27.27.862998 +0800,
6.0,0.0,6.0,,,,6.0,0.0,6.0,0.0,35.32570539996959,,,,,,,,43.352775399945685,43.425705399969594,43.425705399969594,43.425705399969594,43.425705399969594,43.425705399969594,43.425705399969594,43.425705399969594,43.425705399969594,43.425705399969594,43.425705399969594,43.425705399969594,43.425705399969594,43.425705399969594,49.374934799876065,,,,17 / 12 - 10 / 24 + 2 = ?,3.0,49.39008119995706,49.390712399873884,,71,1.0,2024-12-02_15h23.45.149,mist,2024.2.4,60.21966937018586,2024-12-02 15h27.27.862998 +0800,
7.0,0.0,7.0,,,,7.0,0.0,7.0,0.0,41.38500419980846,,,,,,,,49.41198149989359,49.485004199808465,49.485004199808465,49.485004199808465,49.485004199808465,49.485004199808465,49.485004199808465,49.485004199808465,49.485004199808465,49.485004199808465,49.485004199808465,49.485004199808465,49.485004199808465,49.485004199808465,54.42283589988947,,,,8 * 2 - 5 / 5 * 9 = ?,7.0,54.44048839984462,54.441283599846074,,71,1.0,2024-12-02_15h23.45.149,mist,2024.2.4,60.21966937018586,2024-12-02 15h27.27.862998 +0800,
8.0,0.0,8.0,left,1.6366148998495191,0.0768872001208365,8.0,0.0,8.0,0.0,46.45170939993113,,,,,,,,54.47272559991106,54.551709399931134,54.551709399931134,54.551709399931134,54.551709399931134,54.551709399931134,54.551709399931134,54.551709399931134,54.551709399931134,54.551709399931134,54.551709399931134,54.551709399931134,54.551709399931134,54.551709399931134,58.48745039980859,left,1.6366148998495191,0.0768872001208365,12 * 6 / 12 - 21 / 7 = ?,3.0,58.50079539990984,58.5016246998217,,71,1.0,2024-12-02_15h23.45.149,mist,2024.2.4,60.21966937018586,2024-12-02 15h27.27.862998 +0800,
