thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,time.started,math_problem.started,key_resp.started,textbox0.started,textbox9.started,textbox8.started,textbox7.started,textbox6.started,textbox5.started,textbox4.started,textbox3.started,textbox2.started,textbox1.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,problem,answer,end.started,end.stopped,ending.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 48
,,,,,,,,,,,,0.0382826999993994,0.0576748999301344,30.69182569999248,space,30.63066969998181,,,,,,,,,,,,,,,,,,,,,,,,,20,1.0,2024-11-23_18h02.00.320,mist,2024.2.4,59.93008556005791,2024-11-23 18h02.04.449183 +0800,
0.0,0.0,0.0,down,4.821187499910593,,0.0,0.0,0.0,0.0,30.82207169989124,,,,,,,,32.63985989997164,32.72207169989124,32.72207169989124,32.72207169989124,32.72207169989124,32.72207169989124,32.72207169989124,32.72207169989124,32.72207169989124,32.72207169989124,32.72207169989124,32.72207169989124,32.72207169989124,32.72207169989124,37.552724499930626,down,4.821187499910593,,22 / 22 + 11 / 11 = ?,2.0,37.553087099897674,37.55331329999026,,20,1.0,2024-11-23_18h02.00.320,mist,2024.2.4,59.93008556005791,2024-11-23 18h02.04.449183 +0800,
1.0,0.0,1.0,,,,1.0,0.0,1.0,0.0,35.73835829994641,,,,,,,,37.5638841999229,37.63835829994641,37.63835829994641,37.63835829994641,37.63835829994641,37.63835829994641,37.63835829994641,37.63835829994641,37.63835829994641,37.63835829994641,37.63835829994641,37.63835829994641,37.63835829994641,37.63835829994641,43.590580199938266,,,,25 / 8 - 2 / 16 + 6 = ?,9.0,43.60634679996874,43.60709889999125,,20,1.0,2024-11-23_18h02.00.320,mist,2024.2.4,59.93008556005791,2024-11-23 18h02.04.449183 +0800,
2.0,0.0,2.0,right,2.900260799913667,,2.0,0.0,2.0,0.0,41.81199659989216,,,,,,,,43.63823669995181,43.71199659989216,43.71199659989216,43.71199659989216,43.71199659989216,43.71199659989216,43.71199659989216,43.71199659989216,43.71199659989216,43.71199659989216,43.71199659989216,43.71199659989216,43.71199659989216,43.71199659989216,48.65507599988487,right,2.900260799913667,,11 * 6 - 8 / 2 * 15 = ?,6.0,48.67609039994422,48.677033199905416,,20,1.0,2024-11-23_18h02.00.320,mist,2024.2.4,59.93008556005791,2024-11-23 18h02.04.449183 +0800,
3.0,0.0,3.0,,,,3.0,0.0,3.0,0.0,46.880875299917534,,,,,,,,48.704779499885625,48.78087529991753,48.78087529991753,48.78087529991753,50.90413529993966,50.90413529993966,50.90413529993966,50.90413529993966,50.90413529993966,50.90413529993966,50.90413529993966,50.90413529993966,50.90413529993966,50.90413529993966,50.78537079992238,,,,2 * 10 - 18 / 5 * 5 = ?,2.0,50.79632279996295,50.79708469994366,,20,1.0,2024-11-23_18h02.00.320,mist,2024.2.4,59.93008556005791,2024-11-23 18h02.04.449183 +0800,
4.0,0.0,4.0,,,,4.0,0.0,4.0,0.0,49.00413529993966,,,,,,,,50.82683389992453,50.90413529993966,50.90413529993966,50.90413529993966,50.90413529993966,50.90413529993966,50.90413529993966,50.90413529993966,50.90413529993966,50.90413529993966,50.90413529993966,50.90413529993966,50.90413529993966,50.90413529993966,55.84569419999607,,,,5 * 26 - 25 * 15 / 3 = ?,5.0,55.86647909993772,55.86747639996465,,20,1.0,2024-11-23_18h02.00.320,mist,2024.2.4,59.93008556005791,2024-11-23 18h02.04.449183 +0800,
5.0,0.0,5.0,,,,5.0,0.0,5.0,0.0,54.088456099969335,,,,,,,,55.905194999976075,55.98845609996933,55.98845609996933,55.98845609996933,55.98845609996933,55.98845609996933,55.98845609996933,55.98845609996933,55.98845609996933,55.98845609996933,55.98845609996933,55.98845609996933,55.98845609996933,55.98845609996933,61.927361499960526,,,,10 / 4 + 21 / 6 - 3 = ?,3.0,61.94621279996354,61.946930099953896,,20,1.0,2024-11-23_18h02.00.320,mist,2024.2.4,59.93008556005791,2024-11-23 18h02.04.449183 +0800,
6.0,0.0,6.0,down,4.058379599940963,,6.0,0.0,6.0,0.0,60.15039089997299,,,,,,,,61.96736499990802,62.05039089997299,62.05039089997299,62.05039089997299,62.05039089997299,62.05039089997299,62.05039089997299,62.05039089997299,62.05039089997299,62.05039089997299,62.05039089997299,62.05039089997299,62.05039089997299,62.05039089997299,66.12229059995153,down,4.058379599940963,,9 / 3 - 8 / 8 = ?,2.0,66.12257559990977,66.12275129996706,,20,1.0,2024-11-23_18h02.00.320,mist,2024.2.4,59.93008556005791,2024-11-23 18h02.04.449183 +0800,
7.0,0.0,7.0,down,4.545380599913187,,7.0,0.0,7.0,0.0,64.3024062999757,,,,,,,,66.13097379994579,66.2024062999757,66.2024062999757,66.2024062999757,66.2024062999757,66.2024062999757,66.2024062999757,66.2024062999757,66.2024062999757,66.2024062999757,66.2024062999757,66.2024062999757,66.2024062999757,66.2024062999757,70.77004459998571,down,4.545380599913187,,(3 - 6) - (3 - 8) = ?,2.0,70.77041349988431,70.77065269995947,,20,1.0,2024-11-23_18h02.00.320,mist,2024.2.4,59.93008556005791,2024-11-23 18h02.04.449183 +0800,
8.0,0.0,8.0,down,3.5303319999948144,,8.0,0.0,8.0,0.0,68.95173989993054,,,,,,,,70.78064179988579,70.85173989993055,70.85173989993055,70.85173989993055,70.85173989993055,70.85173989993055,70.85173989993055,70.85173989993055,70.85173989993055,70.85173989993055,70.85173989993055,70.85173989993055,70.85173989993055,70.85173989993055,74.40149599998259,down,3.5303319999948144,,(10 - 7) + (1 - 2) = ?,2.0,74.40180619989988,74.40199379993138,,20,1.0,2024-11-23_18h02.00.320,mist,2024.2.4,59.93008556005791,2024-11-23 18h02.04.449183 +0800,
