thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,time.started,math_problem.started,key_resp.started,textbox0.started,textbox9.started,textbox8.started,textbox7.started,textbox6.started,textbox5.started,textbox4.started,textbox3.started,textbox2.started,textbox1.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,problem,answer,end.started,end.stopped,ending.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 48
,,,,,,,,,,,,0.0325627999845892,0.0515400001313537,18.33988370001316,space,18.27436020015739,,,,,,,,,,,,,,,,,,,,,,,,,70,1.0,2024-12-02_17h18.07.719,mist,2024.2.4,60.21499158867272,2024-12-02 17h18.13.287641 +0800,
0.0,0.0,0.0,right,3.9895516999531537,0.1456190000753849,0.0,0.0,0.0,0.0,18.47197990003042,,,,,,,,18.488830499956386,18.57197990003042,18.57197990003042,18.57197990003042,18.57197990003042,18.57197990003042,18.57197990003042,18.57197990003042,18.57197990003042,18.57197990003042,18.57197990003042,18.57197990003042,18.57197990003042,18.57197990003042,25.55139820012264,right,3.9895516999531537,0.1456190000753849,24 / 24 + 30 / 30 = ?,2.0,25.56670890017413,25.567451400123538,,70,1.0,2024-12-02_17h18.07.719,mist,2024.2.4,60.21499158867272,2024-12-02 17h18.13.287641 +0800,
1.0,0.0,1.0,down,3.9987397000659257,,1.0,0.0,1.0,0.0,25.577711299993094,,,,,,,,25.58887210013345,25.677711299993096,25.677711299993096,25.677711299993096,25.677711299993096,25.677711299993096,25.677711299993096,25.677711299993096,25.677711299993096,25.677711299993096,25.677711299993096,25.677711299993096,25.677711299993096,25.677711299993096,29.68665930014104,down,3.9987397000659257,,(3 + 14) - (16 - 1) = ?,2.0,29.686947600124405,29.6871234999504,,70,1.0,2024-12-02_17h18.07.719,mist,2024.2.4,60.21499158867272,2024-12-02 17h18.13.287641 +0800,
2.0,0.0,2.0,down,3.644985600141808,,2.0,0.0,2.0,0.0,29.670497599989176,,,,,,,,29.697101300023498,29.770497599989177,29.770497599989177,29.770497599989177,29.770497599989177,29.770497599989177,29.770497599989177,29.770497599989177,29.770497599989177,29.770497599989177,29.770497599989177,29.770497599989177,29.770497599989177,29.770497599989177,35.45302920010872,down,3.644985600141808,,24 * 11 - 17 * 15 = ?,9.0,35.46666309996508,35.46749460012652,,70,1.0,2024-12-02_17h18.07.719,mist,2024.2.4,60.21499158867272,2024-12-02 17h18.13.287641 +0800,
3.0,0.0,3.0,down,3.962373999878764,,3.0,0.0,3.0,0.0,35.47318290011026,,,,,,,,35.48820259994827,35.57318290011026,35.57318290011026,35.57318290011026,35.57318290011026,35.57318290011026,35.57318290011026,35.57318290011026,35.57318290011026,35.57318290011026,35.57318290011026,35.57318290011026,35.57318290011026,35.57318290011026,39.549263900052765,down,3.962373999878764,,10 * 21 - 11 * 19 = ?,1.0,39.54958989997394,39.549782200157644,,70,1.0,2024-12-02_17h18.07.719,mist,2024.2.4,60.21499158867272,2024-12-02 17h18.13.287641 +0800,
4.0,0.0,4.0,down,2.025095100048929,,4.0,0.0,4.0,0.0,39.532890300033614,,,,,,,,39.55963779999875,39.632890300033615,39.632890300033615,39.632890300033615,39.632890300033615,39.632890300033615,39.632890300033615,39.632890300033615,39.632890300033615,39.632890300033615,39.632890300033615,39.632890300033615,39.632890300033615,39.632890300033615,43.6991965001449,down,2.025095100048929,,8 / 8 + 2 / 2 + 4 = ?,6.0,43.71647070012987,43.71710590007715,,70,1.0,2024-12-02_17h18.07.719,mist,2024.2.4,60.21499158867272,2024-12-02 17h18.13.287641 +0800,
5.0,0.0,5.0,down,3.025024000089616,,5.0,0.0,5.0,0.0,43.71629839995876,,,,,,,,43.734229300078006,43.81629839995876,43.81629839995876,43.81629839995876,43.81629839995876,43.81629839995876,43.81629839995876,43.81629839995876,43.81629839995876,43.81629839995876,43.81629839995876,43.81629839995876,43.81629839995876,43.81629839995876,48.879508200008424,down,3.025024000089616,,20 / 20 + 12 / 3 + 4 = ?,9.0,48.89662519996055,48.897284200089054,,70,1.0,2024-12-02_17h18.07.719,mist,2024.2.4,60.21499158867272,2024-12-02 17h18.13.287641 +0800,
6.0,0.0,6.0,down,2.0727212000638247,,6.0,0.0,6.0,0.0,48.89908580016345,,,,,,,,48.925988000025974,48.99908580016345,48.99908580016345,48.99908580016345,48.99908580016345,48.99908580016345,48.99908580016345,48.99908580016345,48.99908580016345,48.99908580016345,48.99908580016345,48.99908580016345,48.99908580016345,48.99908580016345,53.111935400078075,down,2.0727212000638247,,6 / 6 + 12 / 4 + 3 = ?,7.0,53.126783199980856,53.12748650009744,,70,1.0,2024-12-02_17h18.07.719,mist,2024.2.4,60.21499158867272,2024-12-02 17h18.13.287641 +0800,
7.0,0.0,7.0,down,3.7477911000605673,,7.0,0.0,7.0,0.0,53.12177600013092,,,,,,,,53.146125900000335,53.22177600013092,53.22177600013092,53.22177600013092,53.22177600013092,53.22177600013092,53.22177600013092,53.22177600013092,53.22177600013092,53.22177600013092,53.22177600013092,53.22177600013092,53.22177600013092,53.22177600013092,56.990453499974684,down,3.7477911000605673,,30 / 11 - 30 / 11 = ?,0.0,56.99077850012109,56.99096090011299,,70,1.0,2024-12-02_17h18.07.719,mist,2024.2.4,60.21499158867272,2024-12-02 17h18.13.287641 +0800,
8.0,0.0,8.0,down,1.716398400021717,,8.0,0.0,8.0,0.0,56.97191590000875,,,,,,,,56.99890260016546,57.071915900008754,57.071915900008754,57.071915900008754,57.071915900008754,57.071915900008754,57.071915900008754,57.071915900008754,57.071915900008754,57.071915900008754,57.071915900008754,57.071915900008754,57.071915900008754,57.071915900008754,60.82391059994698,down,1.716398400021717,,14 * 17 - 8 * 29 = ?,6.0,60.83634449997917,60.83723180009984,,70,1.0,2024-12-02_17h18.07.719,mist,2024.2.4,60.21499158867272,2024-12-02 17h18.13.287641 +0800,
